slice,model,R2,RMSE,MAE,MedAE,n
test_full,baseline_full,0.9902114974163753,1.1450175044878272,0.7093865705889498,0.4959193229675295,10220
test_full,hybrid_full+winter,0.9900354374222161,1.1552689886720195,0.7148379877075524,0.4979791164398195,10220
test_winter,baseline_full,0.9575515611371258,1.3588250797498456,0.8064755379082239,0.5406408786773682,4228
test_winter,hybrid_full+winter,0.9562411149027743,1.3796401252886967,0.8196528044531901,0.5443895816802977,4228
test_nonwinter,baseline_full,0.9789871758877792,0.9660873759294064,0.640879869349649,0.4711011886596683,5992
test_nonwinter,hybrid_full+winter,0.9789871758877792,0.9660873759294064,0.640879869349649,0.4711011886596683,5992
