Cod,R2,RMSE,MAE,MedAE
27857,0.9919120118969018,1.0048781670121547,0.7073997347258283,0.5237120957596915
27947,0.9924387935866441,0.9553245783475331,0.6990661836835386,0.5393424852925464
27962,0.993330016822054,0.9437735707855001,0.6986577901663807,0.5427231605439609
27995,0.9924583854746335,1.0894632030072995,0.7804083924462766,0.6020823376557951
28900,0.9936942588067441,0.9901227020998534,0.7301188211298241,0.5691598716655015
34059,0.9937685225175673,0.9097916753682832,0.6514614762317207,0.47781212689130115
34152,0.9931772879811529,0.9458303668198843,0.6919068228327326,0.5246348775531793
34163,0.9936213424589978,0.9610353533763387,0.7011859403091473,0.5364233504896563
34186,0.9942828308433778,0.9679327869372801,0.6990092746780436,0.5236399133217233
34240,0.9935500954086961,0.8983064660805328,0.6514655609469421,0.4916145374268339
34289,0.9939452961492616,1.0117630178429233,0.7283460096721167,0.5618833560386438
34391,0.9940626748656579,1.0100473564117798,0.7060917812287433,0.518746726952088
35007,0.9930553764169652,1.0877577075724094,0.7820247969044075,0.5917642847588702
35108,0.923652040886663,3.678113091328015,2.7133749295297958,2.0066201536556143
