Cod,R2,RMSE,MAE,MedAE,SMAPE
35108,-1.693650083512328,21.84725870704549,20.60394202999906,21.46757278442383,200.0
34391,0.7190295130852544,6.9482697787034775,2.784001059101267,0.7338153839111321,6.741565051765587
34240,0.6200030698178791,6.895058014056349,2.706525315982001,0.6780074119567869,7.364396090430899
34289,0.7258986887149097,6.807503992239507,2.7676421232178403,0.7800040245056152,7.130384362905705
27947,0.6377481219194361,6.6124245124613354,2.653664956687545,0.7257010459899904,8.55188719749659
34152,0.6669085872201863,6.6087062963413645,2.664218273131979,0.7388164520263665,8.06619461854841
34186,0.7346137055598774,6.594683014609354,2.6429888032875697,0.7162490844726577,6.960983391562434
34059,0.6748514399980442,6.571845746366648,2.626099689926174,0.6900540351867672,7.49521328971296
35007,0.7468355439468197,6.567637584223915,2.7004728124484156,0.8220518112182615,7.634009809863597
27995,0.7293040896210756,6.5271147579189295,2.697506444015579,0.8206137657165526,8.163622478625847
34163,0.7085639244042337,6.496005384306909,2.6100593341236715,0.7106918334960941,7.558167708106408
27962,0.6870224798439919,6.464903022236606,2.6390167223626713,0.7642250061035156,8.385752047297826
28900,0.738488260944268,6.376267694898142,2.6271398903749636,0.7987319946289055,7.910965409192372
27857,0.678022637843166,6.340241895100844,2.567827663725515,0.7124076843261733,8.348783910141137
