month,R2,RMSE,MAE,MedAE,SMAPE
1,0.2390949448666736,5.981160879105361,3.0777495230597633,1.1220668315887452,17.88044165666157
2,-0.02609552208965904,6.4705466943811265,3.2741895475585343,1.0594063758850099,23.151572986642297
3,-1.1607967523174483,8.206418699234504,4.0436359636445,1.0680649757385252,43.850933151919705
4,-1.0529703555484922,6.5575050401859025,2.936687223529403,0.6711751461029052,9.312231453731162
5,-2.108089660525978,8.565325765145712,3.887337071974506,0.7032281875610344,4.567660118279176
6,-4.045225477167894,9.509931345375556,4.276698838353673,0.6896680831909174,3.560192289982436
7,-6.9215941888222705,9.822348144615715,4.4178832030965545,0.6832439422607415,3.180496500729296
8,-4.49830400339631,9.616406049139725,4.322627295297112,0.6924522399902351,3.2665670728918585
9,-2.485493611132325,7.895899089189553,3.5683963382502135,0.6654537200927741,4.881371150982398
10,-5.427055510635763,11.713394550446743,5.230962859270809,0.8060170173645023,13.082769362754293
11,-2.491750170452238,9.879954376596396,4.579347456956839,0.8633316040039063,35.56350681103867
12,-0.636565964929412,7.343481110489871,3.7014058189707724,1.0493814706802365,25.64352431689032
