year,R2,RMSE,MAE,MedAE,SMAPE
2013,-2.316504113121871,21.625601467217873,20.70302925326353,21.362895488739014,200.0
2014,0.801511592689067,5.811653251258345,2.3189973960977244,0.8364776611328129,8.405684308955522
2015,0.7482248416008974,6.054473269541285,2.4287611055094196,0.8141818046569824,9.205403759290487
2016,0.7746391756043054,5.931519788943013,2.2585052513127026,0.6981845855712887,6.958369954572419
2017,0.7440327658260362,5.788227143476495,2.203835550259704,0.6882956504821776,7.703297788152021
2018,0.82325260723573,5.649505269488365,2.184748403629445,0.7085456848144531,6.236976856404347
2019,0.7542625054547611,5.834010517611319,2.201123493552908,0.6848725318908686,6.999364743019211
2020,0.7073347035902786,6.0313893814780695,2.2243037677481245,0.6507792472839353,6.878304881076261
2021,0.7910811706804137,6.1233933396822176,2.286399417026169,0.6914474487304689,6.658943533263562
2022,0.7292601060467121,5.923493623055666,2.297634977911783,0.7429473876953124,7.989325379203244
2023,0.7183185728788213,6.237026563213957,2.345031233841659,0.7334221839904789,7.381471988648383
