group,n,R2,RMSE,MAE,MedAE
27857,4017,0.9990165201327512,0.3504095190599154,0.13998346326906091,0.026593780517579546
27947,4017,0.9991135217615873,0.3271067030252124,0.1353230803392671,0.027387237548828214
27962,4017,0.9991997055850733,0.3269116028905605,0.13545541087662089,0.029558563232420454
27995,4017,0.9992395385472602,0.3459545155254504,0.14054605648869112,0.02871685028076243
28900,4017,0.9991881313093651,0.35527434222693643,0.13703568488251527,0.026119807362556452
34059,4017,0.9992898729802198,0.3071244999962781,0.12756296881068901,0.029611396789551492
34152,4017,0.9991895363992693,0.3259879076944188,0.1350327974234499,0.03297882080078196
34163,4017,0.9991742252484868,0.34578449939443145,0.1375434839840443,0.029819869995117543
34186,4017,0.9992285426695089,0.3555581476986918,0.1387043227608074,0.02863922119140483
34240,4017,0.9992495871460778,0.30640652735231094,0.128297907862669,0.027398228645324707
34289,4017,0.9992451966012589,0.35723110884179987,0.1413194133405812,0.030309677124023438
34391,4017,0.9993660587031139,0.33004324030074245,0.13230485820877677,0.029687118530272727
35007,4017,0.999223748000259,0.36367142633024996,0.13881803659811703,0.026560211181639204
35108,4017,0.9873596811324887,1.4965987464588273,0.555447228619438,0.05775671005249006
