group,n,R2,RMSE,MAE,MedAE
27857,4017,0.9989669366446176,0.3591340943991452,0.16088960596302537,0.045493316650389914
27947,4017,0.9990591598726387,0.33698713420711474,0.15933931104751675,0.050543975830077414
27962,4017,0.9991381629908532,0.3392485591769767,0.1632277543787521,0.054409027099609375
27995,4017,0.9992003254883468,0.3547619456050527,0.1642254344497654,0.05167350769042933
28900,4017,0.9991706728052191,0.3590739512779505,0.15792166167656405,0.04766426086425746
34059,4017,0.999248642660365,0.31591460943714506,0.1511065523215482,0.05318908691406232
34152,4017,0.9991420703686099,0.33539807607791094,0.16143259098792748,0.06024808883666988
34163,4017,0.9991516230856397,0.3504847630377101,0.16348337883791403,0.05605125427246094
34186,4017,0.9991739283739951,0.3679285870175687,0.16640502373199426,0.055299568176269354
34240,4017,0.9991704199583555,0.32216401426404134,0.1534384396647766,0.04885673522949219
34289,4017,0.9992060273573994,0.3663828337625058,0.16328944200777376,0.05244216918945277
34391,4017,0.9993394058818209,0.3369098214570978,0.15005650506080132,0.04644002914428713
35007,4017,0.9991847786261709,0.37268815735570876,0.16090449341975072,0.04554138183593759
35108,4017,0.9865379365773106,1.5444796072858775,0.6353425458500211,0.09870281219482457
