mode,r2,rmse,mae,medae,n,case
zero-shot,0.9861318936144032,1.3216251390685951,1.018555188312668,0.8102935791015611,8741,full
scratch,0.9944413846200064,0.8367255313415092,0.6352555333333789,0.5014904022216804,8741,full
finetune,0.994099415569696,0.8620793120122074,0.6538773702574109,0.5148433685302738,8741,full
zero-shot,0.9843674540100904,1.3940727844720529,1.0376736134241595,0.7972863197326658,3642,fewshot_5
scratch,0.993495891467286,0.899216942783198,0.6894729356854779,0.5681156158447269,3642,fewshot_5
finetune,0.992890566999441,0.9401303523619092,0.7120685591925506,0.5658550262451176,3642,fewshot_5
zero-shot,0.985619213222056,1.336062672187811,0.9789832767170716,0.7470086097717286,2186,fewshot_3
scratch,0.9946008249826622,0.8186517787850612,0.6263467102452145,0.4987167358398436,2186,fewshot_3
finetune,0.993555600765485,0.8943895693618591,0.6826972042216364,0.5464687347412109,2186,fewshot_3
