mode,R2,RMSE,MAE,MedAE,n
zero-shot,0.9942322195532423,0.8222319630267592,0.6398756856041179,0.5182898521423343,5110
scratch,0.9945490769027331,0.7993279931320199,0.6138342813689649,0.49270782470703123,5110
finetune,0.9944693747564034,0.8051505814532027,0.6232744790896512,0.5016614913940431,5110
