group,n,R2,RMSE,MAE,MedAE
27857,4017,0.9984936302299032,0.4336695749797961,0.2440405272772753,0.11666946411132884
27947,4017,0.9982308525905338,0.4621015387897391,0.2555073400620415,0.12508869171142578
27962,4017,0.9986068945702012,0.43131785274150375,0.24843963265033217,0.12320137023925781
27995,4017,0.9989043540948956,0.4152556125877061,0.2350602451473556,0.11377534866332972
28900,4017,0.9985694029337684,0.471606315622896,0.2500525665306944,0.10567865371704066
34059,4017,0.9990159559641837,0.361537799551777,0.20263334038781677,0.0998662948608402
34152,4017,0.9987527361010256,0.4044025721936068,0.2289565483907102,0.11900901794433594
34163,4017,0.9987608650480826,0.4235786137508373,0.22730241024823578,0.10671119689941477
34186,4017,0.9988053337627473,0.44246403454726585,0.23182368094510988,0.10872802734375009
34240,4017,0.9985931990061282,0.41953115119340434,0.2333749356363613,0.11341094970703125
34289,4017,0.9989771279885039,0.4158560228589702,0.21600969711998844,0.09741897583007741
34391,4017,0.999123261204538,0.388133771652354,0.20240179520802382,0.08851585388183736
35007,4017,0.9989178200990948,0.42939555625544007,0.2307751273111766,0.10930099487304545
35108,4017,0.9850244439320142,1.6289878347071878,0.7986782443977453,0.24617271423339826
