station,month,n,baseline_mae,xgb_delta_mae,gain,alpha,is_eligible
25913,12,31,6.7612903225806456,2.0858063482469134,4.675483974333732,0.691507648875695,1
25913,1,31,5.516129032258065,1.9752941823774763,3.5408348498805884,0.6419057330192879,1
25913,11,30,4.39,1.4347800104816755,2.955219989518324,0.673170840436976,1
25913,10,31,3.8709677419354844,1.5081772058240825,2.362790536111402,0.6103875551621121,1
25913,3,31,3.5999999999999996,1.4858716484039063,2.1141283515960936,0.5872578754433594,1
22113,2,28,3.225,1.389451211903777,1.8355487880962231,0.5691624149135576,1
22113,12,31,2.8580645161290326,1.3461669385433197,1.5118975775857129,0.5289935090875518,1
22113,11,30,1.8733333333333335,0.7413844531774519,1.1319488801558815,0.6042431744604349,1
22113,1,31,2.4387096774193546,1.4242551905493586,1.014454486869996,0.41598001445727356,1
37235,8,31,1.425806451612903,0.4245740329065629,1.0012324187063402,0.7022218321243563,1
25913,6,30,1.9366666666666668,1.037655874888102,0.8990107917785648,0.46420522811285614,1
29570,12,31,2.967741935483872,2.2123787153151726,0.7553632201686993,0.2545245633177138,1
25913,7,31,1.3709677419354842,0.6574471495805249,0.7135205923549593,0.5204503144236173,1
25913,2,28,2.439285714285714,1.7406954109668729,0.6985903033188412,0.28639133957434193,1
22113,3,31,1.206451612903226,0.5653627427715447,0.6410888701316811,0.5313838228364202,1
25913,5,31,1.7483870967741935,1.1874857209382517,0.5609013758359418,0.3208107500168671,1
37235,9,30,1.0833333333333333,0.528548177977403,0.5547851553559302,0.5121093741747048,1
30823,12,31,1.6806451612903226,1.1273917423658852,0.5532534189244374,0.3291910937938111,1
37235,7,31,0.9967741935483871,0.4490356578942272,0.54773853565416,0.5495111522744,1
37235,6,30,1.0199999999999998,0.5117680422465004,0.5082319577534994,0.4982666252485289,1
29570,11,30,1.56,1.0817411309480667,0.4782588690519334,0.3065761981102137,1
29570,1,31,2.832258064516129,2.3594643681280068,0.4727936963881221,0.16693171512564675,1
35121,8,31,1.3032258064516131,0.9027000056159112,0.4005258008357019,0.30733415410660286,1
25563,6,30,2.2766666666666664,1.8798899266123774,0.396776740054289,0.174279680843758,1
28440,8,31,1.0064516129032257,0.633194504053362,0.37325710884986374,0.3708644350751852,1
30710,12,31,1.935483870967742,1.567025545720131,0.368458325247611,0.19037013471126568,1
30710,1,31,2.035483870967742,1.6687388754660082,0.3667449955017339,0.18017582980275357,1
27595,3,31,1.4322580645161291,1.0680721107990512,0.36418595371707796,0.2542739766943562,1
22837,6,30,1.2566666666666664,0.8949060638745628,0.36176060279210354,0.28787315872050684,1
25913,8,31,1.0548387096774194,0.7166793265770521,0.3381593831003673,0.32057923168536345,1
30555,7,26,9.215384615384616,8.883576730638744,0.33180788474587253,0.03600586395405962,1
35121,3,31,1.532258064516129,1.227975756314493,0.30428230820163593,0.19858424324738344,1
28440,5,31,1.2322580645161287,0.9318750203617155,0.3003830441544132,0.24376634473263903,1
25913,9,30,1.2133333333333336,0.9154706615209579,0.2978626718123757,0.24549121303217772,1
35121,5,31,1.1451612903225805,0.8553572547051214,0.28980403561745915,0.25306831279271086,1
37235,10,31,0.7967741935483874,0.509169685167651,0.28760450838073637,0.36096112387865686,1
25563,12,31,4.648387096774194,4.361164063984347,0.2872230327898464,0.06178982662376987,1
34163,8,31,1.5806451612903225,1.2984511139652426,0.2821940473250799,0.17853092789954036,1
25913,4,30,1.3166666666666664,1.0356889771918454,0.28097768947482105,0.21340077681631983,1
28440,6,30,0.8500000000000001,0.5695574293533966,0.2804425706466035,0.3299324360548276,1
37235,5,31,0.8161290322580643,0.5380571084637792,0.27807192379428514,0.3407205390364759,1
26063,1,31,0.8000000000000003,0.5249524803892259,0.27504751961077434,0.3438093995134678,1
25563,10,31,1.6645161290322579,1.3934411819633694,0.27107494706888846,0.16285510385921595,1
28440,3,31,0.9580645161290323,0.6881899728890388,0.2698745432399935,0.28168723368484166,1
30710,9,30,1.0333333333333337,0.7795658461749558,0.2537674871583778,0.24558143918552686,1
24688,6,30,1.4833333333333336,1.230146779157221,0.2531865541761127,0.17068756461310963,1
28900,7,31,0.6419354838709679,0.3898024012965539,0.25213308257441397,0.39277012863350913,1
34139,7,26,1.1,0.8574753606548675,0.24252463934513258,0.2204769448592114,1
26063,10,31,0.7806451612903228,0.538809537478993,0.24183562381132984,0.30978943546079435,1
29838,6,30,1.2766666666666662,1.0360670784364139,0.2405995882302523,0.18845920749105932,1
34163,7,26,1.8884615384615389,1.6497323517651803,0.23872918669635856,0.126414640613143,1
29570,2,28,1.9678571428571432,1.7296866787331453,0.2381704641239979,0.12103036289422758,1
27947,7,31,0.9741935483870965,0.7390380150848813,0.23515553330221517,0.24138481895260505,1
29838,9,30,1.3866666666666665,1.1580913656507617,0.22857530101590484,0.16483795746339294,1
29570,3,31,1.7838709677419355,1.557186807547846,0.22668416019408943,0.12707430318294344,1
31873,4,30,1.7866666666666668,1.562943558556338,0.2237231081103288,0.12521815752443774,1
22113,10,31,0.7064516129032258,0.49084190723876797,0.2156097056644578,0.30520095322366175,1
37235,4,30,0.8533333333333332,0.6384692684809365,0.21486406485239662,0.2517938259989023,1
24688,9,30,2.413333333333333,2.200174283236265,0.21315905009706793,0.08832557324464141,1
30823,10,31,1.2548387096774192,1.0484174303950804,0.20642127928233878,0.16450024827127258,1
34391,8,31,1.2709677419354832,1.0654563877371046,0.20551135419837863,0.16169675076522183,1
26063,7,31,0.7129032258064514,0.5077787292580448,0.2051244965484066,0.2877311942534211,1
25563,1,31,2.780645161290322,2.5758419235867835,0.20480323770353825,0.0736531365291147,1
25563,5,31,1.4387096774193546,1.2342001678482177,0.2045095095711369,0.14214786539697857,1
34139,8,31,1.138709677419355,0.9359864333464253,0.20272324407292974,0.178028911225519,1
30555,8,31,9.148387096774192,8.946511182675678,0.20187591409851358,0.022066831230796623,1
30710,8,31,0.7290322580645159,0.5274458289386763,0.20158642912583957,0.27651235853544376,1
22113,9,30,0.7666666666666667,0.574969739317894,0.19169692734877275,0.250039470454921,1
27459,11,30,0.8766666666666667,0.6869405303026238,0.1897261363640429,0.21641764604263447,1
26063,6,30,0.6166666666666668,0.4271202323337397,0.18954643433292712,0.3073725962155574,1
30823,11,30,2.083333333333333,1.8940574907759822,0.18927584255735086,0.09085240442752843,1
34391,7,31,0.829032258064516,0.6400385676372436,0.18899369042727232,0.22796904292783826,1
30710,2,28,1.7892857142857146,1.6017309601817813,0.1875547541039333,0.10482102025768725,1
35121,9,30,1.0133333333333334,0.8259864425659181,0.1873468907674153,0.18488180009942295,1
22837,8,31,0.8516129032258073,0.6648414455955074,0.1867714576302999,0.21931496918709437,1
32098,1,31,2.6774193548387095,2.4906667039038672,0.18675265093484228,0.0697509901081941,1
35121,7,31,0.8645161290322579,0.6818403409373376,0.18267578809492035,0.2113040832441243,1
30710,11,30,1.7266666666666666,1.54634100317955,0.18032566348711665,0.10443571244427606,1
25563,7,31,1.470967741935484,1.2916260939271702,0.17934164800831387,0.12192085719863441,1
30710,10,31,0.9580645161290322,0.7790347241586255,0.1790297919704067,0.18686611283106425,1
31915,4,30,1.4533333333333327,1.2749360714852809,0.17839726184805182,0.12275040952847607,1
28722,5,31,1.0161290322580645,0.8418497359560384,0.1742792963020261,0.17151295826548602,1
25551,2,28,2.224999999999999,2.0510258763030698,0.17397412369692944,0.07819061739187842,1
29612,5,31,1.2387096774193551,1.0661299246213132,0.17257975279804194,0.13932219626925257,1
28900,5,31,0.6677419354838706,0.4970458820702565,0.1706960534136141,0.2556317708126589,1
27333,7,26,1.6076923076923075,1.4370598562921466,0.17063245140016092,0.10613501761732498,1
28900,8,31,0.6,0.4353413772679142,0.16465862273208576,0.2744310378868096,1
24343,11,30,1.9233333333333336,1.7597518629332383,0.1635814704000953,0.08505102447145335,1
24688,10,31,2.2096774193548385,2.0474680289145435,0.16220939044029503,0.0734086292503525,1
28138,8,31,3.04516129032258,2.883892273984008,0.16126901633857216,0.05295910494169214,1
30710,7,31,0.8322580645161293,0.6720301008032211,0.16022796371290815,0.19252197190310663,1
30230,6,30,0.8366666666666662,0.6769149769373076,0.1597516897293586,0.19093827457692272,1
23472,12,31,2.4967741935483865,2.337695088958547,0.15907910458983965,0.06371385325949652,1
35121,6,30,0.876666666666667,0.7207370267311736,0.15592963993549347,0.17786650943212176,1
28440,7,31,0.729032258064516,0.5740088860834794,0.15502337198103655,0.21264267838106787,1
21946,10,31,1.3000000000000003,1.1457422620346471,0.15425773796535314,0.118659798434887,1
21982,11,30,1.5066666666666668,1.3528375090161964,0.15382915765047045,0.10209899844057772,1
24266,11,30,3.4400000000000004,3.2877913718422263,0.15220862815777414,0.044246694231911084,1
31594,5,31,1.2967741935483872,1.1479067961835574,0.1488673973648298,0.1147982417489981,1
34861,3,31,0.5806451612903226,0.43215468554727493,0.1484904757430477,0.25573359711302657,1
30710,6,30,0.8533333333333333,0.7058773819605509,0.14745595137278233,0.1727999430149793,1
25703,6,30,1.1433333333333335,0.9980282957603533,0.1453050375729802,0.1270889541454637,1
27947,8,31,0.8580645161290323,0.7127884144263891,0.14527610170264327,0.16930673506699026,1
31960,1,31,2.1709677419354843,2.026812411580355,0.14415533035512906,0.0664014151710104,1
31329,6,30,1.1200000000000003,0.9761793298708897,0.1438206701291106,0.12841131261527727,1
30710,4,30,0.8766666666666667,0.733499938666743,0.1431667279999237,0.16330805475276466,1
30823,8,31,0.538709677419355,0.39580618455525396,0.1429034928641011,0.2652699568136007,1
30823,1,31,2.1838709677419357,2.042147364827895,0.14172360291404074,0.06489559365340122,1
31388,9,30,1.0299999999999996,0.8888880109290277,0.1411119890709719,0.13700193113686596,1
29866,8,31,1.2161290322580651,1.0808677042624164,0.13526132799564872,0.11122284264894186,1
28440,11,30,0.7833333333333333,0.6481368390843273,0.13519649424900604,0.17259126925405027,1
22837,4,30,1.2366666666666668,1.1033376888434092,0.1333289778232576,0.107813189614494,1
21982,1,31,1.6709677419354838,1.537737989143258,0.1332297527922257,0.07973209143936288,1
34861,5,31,0.7064516129032259,0.5733625415832765,0.1330890713199494,0.18839092287298773,1
31707,12,31,1.8451612903225811,1.7139168013007415,0.1312444890218396,0.0711290062880599,1
34646,6,30,0.5200000000000004,0.38993845532337834,0.130061544676622,0.25011835514734987,1
27595,12,31,1.4838709677419355,1.356574170273398,0.1272967974685375,0.08578697220705789,1
23891,11,30,1.993333333333333,1.867331982478499,0.12600135085483388,0.06321138002750865,1
24908,9,30,1.4766666666666668,1.3508579825609923,0.12580868410567447,0.0851977544733687,1
24959,12,31,1.1096774193548389,0.9841412534659374,0.12553616588890149,0.11312852158592865,1
33008,6,30,0.7033333333333328,0.5782925437514976,0.12504078958183518,0.17778311314952883,1
31873,10,31,1.5870967741935489,1.462312936025762,0.12478383816778682,0.078623963073199,1
31004,12,31,1.2935483870967734,1.1695514789992754,0.12399690809749808,0.09585795887836515,1
24641,3,31,1.654838709677419,1.5317484568684328,0.12309025280898633,0.07438202411459215,1
27595,1,31,1.4677419354838712,1.344968217611313,0.12277371787255831,0.08364802756152323,1
28434,6,30,1.1,0.9774734771251679,0.12252652287483223,0.1113877480680293,1
30710,5,31,1.0419354838709676,0.9196859576048392,0.1222495262661284,0.11732926669504584,1
28434,8,31,1.3096774193548386,1.188683221601851,0.12099419775298759,0.09238473227444866,1
31594,10,31,1.3064516129032258,1.1855638684945244,0.12088774440870131,0.09253135991777138,1
31532,5,31,1.1451612903225812,1.0249634373572567,0.12019785296532448,0.10496150540633964,1
24908,1,31,2.7645161290322586,2.6447265010206937,0.1197896280115649,0.043331137320402696,1
21982,12,31,1.4161290322580646,1.2983491594272272,0.11777987283083746,0.08317029744318818,1
30054,7,31,0.7290322580645165,0.6120285187757789,0.11700373928873764,0.16049185477658692,1
21982,10,31,0.9580645161290322,0.841085212653683,0.11697930347534924,0.12209960968807497,1
30965,5,31,1.3806451612903228,1.265822264263707,0.11482289702661586,0.08316611700525914,1
30965,2,28,2.9142857142857146,2.8001479523256423,0.1141377619600723,0.03916491831963265,1
31960,12,31,2.525806451612903,2.4119483447483465,0.11385810686455633,0.045077922257998046,1
30393,12,31,1.6645161290322574,1.5511346351956161,0.11338149383664131,0.06811678893286593,1
24966,5,31,0.9548387096774191,0.8435293035664323,0.11130940611098683,0.11657404018380381,1
27648,6,30,0.5666666666666671,0.4557582503060502,0.11090841636061688,0.19572073475402965,1
24738,11,30,1.7300000000000002,1.6190956650053465,0.11090433499465369,0.06410655202003103,1
24817,4,30,2.3466666666666662,2.2363163927484613,0.11035027391820496,0.04702426445378053,1
29231,5,31,1.5677419354838709,1.4579378914568693,0.10980404402700161,0.07003961656043313,1
24343,6,30,0.7400000000000002,0.6302462919553126,0.10975370804468765,0.1483158216820103,1
29838,8,31,1.0935483870967742,0.9843142278732794,0.10923415922349478,0.09988964412767959,1
31329,4,30,1.2,1.0911941977838675,0.10880580221613245,0.09067150184677705,1
34139,11,30,1.363333333333333,1.2546327159615855,0.10870061737174752,0.0797315041846559,1
