station,n,baseline_mae,xgb_delta_cluster_v3_mae,gain,alpha,base_eps,adaptive_eps
25913,365,2.946849315068493,1.4785773940547688,1.468271921013724,0.49825144214392836,0.005,0.006959844978024748
22113,365,1.258082191780822,0.7514472686424086,0.5066349231384134,0.40270415275592525,0.005,0.012141387165932348
37235,365,0.8843835616438357,0.5841544123886995,0.3002291492551362,0.33947843704499603,0.005,0.006959844978024748
30710,365,1.2413698630136987,1.0611630754912758,0.18020678752242292,0.14516768361439938,0.005,0.006959844978024748
29570,365,1.4216438356164383,1.248559721763922,0.17308411385251632,0.12174928031637784,0.005,0.011840101012688169
25563,365,2.4104109589041096,2.2375854253423184,0.1728255335617912,0.07169961326443941,0.005,0.006959844978024748
26063,365,0.6131506849315069,0.49984762317223524,0.11330306175927168,0.18478828213643503,0.005,0.024512599395984387
34139,179,1.2016759776536314,1.089800137543645,0.11187584010998641,0.0930998390501514,0.005,0.006959844978024748
30555,179,9.524581005586592,9.41511880706361,0.10946219852298178,0.011492599880118328,0.005,0.006959844978024748
24688,365,1.8846575342465757,1.789597439562953,0.09506009468362264,0.05043892216822541,0.005,0.006959844978024748
30823,365,1.2115068493150685,1.1260371516576064,0.08546969765746204,0.0705482579036039,0.005,0.009624747101784448
28900,365,0.6528767123287671,0.5744335313575113,0.0784431809712558,0.1201500673709961,0.005,0.026959844978024748
29866,293,1.4860068259385668,1.4147541042601648,0.07125272167840202,0.04794912138670599,0.005,0.006959844978024748
22837,365,1.1884931506849314,1.1175116183435903,0.07098153234134119,0.059723972578583535,0.005,0.006959844978024748
30965,365,1.5865753424657534,1.516152942288246,0.07042240017750734,0.04438642041925432,0.005,0.006959844978024748
31707,365,1.232602739726027,1.162266771803444,0.07033596792258301,0.05706296575181775,0.005,0.006959844978024748
28440,365,0.8567123287671234,0.7889489568601529,0.06776337190697057,0.0790969963097034,0.005,0.022379950679774125
30949,365,1.4032876712328768,1.336906253673034,0.06638141755984273,0.04730421204479226,0.005,0.006959844978024748
31594,365,1.4994520547945205,1.4331887166071302,0.06626333818739027,0.04419170187903792,0.005,0.006959844978024748
30673,365,1.5561643835616439,1.4993230580481098,0.05684132551353405,0.03652655600781677,0.005,0.006959844978024748
24908,365,1.894246575342466,1.8388236783849943,0.05542289695747171,0.029258544098173522,0.005,0.006959844978024748
21982,365,1.2167123287671233,1.161711537309058,0.055000791458065246,0.04520443342083723,0.005,0.012883309018601807
29838,365,1.5197260273972604,1.4647644696168587,0.05496155778040168,0.03616543823660828,0.005,0.006959844978024748
21946,365,1.5838356164383565,1.5289023728102242,0.05493324362813223,0.03468367743343411,0.005,0.006959844978024748
