station,cluster_id
20674,0
20891,0
21946,0
21982,0
23472,0
23884,0
23891,0
23955,0
24125,0
24266,0
24343,0
24507,0
24641,0
24688,0
24738,0
24817,0
24908,0
24944,0
24951,0
24959,0
24966,0
25551,0
25563,0
25703,0
29231,0
29263,0
29282,0
29698,0
30054,0
30230,0
30252,0
30372,0
30393,0
30521,0
30636,0
30673,0
30758,0
30777,0
30823,0
30949,0
30965,0
31004,0
31253,0
31329,0
31369,0
31388,0
31416,0
31532,0
31594,0
30555,1
22113,2
22217,2
22550,2
22583,2
22602,2
22641,2
22802,2
22820,2
22837,2
22887,2
23205,2
23324,2
23405,2
23418,2
23631,2
23711,2
23724,2
23804,2
23921,2
23933,2
26063,2
26258,2
26477,2
27037,2
27199,2
27333,2
27459,2
27595,2
27612,2
27648,2
27823,2
27947,2
28064,2
28138,2
28224,2
28275,2
28411,2
28434,2
28440,2
28493,2
28661,2
28698,2
28722,2
28900,2
29430,2
29570,2
29612,2
29838,2
29866,2
30710,2
30925,2
31088,2
31168,2
31510,2
31707,2
31873,2
31909,2
31915,2
31960,2
32061,2
32098,2
32165,2
32389,2
32411,2
33008,2
34009,2
34123,2
34139,2
34163,2
34172,2
34391,2
34646,2
34824,2
34861,2
34880,2
35121,2
36034,2
37031,2
37099,2
37235,2
37472,2
25913,3
