station,rp5_mean,rp5_std,hydromet_mean,baseline_mae_train,baseline_bias_train,n_train,mae_base_mode_warm,mae_base_mode_cold,bias_base_mode_warm,bias_base_mode_cold,calib_mae_model,calib_mae_base,calib_bias_model,calib_gain_mean,n_calib,calib_gain_mode_warm,calib_gain_mode_cold,calib_mae_model_mode_warm,calib_mae_model_mode_cold,calib_mae_base_mode_warm,calib_mae_base_mode_cold,mae_year_mean,mae_year_std,mae_year_max,bias_year_std,years_count,cluster_id_v3
22113,1.028713210130048,10.249416462237667,1.8426078028747435,1.100479123887748,-0.8138945927446956,2922,0.6072429906542055,1.7983471074380166,-0.22605140186915887,-1.6456198347107438,0.7294804483234295,1.2580821917808218,0.0320559770308358,0.5286017434573924,365,0.04390249961854403,1.2155264996263564,0.4752563788861288,1.089771513618677,0.5191588785046729,2.305298013245033,1.100457556703346,0.2144777964350684,1.339178082191781,0.15077976795773468,8,0
22217,1.9295611171563294,10.004782614837586,1.9092491838955388,0.36692056583242655,0.020311933260790695,2757,0.2898034398034398,0.4781222320637732,0.004054054054054045,0.04375553587245346,0.7091852801600598,0.6638356164383561,0.3813051635714579,-0.04534966372170369,365,-0.0770296037854261,-0.0004522652207990857,0.44618848229009894,1.0819092188631831,0.3691588785046728,1.0814569536423841,0.36654126291584177,0.06748901847694551,0.43434065934065935,0.07334758470379792,8,0
22550,2.619412381951731,10.250644940586481,2.6532353969919553,0.7801678908709339,-0.033823015040223836,2859,0.6785930867192238,0.9185950413223141,-0.0904790782292298,0.043388429752066124,0.7021754140313715,0.7178082191780822,0.06687703070894187,0.01563280514671068,365,0.03217598804311874,-0.007812500415086163,0.5402539184989372,0.9316535600177352,0.572429906542056,0.9238410596026491,0.7805739148744627,0.20307997576771114,1.0013698630136987,0.03738859649698838,8,0
22583,0.8817058096415328,11.81273726279031,0.8320148331273176,0.8102183765966213,0.04969097651421509,2427,0.6614047791455467,1.0066921606118546,0.04547429398986244,0.055258126195028665,0.8936355948711631,0.8860273972602739,0.25934880974887525,-0.007608197610889117,365,-0.007203348265051264,-0.008181957610950712,0.7329042828444905,1.1214269907235335,0.7257009345794392,1.1132450331125827,0.8077799920930445,0.3465071195416396,1.237037037037037,0.0621790985018093,8,0
22602,3.6096658282429037,9.971381226385095,3.586633129716134,0.40794107078692055,0.02303269852676967,2783,0.37015550239234446,0.4648064806480648,0.03785885167464115,0.0007200720072007143,0.6404612347080486,0.6175342465753424,0.09503647133350787,-0.02292698813270623,365,-0.0339959837766103,-0.007239802253266028,0.41296794639343276,0.9628689413261136,0.3789719626168225,0.9556291390728475,0.4087242037873436,0.046351800628790435,0.47206349206349213,0.033438752733163074,8,0
22641,2.629766454352442,9.950069983733895,2.640339702760085,0.6736730360934182,-0.01057324840764332,2355,0.613317572892041,0.7441988950276243,-0.019148936170212766,-0.0005524861878453235,0.9137410873385172,0.9123287671232878,0.14584535052336453,-0.0014123202152294902,365,0.0031783669349241418,-0.007918327169751856,0.7122421938127396,1.199309055646573,0.7154205607476637,1.1913907284768213,0.6822839607360095,0.1867932290274983,0.9013452914798207,0.0326061897466636,8,0
22802,5.269130732375086,9.05417707034213,5.280116358658453,0.33521560574948667,-0.010985626283367562,2922,0.3216705607476636,0.3543801652892562,-0.01991822429906542,0.0016528925619834604,0.3906263436174199,0.3624657534246575,-0.03459139006709905,-0.028160590192762354,365,-0.029618350719319342,-0.02609462494320476,0.3202725563267959,0.49033303553923135,0.29065420560747657,0.46423841059602655,0.33522260273972604,0.04247857309579728,0.39616438356164374,0.018080534249639763,8,0
22820,4.827259475218659,9.30660079963502,4.6873542274052475,0.4888848396501458,0.1399052478134111,2744,0.47888544891640866,0.5031886625332153,0.19294117647058825,0.06403897254207264,0.4971314960958002,0.46,0.0003491808826180083,-0.037131496095800215,365,-0.04830515175344091,-0.02129598410417698,0.43662290876278675,0.5828853880776869,0.38831775700934584,0.5615894039735099,0.48545460800125534,0.10621619417836956,0.6352459016393442,0.09508776311729825,8,0
22837,5.202655846551088,10.199898358474561,4.72939874585024,1.0378458133530062,0.4732571007008484,2711,1.0628125,1.0018901890189018,0.6633125,0.19954995499549957,1.1155308777660335,1.1884931506849314,-0.039930855138354905,0.07296227291889791,365,0.1248842874776885,-0.0006225689061430495,0.9718446844849284,1.319165615263759,1.096728971962617,1.3185430463576158,1.04332303705859,0.24075888326551229,1.2483775811209439,0.1390634395883596,8,0
22887,3.521256732495512,10.993643369727145,3.531131059245961,0.7216876122082586,-0.009874326750448836,2785,0.6307738452309538,0.8572450805008944,-0.011217756448710262,-0.007871198568872986,0.9042884746628461,0.9054945054945056,0.049389690605624134,0.001206030831659422,364,0.006221042996137493,-0.005948719856329294,0.6956481158823672,1.2019487198563292,0.7018691588785048,1.196,0.7208838539472863,0.17087189769026814,0.880056179775281,0.01973459054577597,8,0
