calib_year,test_year,status,baseline_RMSE,baseline_MAE,xgb_delta_global_RMSE,xgb_delta_global_MAE,xgb_delta_gated_RMSE,xgb_delta_gated_MAE,xgb_delta_gated_RMSE_gain_vs_baseline,xgb_delta_gated_MAE_gain_vs_baseline,gate_open_station_count,improved_station_count,worsened_station_count,train_rows,calib_rows,test_rows
2019,2020,ok,1.5723124815488003,1.0475255879790941,1.4635207732537852,1.001050703716287,1.4621799791394996,0.9974247380766188,0.11013250240930073,0.05010084990247532,80,73,7,252216,39079,36736
2020,2021,ok,1.8098990293190882,1.1969237315179238,1.7435967569865034,1.1633999893975842,1.7449820105924996,1.160016633590692,0.06491701872658862,0.03690709792723168,83,71,12,291295,36736,47005
2021,2022,ok,1.7383100594669885,1.1287012959102531,1.6383856674030928,1.0846806603508978,1.6372917366713058,1.0815256942104885,0.10101832279568268,0.04717560169976465,85,77,8,328031,47005,46531
2022,2023,ok,1.7117993580596766,1.160519366197183,1.6223716193631694,1.1181303281108956,1.624362757632138,1.115785284413788,0.08743660042753865,0.044734081783395,89,78,8,375036,46531,45440
