station,status,n_test,baseline_RMSE,baseline_MAE,loso_RMSE,loso_MAE,loso_RMSE_gain_vs_baseline,loso_MAE_gain_vs_baseline
37235,ok,730,1.2067844741805753,1.029315068493151,0.9716705866368978,0.8139936281286486,0.23511388754367757,0.2153214403645023
34163,ok,728,1.7497527297834443,1.4795329670329673,1.6046474655141951,1.3180769972798063,0.1451052642692492,0.161455969753161
34139,ok,179,1.5304360936907846,1.2033519553072625,1.3709101699077733,1.052003897835797,0.15952592378301134,0.1513480574714654
34646,ok,179,1.2224848766929663,0.9837988826815643,1.1456840677133817,0.8662756356030871,0.07680080897958463,0.11752324707847728
28138,ok,723,2.711700481630427,2.3658367911479945,2.632957592890939,2.2806516884874104,0.07874288873948831,0.0851851026605841
30555,ok,91,12.4632029820359,11.973626373626372,12.396247635772358,11.898257107836203,0.06695534626354238,0.07536926579016878
29866,ok,729,2.0099341757745455,1.4866941015089163,1.9554532437362264,1.4235792330778447,0.05448093203831905,0.06311486843107161
25913,ok,730,5.156235751329421,3.4794520547945207,5.047325419336344,3.4286328217172475,0.10891033199307643,0.05081923307727321
34861,ok,730,0.8288050483793991,0.6357534246575343,0.7757000781189337,0.5988722350359703,0.053104970260465345,0.03688118962156395
25703,ok,730,2.7830701486047373,2.0484931506849318,2.7530842659727828,2.0136053158487,0.029985882631954563,0.03488783483623159
31004,ok,729,1.8060027936121748,1.3333333333333333,1.7619643608747735,1.2995846528766404,0.04403843273740127,0.03374868045669288
24817,ok,730,2.4107976284788926,1.7509589041095892,2.3913315423041235,1.7172605777069072,0.01946608617476908,0.033698326402682
29231,ok,730,1.9440953807144004,1.422739726027397,1.9120836199682596,1.3923596202919006,0.03201176074614076,0.030380105735496432
29698,ok,730,1.9786047387815402,1.476164383561644,1.9501187177023425,1.447096143418617,0.028486021079197732,0.029068240143027113
29838,ok,730,1.8056228766281015,1.3326027397260274,1.768416638776529,1.3035517093582216,0.03720623785157251,0.029051030367805764
30965,ok,730,2.0264382681923774,1.5615068493150683,1.9889347581775993,1.533214370714443,0.03750351001477803,0.028292478600625337
30393,ok,730,1.5463744606668657,1.131917808219178,1.5211594450662098,1.1055559150088055,0.025215015600655866,0.026361893210372633
27333,ok,728,1.2420571822408355,0.9767857142857144,1.2183890647284688,0.9508027166277037,0.02366811751236675,0.02598299765801071
25551,ok,730,2.678785249130453,1.9591780821917806,2.6311259366557063,1.9333167833285023,0.04765931247474686,0.02586129886327826
31707,ok,729,1.7645106807233644,1.3495198902606311,1.7321137285284542,1.3246402984699177,0.03239695219491012,0.024879591790713418
36034,ok,730,1.938934179755635,1.393835616438356,1.920493323856445,1.3692515812226975,0.01844085589918998,0.02458403521565855
29282,ok,730,2.094235401717825,1.4910958904109588,2.0720084687511395,1.4672097919000933,0.022226932966685542,0.02388609851086554
