station,n,baseline_mae,xgb_delta_mae,gain,alpha,base_eps,adaptive_eps
25913,365,2.946849315068493,1.3138820445751898,1.6329672704933031,0.5541400648289845,0.005,0.005
22113,365,1.258082191780822,0.7294804483234295,0.5286017434573925,0.42016471333176886,0.005,0.005
37235,365,0.8843835616438357,0.5759374579093227,0.308446103734513,0.34876960304553045,0.005,0.005
30710,365,1.2413698630136987,1.0449567473665429,0.1964131156471558,0.15822288062505377,0.005,0.005
29570,365,1.4216438356164383,1.244606285599405,0.17703755001703336,0.12453017104686294,0.005,0.005
25563,365,2.4104109589041096,2.2789591053708724,0.13145185353323718,0.05453503812188176,0.005,0.005
26063,365,0.6131506849315069,0.4983153562553941,0.11483532867611285,0.187287287608495,0.005,0.005
34139,179,1.2016759776536314,1.089800137543645,0.11187584010998641,0.0930998390501514,0.005,0.005
30555,179,9.524581005586592,9.41511880706361,0.10946219852298178,0.011492599880118328,0.005,0.005
30823,365,1.2115068493150685,1.1028624014574906,0.10864444785757787,0.08967712227050187,0.005,0.005
28900,365,0.6528767123287671,0.5707408855984318,0.08213582673033526,0.12580602919249842,0.005,0.005
24688,365,1.8846575342465757,1.8111809704256283,0.07347656382094736,0.03898669253473729,0.005,0.005
22837,365,1.1884931506849314,1.1155308777660335,0.0729622729188979,0.06139057080543507,0.005,0.005
28440,365,0.8567123287671234,0.7858545563579218,0.07085777240920166,0.08270894444949985,0.005,0.005
29866,293,1.4860068259385668,1.4200430467000882,0.06596377923847863,0.044389957089743304,0.005,0.005
34163,275,1.2272727272727275,1.172438205425543,0.054834521847184625,0.04467998076437265,0.005,0.005
30965,365,1.5865753424657534,1.5318129252007051,0.05476241726504827,0.034516115181734794,0.005,0.005
31873,365,1.3345205479452056,1.2815584639248387,0.05296208402036684,0.03968622596475856,0.005,0.005
29838,365,1.5197260273972604,1.4670680620173655,0.05265796537989487,0.03464964370589801,0.005,0.005
25703,364,2.1123626373626374,2.0609730791799454,0.051389558182691975,0.024327999972037818,0.005,0.005
30393,364,1.2436813186813187,1.193464668246068,0.05021665043525081,0.04037742601818267,0.005,0.005
21946,365,1.5838356164383565,1.5356564989428303,0.04817911749552617,0.030419266365450698,0.005,0.005
30673,365,1.5561643835616439,1.509112578959217,0.04705180460242686,0.03023575471810881,0.005,0.005
21982,365,1.2167123287671233,1.171415219541754,0.045297109225369336,0.03722910350655215,0.005,0.005
24966,339,1.8380530973451328,1.794408271330715,0.04364482601441777,0.023745138852331284,0.005,0.005
31594,365,1.4994520547945205,1.4567136771914118,0.042738377603108724,0.02850266366733909,0.005,0.005
31707,365,1.232602739726027,1.1900796558679883,0.042523083858038824,0.03449861215422133,0.005,0.005
31915,365,1.1893150684931508,1.1478647060787994,0.041450362414351405,0.0348522973536933,0.005,0.005
24266,365,2.0021917808219176,1.9632654119104351,0.03892636891148249,0.019441878287754667,0.005,0.005
32098,365,1.5421917808219177,1.503452255847443,0.03873952497447464,0.02511978435900381,0.005,0.005
30949,365,1.4032876712328768,1.3648571389484896,0.0384305322843872,0.0273860684962931,0.005,0.005
28722,365,0.8958904109589038,0.8579169238867693,0.03797348707213444,0.042386308199783104,0.005,0.005
25551,364,2.125824175824176,2.08811308431118,0.037711091512995676,0.017739515780215077,0.005,0.005
24908,365,1.894246575342466,1.8568031375435479,0.03744343779891812,0.0197669291243927,0.005,0.005
31168,365,1.2580821917808218,1.220701669205924,0.03738052257489777,0.02971230561811343,0.005,0.005
31960,365,1.3572602739726027,1.3204050069294027,0.03685526704320008,0.02715416324337511,0.005,0.005
30521,365,1.4043835616438354,1.3680024730262017,0.03638108861763367,0.025905379136629523,0.005,0.005
27595,365,0.8517808219178081,0.8155719854711387,0.03620883644666939,0.042509569967945735,0.005,0.005
35121,365,0.9882191780821917,0.9525793244476647,0.03563985363452704,0.036064725746055924,0.005,0.005
24343,363,1.3575757575757577,1.3221921991060352,0.03538355846972241,0.02606378190850088,0.005,0.005
31004,365,1.232054794520548,1.1966915333301007,0.035363261190447304,0.028702669189489136,0.005,0.005
30925,365,1.2112328767123288,1.1763245049334605,0.0349083717788683,0.028820528611822955,0.005,0.005
31416,365,1.692602739726028,1.6582007177232543,0.03440202200277365,0.020324923973797957,0.005,0.005
23891,364,1.4549450549450547,1.4210743591626263,0.033870695782428406,0.02327970782629143,0.005,0.005
29698,365,1.4712328767123288,1.4381379920608452,0.03309488465148358,0.0224946608897421,0.005,0.005
30372,365,1.6578082191780823,1.6247655574340145,0.03304266174406778,0.019931534517575178,0.005,0.005
31329,365,1.0575342465753426,1.0248404065602736,0.03269384001506892,0.030915159599741334,0.005,0.005
31369,365,1.409041095890411,1.3763756589502836,0.03266543694012736,0.023182742529936778,0.005,0.005
24507,364,1.6873626373626376,1.655254381561946,0.03210825580069154,0.019028663483314424,0.005,0.005
29612,364,1.048901098901099,1.0169355006190097,0.031965598282089225,0.03047532156804735,0.005,0.005
24959,365,1.2219178082191782,1.1900157971845378,0.03190201103464041,0.02610814804404428,0.005,0.005
31388,354,1.2522598870056498,1.22142183382977,0.030838053175879843,0.02462592110142446,0.005,0.005
34391,365,0.9169863013698628,0.8894372664867224,0.027549034883140422,0.03004301682804379,0.005,0.005
30636,364,1.5796703296703296,1.5524945900126252,0.027175739657704368,0.017203424757225028,0.005,0.005
24951,365,1.5734246575342465,1.5471342788179314,0.02629037871631512,0.016709016596648127,0.005,0.005
29231,365,1.4005479452054792,1.3744928603922335,0.0260550848132457,0.018603493655779894,0.005,0.005
31532,365,1.552876712328767,1.5268745575345137,0.026002154794253274,0.01674450688056183,0.005,0.005
28138,306,1.8362745098039215,1.8104394286384085,0.02583508116551303,0.014069291398197166,0.005,0.005
30777,365,1.286301369863014,1.261310422546039,0.024990947316974932,0.019428531992962406,0.005,0.005
28434,364,1.2494505494505495,1.2248748478725306,0.024575701578018805,0.019669207067719536,0.005,0.005
31510,365,1.0249315068493152,1.000485804224744,0.02444570262457124,0.02385105976468458,0.005,0.005
32061,364,1.2678571428571428,1.243434539077174,0.024422603779968854,0.019262898756031772,0.005,0.005
36034,365,1.4816438356164385,1.4611832748827756,0.02046056073366298,0.01380936514013866,0.005,0.005
31909,365,1.2964383561643837,1.2766423069634747,0.01979604920090905,0.015269564578046919,0.005,0.005
24817,365,1.7164383561643837,1.6983357431855026,0.01810261297888105,0.010546614105812582,0.005,0.005
34861,365,0.575890410958904,0.5582542270299506,0.017636183928953386,0.030624201398991375,0.005,0.005
31088,365,0.9997260273972604,0.9821070150979907,0.017619012299269654,0.01762384074878987,0.005,0.005
23472,365,1.5046575342465756,1.4870590664464214,0.01759846780015417,0.011695995533605738,0.005,0.005
31253,337,1.1477744807121661,1.1304314525046961,0.017343028207470024,0.015110135744357286,0.005,0.005
30230,365,1.2435616438356165,1.2273612982695856,0.016200345566030894,0.01302737636395963,0.005,0.005
24944,364,1.3057692307692306,1.289575301098719,0.016193929670511586,0.012401831264603869,0.005,0.005
23955,365,1.3512328767123285,1.3355723534043469,0.015660523307981622,0.011589803340254041,0.005,0.005
22550,365,0.717808219178082,0.7021754140313714,0.015632805146710615,0.02177852625400525,0.005,0.005
23933,365,0.9767123287671233,0.9629931958693987,0.01371913289772464,0.014046237048161271,0.005,0.005
24641,364,1.320054945054945,1.3066653103622667,0.013389634692678287,0.010143240433163156,0.005,0.005
29263,364,1.2057692307692307,1.1929101664032136,0.012859064366017137,0.010664614785213574,0.005,0.005
23884,365,1.4761643835616438,1.4640786394415013,0.012085744120142516,0.00818726169979959,0.005,0.005
27459,365,0.9583561643835615,0.9469764613562378,0.011379703027323718,0.011874189836973005,0.005,0.005
27333,253,1.066403162055336,1.0560528369878006,0.010350325067535415,0.009705827435457597,0.005,0.005
29282,365,1.2978082191780822,1.2877349807391554,0.010073238438926824,0.007761731117180263,0.005,0.005
23921,364,1.3782967032967033,1.3684679090487308,0.00982879424797245,0.007131116416707139,0.005,0.005
30252,365,1.6312328767123287,1.6223442844186,0.008888592293728736,0.005449002665789367,0.005,0.005
32411,365,1.2542465753424659,1.2455884422981243,0.008658133044341598,0.006903054961084934,0.005,0.005
28661,365,0.8473972602739724,0.8395503878587064,0.007846872415266049,0.009259969064248653,0.005,0.005
24738,364,1.4505494505494505,1.4428181500427406,0.007731300506709893,0.0053299117129590925,0.005,0.005
28224,321,1.0457943925233646,1.0380933154046512,0.007701077118713373,0.007363853902612429,0.005,0.005
23631,365,0.942191780821918,0.9345444544688608,0.007647326353057204,0.008116528406123522,0.005,0.005
34172,364,1.0324175824175823,1.0249756619623978,0.0074419204551845475,0.0072082465292367635,0.005,0.005
23724,365,1.0712328767123287,1.0641961768844916,0.007036699827837056,0.00656878628429802,0.005,0.005
27947,327,1.0553516819571866,1.0508675875243323,0.0044840944328543575,0.004248910111687554,0.005,0.005
28064,365,0.9076712328767123,0.9035190473479691,0.004152185528743191,0.00457454789614025,0.005,0.005
37031,365,0.8082191780821918,0.8045297071796982,0.003689470902493608,0.004564938574271752,0.005,0.005
32165,365,0.8424657534246576,0.8404615175417762,0.0020042358828813445,0.0023790116983794817,0.005,0.005
34123,365,0.6342465753424658,0.6326403670859434,0.0016062082565223568,0.0025324665815579274,0.005,0.005
34824,365,0.7293150684931509,0.7278754942719059,0.0014395742212449658,0.0019738714904373117,0.005,0.005
22887,364,0.9054945054945056,0.9042884746628461,0.001206030831659488,0.0013319029815656966,0.005,0.005
22641,365,0.9123287671232877,0.9137410873385172,-0.0014123202152295233,0.0,0.005,0.005
28275,365,1.067945205479452,1.069600990749194,-0.0016557852697418607,0.0,0.005,0.005
30054,365,1.0723287671232877,1.075850256477317,-0.0035214893540291836,0.0,0.005,0.005
23405,365,0.9263013698630135,0.9299614440235198,-0.003660074160506288,0.0,0.005,0.005
27199,365,0.8153424657534247,0.8190370578323937,-0.003694592078968939,0.0,0.005,0.005
23205,364,1.0483516483516482,1.0531410184942804,-0.004789370142632254,0.0,0.005,0.005
34646,327,0.8348623853211009,0.840782175084935,-0.005919789763834116,0.0,0.005,0.005
23804,365,0.682191780821918,0.6884709791195491,-0.006279198297631128,0.0,0.005,0.005
34880,365,0.4734246575342466,0.47977932151215635,-0.006354663977909736,0.0,0.005,0.005
29430,365,0.6326027397260273,0.6394915215885314,-0.006888781862504079,0.0,0.005,0.005
27648,365,0.9419178082191783,0.9494916684638824,-0.007573860244704189,0.0,0.005,0.005
22583,365,0.886027397260274,0.8936355948711631,-0.007608197610889045,0.0,0.005,0.005
20891,365,1.3630136986301367,1.370653063887762,-0.00763936525762543,0.0,0.005,0.005
23418,364,1.074725274725275,1.0832323209960193,-0.00850704627074439,0.0,0.005,0.005
33008,365,0.4208219178082191,0.43446078193150717,-0.013638864123288075,0.0,0.005,0.005
30758,365,0.9413698630136985,0.9602702436577976,-0.018900380644099046,0.0,0.005,0.005
27823,365,0.8172602739726026,0.8372264575336306,-0.019966183561027973,0.0,0.005,0.005
28411,327,0.9865443425076453,1.0065290686409547,-0.019984726133309372,0.0,0.005,0.005
23711,365,0.9139726027397261,0.9343775507769778,-0.02040494803725168,0.0,0.005,0.005
32389,365,1.043013698630137,1.0653097063222619,-0.02229600769212481,0.0,0.005,0.005
22602,365,0.6175342465753424,0.6404612347080486,-0.022926988132706216,0.0,0.005,0.005
37472,364,0.6186813186813187,0.6419858347624541,-0.023304516081135374,0.0,0.005,0.005
28698,365,0.9041095890410958,0.9284233588509719,-0.024313769809876096,0.0,0.005,0.005
27037,365,0.6586301369863014,0.68354749158988,-0.02491735460357869,0.0,0.005,0.005
26477,364,0.3826923076923077,0.4089021625107277,-0.026209854818419975,0.0,0.005,0.005
27612,365,0.3400000000000001,0.36750804138330795,-0.02750804138330787,0.0,0.005,0.005
22802,365,0.3624657534246576,0.3906263436174199,-0.02816059019276229,0.0,0.005,0.005
23324,365,1.0906849315068494,1.1195326635860903,-0.02884773207924085,0.0,0.005,0.005
22820,365,0.45999999999999996,0.4971314960958002,-0.03713149609580024,0.0,0.005,0.005
28493,365,1.0054794520547945,1.0428078231851456,-0.037328371130351146,0.0,0.005,0.005
22217,365,0.6638356164383561,0.7091852801600598,-0.04534966372170368,0.0,0.005,0.005
