target_coverage,month,n,q_month,coverage,mean_width,wis_mean,crps_like
0.8,1,7936,2.4737326145172136,0.8102318548387096,4.947465229034428,8.28382730639447,0.8283827306394466
0.8,2,7164,2.4853225839138027,0.8422668900055835,4.970645167827604,7.478142979807415,0.7478142979807414
0.8,3,7944,2.1348889017105117,0.7969536757301108,4.2697778034210225,7.180322223048239,0.718032222304824
0.8,4,7679,1.7905219388008113,0.8012762078395624,3.5810438776016222,5.76362484913275,0.5763624849132751
0.8,5,7857,1.4526285624504092,0.7836324296805397,2.9052571249008183,4.6895022796603625,0.46895022796603625
0.8,6,7674,1.2534596025943754,0.7861610633307271,2.506919205188751,4.076527156861929,0.4076527156861928
0.8,7,7721,1.2745677130669357,0.8368087035358114,2.549135426133873,3.690219914727378,0.3690219914727378
0.8,8,7708,1.293694621324537,0.827322262584328,2.5873892426490745,3.708206753192721,0.3708206753192721
0.8,9,7437,1.4000000000000004,0.7876832055936533,2.8000000000000007,4.67678254578807,0.4676782545788071
0.8,10,7694,1.5270348548889157,0.8019235768131011,3.0540697097778318,5.084913450234078,0.5084913450234075
0.8,11,7441,2.0999999999999996,0.795323209246069,4.2,7.056768944716027,0.7056768944716026
0.8,12,7716,2.5,0.8300933125972006,5.0,7.781487928791116,0.7781487928791115
0.85,1,7936,2.8999999999999986,0.8534526209677419,5.799999999999996,9.299449770311014,0.697458732773326
0.85,2,7164,2.8999999999999986,0.8803740926856505,5.799999999999997,8.387825786769122,0.6290869340076842
0.85,3,7944,2.5388233017921453,0.849320241691843,5.077646603584291,8.014732764214711,0.6011049573161032
0.85,4,7679,2.0999999999999996,0.8519338455528064,4.200000000000001,6.399854573707127,0.4799890930280346
0.85,5,7857,1.692995631545782,0.8331424207712868,3.385991263091564,5.1572479851838064,0.3867935988887855
0.85,6,7674,1.4539152893424026,0.8385457388584832,2.9078305786848038,4.504224780061035,0.3378168585045777
0.85,7,7721,1.5,0.8869317445926693,3.0,4.110663003129431,0.30829972523470733
0.85,8,7708,1.5133083403110525,0.881811105345096,3.0266166806221055,4.101063163785925,0.3075797372839444
0.85,9,7437,1.6840365138649938,0.8383756891219578,3.3680730277299875,5.165221120493263,0.38739158403699475
0.85,10,7694,1.8000000000000005,0.8481933974525604,3.600000000000001,5.667771586324101,0.42508286897430775
0.85,11,7441,2.5,0.8454508802580298,5.0,7.847570083986542,0.5885677562989907
0.85,12,7716,3.0,0.8745463970969414,6.0,8.720999095164741,0.6540749321373557
0.9,1,7936,3.506526147127153,0.8995715725806451,7.013052294254306,10.780282862995865,0.5390141431497932
0.9,2,7164,3.5,0.9204355108877722,7.0,9.686606866837828,0.4843303433418913
0.9,3,7944,3.082522550523281,0.8965256797583081,6.1650451010465614,9.201312080424175,0.4600656040212088
0.9,4,7679,2.5417230302095413,0.8998567521812736,5.083446060419082,7.286425777011563,0.36432128885057813
0.9,5,7857,2.035885677337648,0.8907980145093547,4.071771354675296,5.799555192897046,0.28997775964485234
0.9,6,7674,1.7280769139528287,0.8891060724524368,3.4561538279056583,5.106018142236957,0.25530090711184783
0.9,7,7721,1.840584474205971,0.9299313560419635,3.6811689484119436,4.737577297001211,0.2368788648500605
0.9,8,7708,1.802009493112564,0.9221587960560457,3.604018986225128,4.648385639621533,0.23241928198107664
0.9,9,7437,2.000792906284333,0.8871856931558424,4.001585812568665,5.833362885329269,0.2916681442664634
0.9,10,7694,2.2286763429641727,0.8984923316870288,4.4573526859283445,6.47755310673782,0.3238776553368909
0.9,11,7441,3.188339395225048,0.9025668592931058,6.3766787904500974,8.946664944849124,0.4473332472424561
0.9,12,7716,3.76987855374813,0.9228875064800415,7.539757107496258,10.076372992354212,0.5038186496177105
