station,cluster_id_v3
22113,0
22217,0
22550,0
22583,0
22602,0
22641,0
22802,0
22820,0
22837,0
22887,0
23205,0
23324,0
23405,0
23418,0
23631,0
23711,0
23724,0
23804,0
23921,0
23933,0
26063,0
26258,0
26477,0
27037,0
27199,0
27333,0
27459,0
27595,0
27612,0
27648,0
27823,0
28064,0
28138,0
28224,0
28275,0
28434,0
28440,0
28493,0
28661,0
28698,0
28722,0
28900,0
29430,0
31088,0
31510,0
31909,0
31915,0
32165,0
32411,0
33008,0
34123,0
34163,0
34172,0
34391,0
34824,0
34861,0
34880,0
35121,0
37031,0
37235,0
37472,0
25913,1
20674,2
20891,2
21946,2
21982,2
23472,2
23884,2
23891,2
23955,2
24125,2
24266,2
24343,2
24507,2
24641,2
24688,2
24738,2
24817,2
24908,2
24944,2
24951,2
24959,2
24966,2
25551,2
25563,2
25703,2
29231,2
29263,2
29282,2
29570,2
29612,2
29698,2
29838,2
29866,2
30054,2
30230,2
30252,2
30372,2
30393,2
30521,2
30636,2
30673,2
30710,2
30758,2
30777,2
30823,2
30925,2
30949,2
30965,2
31004,2
31168,2
31253,2
31329,2
31369,2
31388,2
31416,2
31532,2
31594,2
31707,2
31873,2
31960,2
32061,2
32098,2
32389,2
36034,2
30555,3
27947,4
28411,4
34009,4
34139,4
34646,4
37099,4
