station,n_calib,mae_model,mae_baseline,mae_seasonal,best_fallback,fallback_mae,use_fallback,calib_margin_to_fallback
30555,179,9.41511880706361,9.524581005586592,8.720191530239125,seasonal,8.720191530239125,1,0.694927276824485
25551,364,2.08811308431118,2.125824175824176,2.0518240667866543,seasonal,2.0518240667866543,1,0.036289017524525846
28138,306,1.8104394286384085,1.8362745098039215,1.7841758306040327,seasonal,1.7841758306040327,1,0.026263598034375724
37031,365,0.8082191780821918,0.8082191780821918,0.792149694200474,seasonal,0.792149694200474,1,0.016069483881717805
24908,365,1.8568031375435479,1.894246575342466,1.8411052057700577,seasonal,1.8411052057700577,1,0.015697931773490215
23884,365,1.4640786394415013,1.4761643835616438,1.4484946601131423,seasonal,1.4484946601131423,1,0.015583979328358977
30252,365,1.6223442844186,1.6312328767123287,1.6099623417362674,seasonal,1.6099623417362674,1,0.012381942682332614
31329,365,1.0248404065602736,1.0575342465753426,1.0130250623129224,seasonal,1.0130250623129224,1,0.0118153442473512
34824,365,0.7293150684931509,0.7293150684931509,0.7175676271263688,seasonal,0.7175676271263688,1,0.011747441366782074
30054,365,1.0723287671232877,1.0723287671232877,1.06097644062483,seasonal,1.06097644062483,1,0.011352326498457632
21946,365,1.5356564989428303,1.5838356164383565,1.5259010696396669,seasonal,1.5259010696396669,1,0.009755429303163421
30777,365,1.261310422546039,1.286301369863014,1.2519183871375243,seasonal,1.2519183871375243,1,0.009392035408514632
31909,365,1.2766423069634747,1.2964383561643837,1.26764066791962,seasonal,1.26764066791962,1,0.009001639043854759
30393,364,1.193464668246068,1.2436813186813187,1.1845443566792948,seasonal,1.1845443566792948,1,0.008920311566773087
31388,354,1.22142183382977,1.2522598870056498,1.2127571218171076,seasonal,1.2127571218171076,1,0.00866471201266239
30949,365,1.3648571389484896,1.4032876712328768,1.3564485579945844,seasonal,1.3564485579945844,1,0.008408580953905176
