station,month,n,baseline_mae,ridge_mae,gain,alpha,is_eligible
25913,12,31,6.7612903225806456,4.741883476420713,2.0194068461599324,0.2986718140789976,1
25913,10,31,3.8709677419354844,2.211880757356489,1.6590869845789955,0.42859747101624046,1
25913,1,31,5.516129032258065,4.095813461594782,1.4203155706632833,0.2574841093015309,1
25913,11,30,4.39,3.2197295308785763,1.1702704691214234,0.2665764166563607,1
25913,3,31,3.5999999999999996,2.4989320568339566,1.101067943166043,0.305852206435012,1
25913,2,28,2.439285714285714,1.571831830682336,0.867453883603378,0.35561799034984753,1
30555,7,26,9.215384615384616,8.407907690410113,0.8074769249745035,0.08762270471342691,1
37235,8,31,1.425806451612903,0.714760665148297,0.711045786464606,0.4986972710498369,1
30555,8,31,9.148387096774192,8.473656288175038,0.6747308085991541,0.07375407287226299,1
22113,2,28,3.225,2.6293259543470233,0.5956740456529768,0.18470513043503156,1
22113,12,31,2.8580645161290326,2.2903935290704314,0.5676709870586012,0.19862077425300942,1
22113,11,30,1.8733333333333335,1.3426736706739157,0.5306596626594178,0.283270282558408,1
30555,12,31,9.14516129032258,8.638884083230455,0.5062772070921255,0.05536011788308957,1
29570,11,30,1.56,1.0626509002604612,0.4973490997395389,0.3188135254740634,1
37235,6,30,1.0199999999999998,0.5317077189109441,0.48829228108905565,0.4787179226363292,1
29570,12,31,2.967741935483872,2.4813909409359005,0.48635099454797137,0.16387913946725116,1
22113,1,31,2.4387096774193546,1.9611749056565706,0.477534771762784,0.19581452281278183,1
30555,9,30,8.316666666666666,7.848551331441727,0.4681153352249394,0.05628641305309893,1
30555,11,30,11.613333333333333,11.179530132310619,0.4338032010227142,0.037353892166134973,1
37235,7,31,0.9967741935483871,0.5840351134709523,0.4127390800774349,0.41407480525567897,1
30555,10,31,9.687096774193549,9.275470254373019,0.4116265198205298,0.04249224813332142,1
30823,12,31,1.6806451612903226,1.3087540602797225,0.3718911010106001,0.22127877411379276,1
29570,1,31,2.832258064516129,2.461571443980758,0.3706866205353707,0.1308802418746753,1
30710,12,31,1.935483870967742,1.5812965511406696,0.3541873198270724,0.18299678191065408,1
37235,9,30,1.0833333333333333,0.7345718456483091,0.34876148768502413,0.3219336809400223,1
30710,1,31,2.035483870967742,1.743141482747373,0.29234238822036906,0.14362304334122727,1
34391,8,31,1.2709677419354832,0.9792884002520662,0.291679341683417,0.22949389827883077,1
26063,10,31,0.7806451612903228,0.491672940202758,0.2889722210875648,0.37017102701299615,1
30710,11,30,1.7266666666666666,1.4436482375833788,0.2830184290832878,0.16391028711387323,1
22837,6,30,1.2566666666666664,0.9751887122089986,0.28147795445766777,0.22398776216790545,1
37235,5,31,0.8161290322580643,0.5353658033596919,0.28076322889837246,0.3440181856067015,1
34163,8,31,1.5806451612903225,1.3027622527056884,0.27788290858463416,0.17580347277803388,1
27595,3,31,1.4322580645161291,1.1643244428784394,0.26793362163768975,0.18707077186415275,1
24959,12,31,1.1096774193548389,0.8450403017422279,0.264637117612611,0.23848112342996916,1
34163,7,26,1.8884615384615389,1.6245860035532855,0.26387553490825333,0.13973042581699766,1
28440,3,31,0.9580645161290323,0.6946142180195746,0.26345029810945775,0.27498179263950134,1
29570,3,31,1.7838709677419355,1.5401956958880534,0.24367527185388216,0.13659915782044027,1
