group,n,R2,RMSE,MAE,MedAE
27857,4017,0.998370389414929,0.4510607908246825,0.29417446126740815,0.18400869369506845
27947,4017,0.9983790598509281,0.44232235990402324,0.3043802470629091,0.2052210807800293
27962,4017,0.99855170087827,0.43977908935459753,0.3027352600629454,0.20596065521240237
27995,4017,0.9987009735727228,0.4521571412067095,0.3070633068231911,0.20324459075927725
28900,4017,0.9986894937723507,0.45137810810824436,0.29467508661708397,0.19201011657714773
34059,4017,0.9987695074323094,0.4042834294907372,0.2773308386813357,0.186696243286133
34152,4017,0.9985787169431897,0.4316930159178089,0.2987783630837366,0.20409011840820312
34163,4017,0.9986037818108583,0.44962594835230035,0.30580638215290784,0.21132965087890554
34186,4017,0.9986711005239424,0.4666601809284656,0.30630654393662143,0.2060417175292969
34240,4017,0.9984916526825911,0.43440874378645267,0.29676222023692095,0.19699115753173824
34289,4017,0.9987431703706506,0.46096776147146334,0.2965215158901732,0.18780937194824254
34391,4017,0.9989744258550307,0.419787837962782,0.2734642248412463,0.17234954833984517
35007,4017,0.9987576479718467,0.46007660571826353,0.29962126087542934,0.19285430908202983
35108,4017,0.9828721060329616,1.7421211173420894,0.9725294959761772,0.442280960083008
