station,n,baseline_mae,xgb_mae,gain,alpha
25913,365,2.946849315068493,1.2776517279527775,1.6691975871157154,0.5664346590714356
22113,365,1.258082191780822,0.7508615324914149,0.5072206592894072,0.4031697313602648
37235,365,0.8843835616438357,0.6282829376106623,0.25610062403317335,0.28958094105361915
30710,365,1.2413698630136987,1.0535914031804017,0.187778459833297,0.1512671327282132
29570,365,1.4216438356164383,1.249639445746139,0.1720043898702992,0.12098979052352903
25563,365,2.4104109589041096,2.2845302771664646,0.125880681737645,0.05222374270770678
30555,179,9.524581005586592,9.407161189416454,0.11741981617013764,0.012328082054346084
26063,365,0.6131506849315069,0.49765857708984856,0.11549210784165836,0.1883584421903722
30823,365,1.2115068493150685,1.1065363989954122,0.10497045031965624,0.08664453723806995
34139,179,1.2016759776536314,1.1116764200882538,0.08999955756537759,0.07489502930824075
22837,365,1.1884931506849314,1.1152065621418497,0.07328658854308179,0.06166345048000197
29866,293,1.4860068259385668,1.4188005171709857,0.06720630876758116,0.04522611040170252
28440,365,0.8567123287671234,0.7942598941085274,0.06245243465859607,0.07289778909621861
37031,365,0.8082191780821918,0.7553932599090549,0.052825918173136865,0.06536088180744053
28900,365,0.6528767123287671,0.6000885384519623,0.05278817387680479,0.08085473548062841
34163,275,1.2272727272727275,1.1769248002794654,0.05034792699326207,0.04102423680932464
21946,365,1.5838356164383565,1.5352325147053558,0.04860310173300064,0.030686960962714463
29838,365,1.5197260273972604,1.4712777277806852,0.04844829961657515,0.03187962747440045
30965,365,1.5865753424657534,1.5410151476535487,0.045560194812204635,0.028716061313166452
31594,365,1.4994520547945205,1.4567222299324734,0.04272982486204713,0.02849695975634424
25551,364,2.125824175824176,2.08693766697095,0.038886508853225976,0.018292438902267064
30949,365,1.4032876712328768,1.3655251463288314,0.037762524904045414,0.026910038246732867
30673,365,1.5561643835616439,1.5186498870302554,0.0375144965313885,0.024107026820346482
24966,339,1.8380530973451328,1.8012839211003036,0.03676917624482923,0.020004414615626877
31873,365,1.3345205479452056,1.298382014955764,0.036138532989441474,0.0270797876024351
32098,365,1.5421917808219177,1.5060950669146154,0.03609671390730229,0.023406112233372425
29698,365,1.4712328767123288,1.4358497767346874,0.03538309997764144,0.02404996553415107
30636,364,1.5796703296703296,1.5446459449745797,0.035024384695749866,0.022171958311744264
30521,365,1.4043835616438354,1.3709939811633873,0.033389580480448044,0.02377525726758396
21982,365,1.2167123287671233,1.1836566274337572,0.033055701333366105,0.02716804995874494
31168,365,1.2580821917808218,1.2250299963924063,0.03305219538841553,0.026271888756035863
31960,365,1.3572602739726027,1.32491429134591,0.03234598262669275,0.023831820062056627
31416,365,1.692602739726028,1.6619387285962497,0.030664011129778235,0.0181164844000794
30925,365,1.2112328767123288,1.1814820428164547,0.029750833895874074,0.024562439203786555
31915,365,1.1893150684931508,1.1597517595001279,0.029563308993022952,0.02485742405540976
31388,354,1.2522598870056498,1.2237202972194738,0.02853958978617599,0.022790468721647417
30393,364,1.2436813186813187,1.2155720895872666,0.028109229094052113,0.022601633289673004
31004,365,1.232054794520548,1.204283310560739,0.027771483959809107,0.02254078640278035
24908,365,1.894246575342466,1.8674525514551221,0.026794023887343865,0.014144950417819655
31707,365,1.232602739726027,1.20598737998368,0.026615359742347078,0.021592812415996192
32061,364,1.2678571428571428,1.2435836259685047,0.024273516888638103,0.019145309095263855
23884,365,1.4761643835616438,1.4522036089778763,0.023960774583767552,0.01623177936725159
30372,365,1.6578082191780823,1.6344356906740634,0.02337252850401894,0.014098451336914416
29231,365,1.4005479452054792,1.3778336446701664,0.02271430053531276,0.016218152768758137
28138,306,1.8362745098039215,1.8152022469326172,0.02107226287130426,0.01147555159035256
31510,365,1.0249315068493152,1.0044750205361068,0.0204564863132084,0.019958881326706937
28722,365,0.8958904109589038,0.8758816521788296,0.020008758780074132,0.02233393564136716
31088,365,0.9997260273972604,0.979786768378052,0.019939259019208344,0.019944723326969158
29612,364,1.048901098901099,1.0295911724996436,0.019309926401455346,0.018409673153823327
28434,364,1.2494505494505495,1.231228066321749,0.018222483128800482,0.014584397227096252
36034,365,1.4816438356164385,1.4651826484685075,0.01646118714793099,0.011110083781425315
