target_coverage,station_group,month,n,source_main,coverage,mean_width
0.85,1,11,1710,group_month,0.8339181286549707,3.7554475663974873
0.85,1,12,1767,group_month,0.8670062252405206,4.850660791397096
0.85,2,1,2046,group_month,0.83088954056696,6.2595256835222175
0.85,2,2,1844,group_month,0.8606290672451193,5.795180435180663
0.85,2,3,2046,group_month,0.8509286412512219,5.500274540781973
0.85,2,4,1980,group_month,0.854040404040404,4.561346036195756
0.85,2,5,2013,group_month,0.8072528564331843,3.6482970379292965
0.85,2,6,1974,group_month,0.8201621073961499,3.0
0.85,2,7,2030,group_month,0.865024630541872,2.979656701087954
0.85,2,8,2015,group_month,0.8436724565756824,2.9521937051415446
0.85,2,9,1957,group_month,0.8339294839039346,3.6000000000000005
0.85,2,10,2045,group_month,0.8488997555012225,4.197760461866855
0.85,2,11,1979,group_month,0.8271854471955533,5.394628965854645
0.85,2,12,2043,group_month,0.8668624571708272,6.400000000000006
0.85,3,1,2015,group_month,0.8392059553349875,7.849331649541856
0.85,3,2,1820,group_month,0.8846153846153846,8.682720581293099
0.85,3,3,2015,group_month,0.8669975186104218,8.200000000000003
0.85,3,4,1921,group_month,0.8709005726184279,6.371320964116603
0.85,3,5,1978,group_month,0.8190091001011123,4.187455466985703
0.85,3,6,1920,group_month,0.83125,3.8773173809051467
0.85,3,7,1971,group_month,0.8985286656519533,4.254395455121987
0.85,3,8,1984,group_month,0.9178427419354839,4.521095176339145
0.85,3,9,1916,group_month,0.8804801670146137,5.30227335512638
0.85,3,10,1960,group_month,0.8489795918367347,5.4438467900455
0.85,3,11,1892,group_month,0.8821353065539113,7.910427093878387
0.85,3,12,1984,group_month,0.9133064516129032,9.600000000000005
0.9,0,1,1984,group_month,0.8996975806451613,3.602320261001588
0.9,0,2,1792,group_month,0.9402901785714286,4.084197561740879
0.9,0,3,1984,group_month,0.875,2.8000000000000003
0.9,0,4,1920,group_month,0.8875,2.6000000000000014
0.9,0,5,1972,group_month,0.902129817444219,2.6000000000000014
0.9,0,6,1920,group_month,0.8708333333333333,2.2338706192374276
0.9,0,7,1922,group_month,0.9105098855359001,2.3776682329177907
0.9,0,8,1922,group_month,0.8896982310093653,2.3999999999999986
0.9,0,9,1854,group_month,0.8635382955771306,2.2
0.9,0,10,1922,group_month,0.9219562955254943,2.6
0.9,0,11,1860,group_month,0.896236559139785,2.800000000000001
0.9,0,12,1922,group_month,0.913111342351717,3.8000000000000003
0.9,1,1,1891,group_month,0.9465891062929667,6.692819555401805
0.9,1,2,1708,group_month,0.9432084309133489,6.107277909517285
0.9,1,3,1899,group_month,0.9004739336492891,4.61368598788977
0.9,1,4,1858,group_month,0.8735199138858988,3.9367321056127556
0.9,1,5,1894,group_month,0.9271383315733897,3.999999999999999
0.9,1,6,1860,group_month,0.9118279569892473,3.233189767599103
0.9,1,7,1798,group_month,0.9354838709677419,3.031104025840755
0.9,1,8,1787,group_month,0.9418019026301063,3.2278845942020395
0.9,1,9,1710,group_month,0.8824561403508772,3.1999999999999993
0.9,1,10,1767,group_month,0.9332201471420487,3.3999999999999995
0.9,1,11,1710,group_month,0.8818713450292398,4.593626947700976
0.9,1,12,1767,group_month,0.9122807017543859,5.749720177650452
0.9,2,1,2046,group_month,0.8724340175953079,7.200000000000002
0.9,2,2,1844,group_month,0.9050976138828634,6.862801039218899
0.9,2,3,2046,group_month,0.8983382209188661,6.387219208478925
0.9,2,4,1980,group_month,0.897979797979798,5.211809875369072
0.9,2,5,2013,group_month,0.8708395429706905,4.399999999999999
0.9,2,6,1974,group_month,0.8860182370820668,3.6001153409481077
0.9,2,7,2030,group_month,0.9201970443349754,3.6918412959575653
0.9,2,8,2015,group_month,0.8883374689826302,3.399999999999999
0.9,2,9,1957,group_month,0.8768523249872253,4.1312262901663805
0.9,2,10,2045,group_month,0.9070904645476773,5.0
0.9,2,11,1979,group_month,0.886811520970187,6.404515296593309
0.9,2,12,2043,group_month,0.9138521781693588,7.824410915374756
0.9,3,1,2015,group_month,0.8813895781637717,9.025112169086936
0.9,3,2,1820,group_month,0.9137362637362637,9.888833383321757
0.9,3,3,2015,group_month,0.9062034739454095,9.4
0.9,3,4,1921,group_month,0.9125455491931286,7.405437786504624
0.9,3,5,1978,group_month,0.8634984833164813,4.764834703207015
0.9,3,6,1920,group_month,0.8890625,4.600000000000002
0.9,3,7,1971,group_month,0.9386098427194317,5.075995298177006
0.9,3,8,1984,group_month,0.9526209677419355,5.4752341616153695
0.9,3,9,1916,group_month,0.930062630480167,6.213973668813706
0.9,3,10,1960,group_month,0.9071428571428571,6.666257600784301
0.9,3,11,1892,group_month,0.9349894291754757,9.662801831960678
0.9,3,12,1984,group_month,0.9460685483870968,11.399999999999999
