station,n,baseline_mae,xgb_delta_cluster_mae,gain,alpha
25913,365,2.946849315068493,1.4785773940547688,1.468271921013724,0.49825144214392836
22113,365,1.258082191780822,0.7520895747758355,0.5059926170049865,0.4021936088998695
37235,365,0.8843835616438357,0.5827958520445717,0.30158770959926395,0.34101460348119994
29570,365,1.4216438356164383,1.2262361900559435,0.19540764556049472,0.13745189945958872
30710,365,1.2413698630136987,1.0567381678868646,0.18463169512683408,0.14873221964531988
25563,365,2.4104109589041096,2.248555506278365,0.16185545262574452,0.06714848852966214
26063,365,0.6131506849315069,0.5006825111007751,0.11246817383073182,0.18342664632804787
30555,179,9.524581005586592,9.41511880706361,0.10946219852298178,0.011492599880118328
28900,365,0.6528767123287671,0.5701626618399942,0.0827140504887729,0.12669168455057536
22837,365,1.1884931506849314,1.1078177281872255,0.08067542249770598,0.0678804269517351
24688,365,1.8846575342465757,1.8043240804095078,0.08033345383706791,0.042624960968934124
30965,365,1.5865753424657534,1.512027576819815,0.07454776564593835,0.046986590331147465
30673,365,1.5561643835616439,1.483351579196432,0.07281280436521187,0.04678991829806749
30823,365,1.2115068493150685,1.1395502421369599,0.07195660717810859,0.05939430488468936
31594,365,1.4994520547945205,1.4284368242246852,0.07101523056983527,0.04736078779095537
30949,365,1.4032876712328768,1.333081519770283,0.07020615146259379,0.0500297643183263
34139,179,1.2016759776536314,1.1344915374340856,0.06718444021954584,0.055908948392834515
21982,365,1.2167123287671233,1.1545095410751662,0.062202787691957084,0.05112366022869699
29838,365,1.5197260273972604,1.4604755250115606,0.05925050238569973,0.0389876210037505
28440,365,0.8567123287671234,0.7987391596397205,0.05797316912740291,0.06766935315478753
24908,365,1.894246575342466,1.8389446891430923,0.05530188619937371,0.029194660779247036
23891,364,1.4549450549450547,1.4001622407916219,0.05478281415343278,0.03765284054352254
29866,293,1.4860068259385668,1.4317298288738003,0.05427699706476652,0.036525402250750086
24966,339,1.8380530973451328,1.7853705224467737,0.052682574898359036,0.02866216159612215
31707,365,1.232602739726027,1.1800161347407463,0.05258660498528078,0.042663060279234256
31388,354,1.2522598870056498,1.2003710018150249,0.051888885190624956,0.041436195257119855
25703,364,2.1123626373626374,2.0612275794509207,0.051135057911716686,0.024207518636838177
32098,365,1.5421917808219177,1.491547311678352,0.050644469143565685,0.03283928093338333
30521,365,1.4043835616438354,1.3558554039116029,0.04852815773223251,0.0345547748190887
30393,364,1.2436813186813187,1.195402490980872,0.04827882770044667,0.03881929154619525
29698,365,1.4712328767123288,1.4282893335410036,0.042943543171325205,0.02918881425983929
31532,365,1.552876712328767,1.5125184860263556,0.04035822630241137,0.025989330628758207
31873,365,1.3345205479452056,1.2941673258787392,0.04035322206646641,0.030237992310121614
31329,365,1.0575342465753426,1.0181000597154952,0.03943418685984734,0.037288803636902276
34163,275,1.2272727272727275,1.188077262918719,0.03919546435400845,0.03193704502919206
31416,365,1.692602739726028,1.6546412069869727,0.037961532739055226,0.022427904580374157
31168,365,1.2580821917808218,1.2208045499801494,0.03727764180067239,0.029630529741388117
30777,365,1.286301369863014,1.2490596732954624,0.0372416965675515,0.028952543657414898
32061,364,1.2678571428571428,1.2308403072268495,0.03701683563029334,0.02919637739854123
31915,365,1.1893150684931508,1.1527792066957225,0.03653586179742829,0.030720086514769235
30925,365,1.2112328767123288,1.175541722873985,0.03569115383834376,0.02946679744626888
30372,365,1.6578082191780823,1.6221419066318457,0.035666312546236645,0.021514136637541523
21946,365,1.5838356164383565,1.5481752933857784,0.03566032305257805,0.022515166777704522
27595,365,0.8517808219178081,0.8167512185416145,0.03502960337619365,0.04112513744712346
24959,365,1.2219178082191782,1.1875155206617247,0.03440228755745345,0.02815433847190697
24343,363,1.3575757575757577,1.3233395415657139,0.034236216010043785,0.02521864125739832
24507,364,1.6873626373626376,1.6536420779580043,0.033720559404633255,0.019984180435178286
31909,365,1.2964383561643837,1.263281302687079,0.03315705347730469,0.02557549560273924
31960,365,1.3572602739726027,1.3242256698407844,0.03303460413181836,0.02433918148589766
