station,n,baseline_mae,ridge_mae,gain,alpha
30555,179,9.524581005586592,8.980314934426632,0.5442660711599601,0.05714330854456734
37235,365,0.8843835616438357,0.6457346605179156,0.23864890112592008,0.26984773516406696
30710,365,1.2413698630136987,1.0636358491646571,0.17773401384904153,0.1431757118845733
26063,365,0.6131506849315069,0.4871859175296921,0.12596476740181484,0.20543851698687404
29570,365,1.4216438356164383,1.3230577772622552,0.0985860583541831,0.0693465239916686
30823,365,1.2115068493150685,1.1258194804558472,0.08568736885922124,0.07072792771057385
29866,293,1.4860068259385668,1.4096150564517356,0.07639176948683124,0.05140741492797783
25563,365,2.4104109589041096,2.344918563061123,0.06549239584298672,0.027170634783689647
30393,364,1.2436813186813187,1.1871548711889968,0.05652644749232194,0.04545090984582546
21946,365,1.5838356164383565,1.528349914424623,0.05548570201373337,0.035032487865443135
25551,364,2.125824175824176,2.071173959344976,0.05465021647919999,0.02570777823524011
28138,306,1.8362745098039215,1.7927262287185186,0.04354828108540287,0.023715561509402527
30636,364,1.5796703296703296,1.5364284082015158,0.04324192146881378,0.02737401637330125
28722,365,0.8958904109589038,0.853868777206883,0.042021633752020726,0.046904881710971166
24908,365,1.894246575342466,1.8543645416508903,0.039882033691575725,0.021054298954910525
29612,364,1.048901098901099,1.011851122944552,0.03704997595654702,0.03532265910996101
25703,364,2.1123626373626374,2.076095508105136,0.036267129257501196,0.01716898822958829
31004,365,1.232054794520548,1.1965859884084615,0.03546880611208647,0.028788334958664803
31369,365,1.409041095890411,1.3742977752442784,0.0347433206461325,0.02465742180796882
30965,365,1.5865753424657534,1.55189781523672,0.03467752722903339,0.021856842408214793
31707,365,1.232602739726027,1.1989103881915348,0.03369235153449224,0.027334314981306222
31416,365,1.692602739726028,1.6590241513054798,0.03357858842054817,0.019838434401910132
30521,365,1.4043835616438354,1.371448668333913,0.032934893309922275,0.023451494455953244
29838,365,1.5197260273972604,1.4874599463543932,0.03226608104286721,0.02123151177329463
31873,365,1.3345205479452056,1.30300756910365,0.03151297884155557,0.023613708226581365
30925,365,1.2112328767123288,1.1803745754758426,0.030858301236486252,0.02547676985143063
29698,365,1.4712328767123288,1.4418183259581934,0.02941455075413546,0.019993130400855572
31915,365,1.1893150684931508,1.1606499743849694,0.02866509410818141,0.024102186937309866
28900,365,0.6528767123287671,0.6249787692761255,0.027897943052641594,0.04273079821323618
24688,365,1.8846575342465757,1.8568187552117448,0.027838779034830896,0.014771266677879452
30673,365,1.5561643835616439,1.5286140433371045,0.027550340224539394,0.017704003841473376
31594,365,1.4994520547945205,1.472456869199449,0.026995185595071414,0.018003366969123087
32098,365,1.5421917808219177,1.5155359558169612,0.026655825004956446,0.017284377556953463
31168,365,1.2580821917808218,1.2315267889817951,0.026555402799026684,0.02110784412379081
22837,365,1.1884931506849314,1.1634645157007903,0.025028634984141096,0.021059132709109037
30949,365,1.4032876712328768,1.3785172481734567,0.02477042305942012,0.017651707178227925
34163,275,1.2272727272727275,1.202538169448201,0.024734557824526604,0.02015408415331797
28434,364,1.2494505494505495,1.2248911625981838,0.024559386852365694,0.019656149547627778
31909,365,1.2964383561643837,1.2722702773529684,0.02416807881141536,0.01864190356332757
30372,365,1.6578082191780823,1.6342348421974147,0.023573376980667637,0.014219604359516918
23884,365,1.4761643835616438,1.4528201510877414,0.023344232473902382,0.01581411442645577
25913,365,2.946849315068493,2.9235240657236354,0.023325249344857468,0.007915317972176438
37031,365,0.8082191780821918,0.7852390363587193,0.022980141723472514,0.02843305670870328
24343,363,1.3575757575757577,1.3364524966485853,0.021123260927172316,0.01555954487939032
32061,364,1.2678571428571428,1.2467974459611182,0.021059696896024604,0.016610465157427857
24966,339,1.8380530973451328,1.8197068301312904,0.01834626721384236,0.00998135866713619
31510,365,1.0249315068493152,1.0069220641596113,0.018009442689703947,0.017571362153814326
28440,365,0.8567123287671234,0.8393525042094254,0.017359824557698023,0.020263306567188288
31329,365,1.0575342465753426,1.0402387246541005,0.017295521921242063,0.016354573837443917
29231,365,1.4005479452054792,1.383395590100109,0.017152355105370276,0.012246888915219389
36034,365,1.4816438356164385,1.465298357136633,0.01634547847980561,0.011031988988774125
30777,365,1.286301369863014,1.2712649761547956,0.015036393708218299,0.011689635151224021
30054,365,1.0723287671232877,1.0575414367128366,0.014787330410451105,0.013789922329623538
34391,365,0.9169863013698628,0.9026124797415963,0.014373821628266503,0.015675066908626457
28224,321,1.0457943925233646,1.0326040362179925,0.01319035630537213,0.012612762508264682
27595,365,0.8517808219178081,0.8389614450885158,0.01281937682929235,0.015050088590195267
34172,364,1.0324175824175823,1.01980508457087,0.012612497846712367,0.012216469441733109
29263,364,1.2057692307692307,1.193295267102936,0.012473963666294718,0.010345233024678236
24959,365,1.2219178082191782,1.211451015988476,0.010466792230702238,0.008565872565485015
31960,365,1.3572602739726027,1.346886474661178,0.010373799311424792,0.007643190853189441
31088,365,0.9997260273972604,0.9896737308780132,0.010052296519247106,0.010055051327830073
31253,337,1.1477744807121661,1.1384551759170183,0.009319304795147865,0.00811945634944372
23933,365,0.9767123287671233,0.9673981684067927,0.009314160360330614,0.009536237115065004
23955,365,1.3512328767123285,1.3424887535081091,0.008744123204219356,0.006471218510827384
29282,365,1.2978082191780822,1.289199822747968,0.00860839643011424,0.006633026592762714
24817,365,1.7164383561643837,1.7096415755329735,0.006796780631410204,0.003959816329552632
34824,365,0.7293150684931509,0.722944015820717,0.0063710526724338745,0.008735665760474694
32411,365,1.2542465753424659,1.2479920035779608,0.006254571764505057,0.004986716238628976
23472,365,1.5046575342465756,1.4989197848140183,0.0057377494325572265,0.0038133258246237935
34861,365,0.575890410958904,0.5702412327658476,0.005649178193056437,0.009809467366629875
23631,365,0.942191780821918,0.9366804275168658,0.005511353305052258,0.005849502635487274
30252,365,1.6312328767123287,1.6267961303140965,0.004436746398232216,0.0027198730859166256
28411,327,0.9865443425076453,0.9826158336876338,0.0039285088200115,0.003982090465417733
27947,327,1.0553516819571866,1.0515427895465645,0.0038088924106221,0.0036091214670339804
37099,179,0.8184357541899442,0.8149137536036096,0.0035220005863345616,0.004303331774429259
27199,365,0.8153424657534247,0.8133715242610375,0.0019709414923871904,0.002417317354574343
31532,365,1.552876712328767,1.5510939923612468,0.0017827199675202188,0.001148011270544954
