station,n,baseline_mae,model_mae,mae_gain
27612,730,0.2838356164383562,0.28971530909254134,-0.005879692654185142
22802,730,0.3441095890410959,0.344148528094161,-3.8939053065123463e-05
26477,730,0.3813698630136986,0.3813698630136986,0.0
22820,730,0.3863013698630137,0.38950583064673494,-0.003204460783721219
34880,730,0.4212328767123288,0.4206616563244709,0.0005712203878578959
33008,730,0.43438356164383557,0.4237848222204037,0.010598739423431869
22602,730,0.4694520547945206,0.4722016033458792,-0.0027495485513585605
26063,730,0.5417808219178082,0.48507092780854605,0.05670989410926214
22217,730,0.5636986301369862,0.5588766840528951,0.004821946084091033
30823,730,0.6843835616438357,0.5632169244744598,0.12116663716937592
26258,730,0.5621917808219178,0.5633575889374104,-0.0011658081154926059
23804,730,0.575890410958904,0.5751120345483293,0.0007783764105747659
34861,730,0.6357534246575343,0.5932814662839758,0.04247195837355844
34123,730,0.5976712328767123,0.5955069550478908,0.002164277828821559
28900,730,0.6786301369863014,0.6003917334468959,0.07823840353940548
35121,730,0.5567123287671233,0.612375191866535,-0.05566286309941171
29430,730,0.6143835616438356,0.6221238680591501,-0.007740306415314535
37235,730,1.029315068493151,0.6265137869895321,0.4028012815036188
22550,730,0.6257534246575344,0.6338415692118795,-0.008088144554345145
22113,730,1.048082191780822,0.6639031090678755,0.38417908271294654
28722,724,0.6705801104972376,0.6767199999884307,-0.00613988949119304
34391,728,0.6940934065934067,0.6899328753086392,0.004160531284767455
28698,730,0.6938356164383561,0.6993218919978643,-0.0054862755595082024
27037,730,0.6975342465753425,0.6998222593996956,-0.0022880128243530917
22583,730,0.7027397260273973,0.7114436534455376,-0.0087039274181403
34824,728,0.7225274725274725,0.7252968773787751,-0.002769404851302615
27199,730,0.7319178082191781,0.7273853216378325,0.0045324865813455295
28064,729,0.7617283950617283,0.76118850085411,0.0005398942076182411
27459,730,0.7872602739726028,0.7677108342759311,0.019549439696671667
37031,728,0.8155219780219781,0.7928451756076826,0.022676802414295483
24125,730,0.7769863013698631,0.7945486643594653,-0.01756236298960212
23405,729,0.8042524005486967,0.8032223169295426,0.0010300836191541318
34172,511,0.816242661448141,0.8156438168295006,0.0005988446186403484
20674,730,0.8232876712328767,0.8232876712328767,0.0
22887,730,0.831095890410959,0.8260531542111789,0.005042736199780129
27823,728,0.8221153846153846,0.8279595409063903,-0.005844156291005764
23711,729,0.8378600823045267,0.8320185345058644,0.0058415477986623054
27595,730,0.8968493150684932,0.8337025229664631,0.06314679210203011
22641,729,0.83360768175583,0.8406232499845827,-0.007015568228752711
28440,730,0.972054794520548,0.8595983936389181,0.11245640088162989
23631,730,0.8671232876712329,0.8660354100453528,0.0010878776258801404
28661,728,0.888186813186813,0.8754139756149316,0.012772837571881412
32165,730,0.8838356164383561,0.8800919636891362,0.003743652749219839
28224,728,0.9010989010989011,0.8875933732500505,0.013505527848850618
31088,730,0.9012328767123288,0.8936853093175977,0.007547567394731058
27648,728,0.8991758241758242,0.8978447822043493,0.0013310419714749333
34646,179,0.9837988826815643,0.9369312920716888,0.046867590609875553
23933,730,0.9406849315068494,0.9377730546730303,0.0029118768338191048
22837,730,0.9820547945205479,0.9388191374935758,0.043235657026972074
27947,179,0.9329608938547486,0.9540685635476307,-0.021107669692882136
31329,729,0.9716049382716049,0.9556538512967043,0.015951086974900552
28275,729,0.9613168724279835,0.9624474951892961,-0.001130622761312594
30758,730,0.9749315068493152,0.9701024370479767,0.004829069801338459
27333,728,0.9767857142857144,0.970329814606249,0.00645589967946536
23418,730,0.9813698630136986,0.9724372300346165,0.008932632979082089
23205,730,0.9728767123287672,0.9777152061435612,-0.004838493814794065
37099,179,0.9888268156424582,0.9888268156424582,0.0
37472,730,0.9860273972602739,1.0029849110155888,-0.016957513755314957
28493,728,1.003021978021978,1.0043255551950365,-0.0013035771730585122
23724,729,1.0233196159122087,1.0205567550694694,0.0027628608427392454
29263,729,1.0455418381344308,1.0281209238066462,0.017420914327784587
31510,730,1.077945205479452,1.0442144458830256,0.03373075959642646
23324,730,1.0653424657534247,1.063326933384452,0.0020155323689727833
30054,730,1.0726027397260274,1.0644772778690015,0.008125461857025895
32389,730,1.0752054794520547,1.0699500824831911,0.005255396968863568
29612,729,1.0670781893004115,1.0717222847527654,-0.004644095452353891
31915,730,1.145753424657534,1.1047008289084514,0.0410525957490826
30393,730,1.131917808219178,1.1061244068788771,0.025793401340300948
28411,179,1.1011173184357543,1.1179922897108523,-0.01687497127509796
31253,730,1.1295890410958902,1.1219333153821318,0.007655725713758388
31909,730,1.1553424657534246,1.142118267236303,0.013224198517121533
31960,730,1.174931506849315,1.1426884721992028,0.032243034650112135
32411,730,1.1653424657534248,1.1597846371504759,0.005557828602948955
30925,730,1.1867123287671233,1.1623897929538092,0.024322535813314117
30710,730,1.3639726027397259,1.1645198089910083,0.1994527937487176
31168,729,1.2060356652949245,1.1654544057610536,0.04058125953387082
34139,179,1.2033519553072625,1.2033519553072625,0.0
24641,729,1.2555555555555555,1.2192290477183187,0.03632650783723679
32061,729,1.2423868312757202,1.2231469192724505,0.0192399120032698
30230,728,1.2387362637362638,1.2256834520211897,0.013052811715074109
24959,730,1.2472602739726026,1.2287625683207153,0.018497705651887353
30777,730,1.2578082191780822,1.2316351648721178,0.026173054305964394
24343,692,1.2648843930635838,1.238579969087913,0.0263044239756709
34009,179,1.2206703910614527,1.242073468822341,-0.021403077760888234
31388,669,1.278624813153961,1.2478813627197078,0.030743450434253194
30521,730,1.2787671232876712,1.2551650731777773,0.023602050109893913
31369,730,1.2802739726027397,1.2664954494083402,0.013778523194399428
31873,730,1.3091780821917807,1.27196913874925,0.03720894344253067
29838,730,1.3326027397260274,1.2719780543191064,0.06062468540692101
31707,729,1.3495198902606311,1.2992010327135417,0.050318857547089424
24944,730,1.3153424657534245,1.300297206186798,0.015045259566626612
31004,729,1.3333333333333333,1.3135331013827587,0.019800231950574565
30673,730,1.362054794520548,1.3191244704551934,0.042930324065354464
24738,730,1.3469863013698629,1.3291655943877931,0.017820706982069723
23921,728,1.329532967032967,1.330781555397642,-0.0012485883646751184
23955,730,1.3595890410958904,1.3432421068851006,0.01634693421078981
21982,728,1.3832417582417582,1.3627816045237993,0.02046015371795895
30949,728,1.3835164835164835,1.3630230029337147,0.020493480582768786
36034,730,1.393835616438356,1.3689172594216077,0.024918357016748383
32098,730,1.3983561643835618,1.3744110310471087,0.023945133336453095
23884,730,1.3967123287671233,1.3806133523067994,0.016098976460323877
23891,728,1.3913461538461538,1.3815546910747676,0.009791462771386206
29231,730,1.422739726027397,1.3950126570541004,0.027727068973296687
31594,730,1.4283561643835616,1.395676341722847,0.032679822660714564
29866,729,1.4866941015089163,1.4125850653821836,0.0741090361267327
30636,728,1.4644230769230768,1.4393152855643696,0.02510779135870722
34163,728,1.4795329670329673,1.4409148079991103,0.038618159033857014
30372,730,1.461917808219178,1.4443793883736,0.017538419845577913
29698,730,1.476164383561644,1.4491010555402657,0.02706332802137834
25913,730,3.4794520547945207,1.4541909143662284,2.0252611404282925
23472,730,1.4593150684931506,1.4542704395270485,0.005044628966102138
31532,730,1.4875342465753425,1.4555600512667546,0.031974195308587916
20891,729,1.4587105624142662,1.4651602948650262,-0.006449732450759971
29282,730,1.4910958904109588,1.469964460592449,0.021131429818509906
31416,730,1.5002739726027399,1.4721695500142291,0.028104422588510758
28434,728,1.5015109890109888,1.483180285727596,0.018330703283392813
24951,730,1.5157534246575342,1.49124282107478,0.024510603582754253
30965,730,1.5615068493150683,1.5060292291040023,0.05547762021106606
29570,730,1.9046575342465755,1.513842488750369,0.3908150454962065
21946,730,1.5604109589041095,1.5288078634146194,0.03160309548949014
30252,730,1.560958904109589,1.5387798039124136,0.022179100197175394
24507,730,1.6017808219178085,1.5972524892383182,0.004528332679490266
24966,677,1.6624815361890695,1.6341187230407974,0.028362813148272048
24688,730,1.6767123287671233,1.6682788777522652,0.00843345101485804
24817,730,1.7509589041095892,1.7215174369577777,0.029441467151811507
24908,730,1.902191780821918,1.888020769927351,0.01417101089456696
24266,720,1.9531944444444447,1.9057019488945175,0.04749249554992718
25551,730,1.9591780821917806,1.9467211042400703,0.012456977951710302
25563,730,2.1264383561643836,1.9638572276690467,0.1625811284953369
25703,730,2.0484931506849318,2.0165283179246467,0.031964832760285056
28138,723,2.3658367911479945,2.3268878506928075,0.03894894045518704
30555,91,11.973626373626372,11.973626373626372,0.0
