station,month,n,baseline_mae,xgb_mae,gain,alpha,is_eligible
25913,12,31,6.7612903225806456,1.8974734398626514,4.863816882717995,0.7193622297913064,1
25913,1,31,5.516129032258065,2.0683482446978165,3.4477807875602484,0.6250362831249573,1
25913,11,30,4.39,1.372184164921443,3.0178158350785567,0.6874295751887374,1
25913,10,31,3.8709677419354844,1.3999661434802322,2.4710015984552522,0.63834207960094,1
25913,3,31,3.5999999999999996,1.4299104044514317,2.1700895955485677,0.6028026654301578,1
22113,2,28,3.225,1.467347486955779,1.757652513044221,0.5450085311765026,1
22113,12,31,2.8580645161290326,1.3571357727050781,1.5009287434239544,0.5251556551483362,1
22113,11,30,1.8733333333333335,0.7287807593743006,1.1445525739590328,0.6109711248891634,1
22113,1,31,2.4387096774193546,1.482402092410672,0.9563075850086826,0.392136708138481,1
25913,6,30,1.9366666666666668,0.9818168131510415,0.9548498535156252,0.4930377901113383,1
37235,8,31,1.425806451612903,0.6356455895208545,0.7901608620920485,0.5541852200193101,1
25913,7,31,1.3709677419354842,0.6328315550281156,0.7381361869073686,0.5384052186853746,1
29570,12,31,2.967741935483872,2.237060409015225,0.730681526468647,0.2462079056579136,1
25913,2,28,2.439285714285714,1.7478706410952978,0.6914150731904163,0.2834498103855294,1
22113,3,31,1.206451612903226,0.5840463222995881,0.6224052906036378,0.515897433388042,1
37031,7,31,1.5774193548387099,1.0563411712646482,0.5210781835740617,0.33033586279746235,1
30823,12,31,1.6806451612903226,1.1777925541324,0.5028526071579227,0.29920212709972366,1
37235,9,30,1.0833333333333333,0.5819432576497393,0.501390075683594,0.46282160832331753,1
25913,5,31,1.7483870967741935,1.2542662481627156,0.49412084861147787,0.2826152455157899,1
25563,6,30,2.2766666666666664,1.8090706439812976,0.4675960226853688,0.20538624715316348,1
29570,11,30,1.56,1.0987154555320737,0.4612845444679263,0.2956952208127733,1
37235,6,30,1.0199999999999998,0.5769833374023435,0.44301666259765626,0.4343300613702513,1
29570,1,31,2.832258064516129,2.401508380520728,0.4307496839954008,0.15208701826716886,1
22837,6,30,1.2566666666666664,0.836209036509196,0.4204576301574704,0.33458166856032134,1
