month,n,baseline_mae,best_mae,mae_gain
1,7936,1.5649949596774193,1.5055052791650005,0.05948968051241876
2,7164,1.3868090452261308,1.3350860495789627,0.05172299564716809
3,7944,1.4167044310171197,1.3658806970179123,0.05082373399920748
4,7679,1.1380778747232712,1.1109295879564758,0.02714828676679537
5,7857,0.9874252259131985,0.9437664708536783,0.043658755059520216
6,7674,0.8705629397967162,0.8257305630387768,0.044832376757939385
7,7721,0.7607434270172256,0.7293003762246557,0.031443050792569927
8,7708,0.7906331084587442,0.7507621910222836,0.03987091743646065
9,7437,0.9340997714132042,0.9110202511698284,0.023079520243375784
10,7694,0.998505328827658,0.9610333742108579,0.037471954616800085
11,7441,1.3591587152264482,1.3091217193724898,0.05003699585395838
12,7716,1.5235095904613791,1.4507651936533772,0.07274439680800193
