station,mae_gain_global,mae_gain_gated,global_worse_than_baseline,gated_worse_than_baseline,safeguard_delta,safeguard_recovered,still_worse_after_gated
35121,-0.1180632392127762,-0.1180632392127762,True,True,0.0,False,True
22550,-0.0122078005413122,-0.0122078005413122,True,True,0.0,False,True
28661,-0.0113598336330054,-0.0113598336330054,True,True,0.0,False,True
34172,-0.0108482300507943,-0.0108482300507943,True,True,0.0,False,True
34391,-0.0049075637271136,-0.0049075637271136,True,True,0.0,False,True
28722,-0.0040771788015504,-0.0040771788015504,True,True,0.0,False,True
23631,-0.0033845883867485,-0.0033845883867485,True,True,0.0,False,True
23804,-0.0010352899133521,0.0,True,False,0.0010352899133521,True,False
34824,-0.0010641482801164,0.0,True,False,0.0010641482801164,True,False
20891,-0.0013511567015651,0.0,True,False,0.0013511567015651,True,False
32165,-0.0013598200361675,0.0,True,False,0.0013598200361675,True,False
23205,-0.0032789888758889,0.0,True,False,0.0032789888758889,True,False
23711,-0.0034334231890398,0.0,True,False,0.0034334231890398,True,False
27648,-0.0042545484220942,0.0,True,False,0.0042545484220942,True,False
28064,-0.0046850500647834,0.0,True,False,0.0046850500647834,True,False
23324,-0.0057499221860979,0.0,True,False,0.0057499221860979,True,False
34880,-0.005756735678743,0.0,True,False,0.005756735678743,True,False
29430,-0.00867668973821,0.0,True,False,0.00867668973821,True,False
22583,-0.0134590226984007,0.0,True,False,0.0134590226984007,True,False
22217,-0.0139803238778554,0.0,True,False,0.0139803238778554,True,False
26477,-0.0146090498127439,0.0,True,False,0.0146090498127439,True,False
22802,-0.0148894357409373,0.0,True,False,0.0148894357409373,True,False
22602,-0.0153800568142259,0.0,True,False,0.0153800568142259,True,False
22641,-0.0162115777642407,0.0,True,False,0.0162115777642407,True,False
37472,-0.0222277232652453,0.0,True,False,0.0222277232652453,True,False
27823,-0.0275860629420104,0.0,True,False,0.0275860629420104,True,False
28698,-0.0289327780621075,0.0,True,False,0.0289327780621075,True,False
28493,-0.0353815514732001,0.0,True,False,0.0353815514732001,True,False
27612,-0.0375280848233793,0.0,True,False,0.0375280848233793,True,False
26258,-0.0393252628183866,0.0,True,False,0.0393252628183866,True,False
22820,-0.040162982107459,0.0,True,False,0.040162982107459,True,False
28411,-0.0444191965634814,0.0,True,False,0.0444191965634814,True,False
37099,-0.0451744928144377,0.0,True,False,0.0451744928144377,True,False
24125,-0.0500305528115251,0.0,True,False,0.0500305528115251,True,False
27947,-0.06508222283269,0.0,True,False,0.06508222283269,True,False
34009,-0.0812421900826354,0.0,True,False,0.0812421900826354,True,False
20674,-0.113166443570836,0.0,True,False,0.113166443570836,True,False
34646,0.0917596851418305,0.0,False,False,-0.0917596851418305,False,False
30758,0.0254624371823205,0.0,False,False,-0.0254624371823205,False,False
30054,0.0135893014292807,0.0,False,False,-0.0135893014292807,False,False
33008,0.0086173280725281,0.0,False,False,-0.0086173280725281,False,False
32389,0.0072406224528811,0.0,False,False,-0.0072406224528811,False,False
27037,0.0068920241904959,0.0,False,False,-0.0068920241904959,False,False
27199,0.0068627065070586,0.0,False,False,-0.0068627065070586,False,False
37031,0.006770186402047,0.0,False,False,-0.006770186402047,False,False
28275,0.0060932606040751,0.0,False,False,-0.0060932606040751,False,False
23418,0.0059915138261027,0.0,False,False,-0.0059915138261027,False,False
23405,0.0055043191299373,0.0,False,False,-0.0055043191299373,False,False
34123,0.0044965300093722,0.0,False,False,-0.0044965300093722,False,False
22887,0.0024374800536157,0.0,False,False,-0.0024374800536157,False,False
23921,0.0002107396047015,0.0002107396047015,False,False,0.0,False,False
23724,0.0005126704086477,0.0005126704086477,False,False,0.0,False,False
23933,0.0014282726790049,0.0014282726790049,False,False,0.0,False,False
24507,0.0039723454544613,0.0039723454544613,False,False,0.0,False,False
31088,0.0057400842108412,0.0057400842108412,False,False,0.0,False,False
32411,0.005985084078498,0.005985084078498,False,False,0.0,False,False
29612,0.0073753273673844,0.0073753273673844,False,False,0.0,False,False
28224,0.0074780295695406,0.0074780295695406,False,False,0.0,False,False
27333,0.0083662498630724,0.0083662498630724,False,False,0.0,False,False
24688,0.009294889725917,0.009294889725917,False,False,0.0,False,False
23472,0.0104102705486517,0.0104102705486517,False,False,0.0,False,False
29263,0.0108363146755707,0.0108363146755707,False,False,0.0,False,False
28434,0.0121480427812923,0.0121480427812923,False,False,0.0,False,False
30252,0.0126760871234916,0.0126760871234916,False,False,0.0,False,False
31909,0.0129688062224126,0.0129688062224126,False,False,0.0,False,False
21982,0.0137402615727566,0.0137402615727566,False,False,0.0,False,False
24944,0.0148026231508253,0.0148026231508253,False,False,0.0,False,False
31369,0.0151785675458584,0.0151785675458584,False,False,0.0,False,False
25551,0.017335398796282,0.017335398796282,False,False,0.0,False,False
27459,0.0184007175282052,0.0184007175282052,False,False,0.0,False,False
31253,0.0190071415185628,0.0190071415185628,False,False,0.0,False,False
23955,0.0190798481343288,0.0190798481343288,False,False,0.0,False,False
30372,0.0191356159053257,0.0191356159053257,False,False,0.0,False,False
24959,0.0196845362330497,0.0196845362330497,False,False,0.0,False,False
32098,0.0198861983134766,0.0198861983134766,False,False,0.0,False,False
32061,0.0204829130489057,0.0204829130489057,False,False,0.0,False,False
23884,0.0215101859393154,0.0215101859393154,False,False,0.0,False,False
24908,0.0217742546036368,0.0217742546036368,False,False,0.0,False,False
30521,0.021874472304751,0.021874472304751,False,False,0.0,False,False
34861,0.0223949862044459,0.0223949862044459,False,False,0.0,False,False
30925,0.0231206360536193,0.0231206360536193,False,False,0.0,False,False
30230,0.0232517967913856,0.0232517967913856,False,False,0.0,False,False
23891,0.0239012218652623,0.0239012218652623,False,False,0.0,False,False
30777,0.0243752131260268,0.0243752131260268,False,False,0.0,False,False
30949,0.0245939513025252,0.0245939513025252,False,False,0.0,False,False
36034,0.0255992888168541,0.0255992888168541,False,False,0.0,False,False
30393,0.025789313947145,0.025789313947145,False,False,0.0,False,False
31329,0.0258092661894401,0.0258092661894401,False,False,0.0,False,False
30636,0.0266244713268151,0.0266244713268151,False,False,0.0,False,False
31532,0.0268737961633342,0.0268737961633342,False,False,0.0,False,False
31416,0.0287515336350216,0.0287515336350216,False,False,0.0,False,False
24966,0.0293855419521742,0.0293855419521742,False,False,0.0,False,False
29282,0.0294347803323999,0.0294347803323999,False,False,0.0,False,False
31388,0.0294775115423839,0.0294775115423839,False,False,0.0,False,False
24343,0.0323224802078612,0.0323224802078612,False,False,0.0,False,False
31004,0.0323516083510613,0.0323516083510613,False,False,0.0,False,False
24951,0.0332292370776938,0.0332292370776938,False,False,0.0,False,False
29231,0.033535185606571,0.033535185606571,False,False,0.0,False,False
29698,0.0351732226628618,0.0351732226628618,False,False,0.0,False,False
31594,0.0364025716300195,0.0364025716300195,False,False,0.0,False,False
22837,0.0365149566022461,0.0365149566022461,False,False,0.0,False,False
31510,0.0390767682056669,0.0390767682056669,False,False,0.0,False,False
31960,0.0392825656339574,0.0392825656339574,False,False,0.0,False,False
25703,0.0393792654470264,0.0393792654470264,False,False,0.0,False,False
31168,0.0418403895779107,0.0418403895779107,False,False,0.0,False,False
31873,0.0419106758661464,0.0419106758661464,False,False,0.0,False,False
30673,0.0419679868266531,0.0419679868266531,False,False,0.0,False,False
21946,0.0428664532298708,0.0428664532298708,False,False,0.0,False,False
31915,0.0429163230132398,0.0429163230132398,False,False,0.0,False,False
24738,0.0441836120050769,0.0441836120050769,False,False,0.0,False,False
24817,0.0453539832638683,0.0453539832638683,False,False,0.0,False,False
24641,0.0453645463108109,0.0453645463108109,False,False,0.0,False,False
31707,0.0527891587708575,0.0527891587708575,False,False,0.0,False,False
30965,0.0549164967862443,0.0549164967862443,False,False,0.0,False,False
24266,0.0629115424298409,0.0629115424298409,False,False,0.0,False,False
29866,0.0791740609576769,0.0791740609576769,False,False,0.0,False,False
28900,0.0840457104018543,0.0840457104018543,False,False,0.0,False,False
27595,0.0873401472759105,0.0873401472759105,False,False,0.0,False,False
30555,0.0880791533554141,0.0880791533554141,False,False,0.0,False,False
29838,0.0884207295685406,0.0884207295685406,False,False,0.0,False,False
26063,0.0948889755018769,0.0948889755018769,False,False,0.0,False,False
30823,0.0954403110039867,0.0954403110039867,False,False,0.0,False,False
34163,0.1010185674147599,0.1010185674147599,False,False,0.0,False,False
28138,0.1043602014632845,0.1043602014632845,False,False,0.0,False,False
34139,0.1277696663362892,0.1277696663362892,False,False,0.0,False,False
28440,0.1562263452046078,0.1562263452046078,False,False,0.0,False,False
25563,0.1794490287782728,0.1794490287782728,False,False,0.0,False,False
30710,0.1994527937487176,0.1994527937487176,False,False,0.0,False,False
22113,0.3865640558628208,0.3865640558628208,False,False,0.0,False,False
29570,0.3940991751262155,0.3940991751262155,False,False,0.0,False,False
37235,0.4028012815036188,0.4028012815036188,False,False,0.0,False,False
25913,2.0252611404282925,2.0252611404282925,False,False,0.0,False,False
