method,target_coverage,achieved_coverage,coverage_gap,mean_width
global_quantile,0.8,0.8095377890856901,0.00953778908569003,3.5339952653646516
monthly_conformal,0.8,0.8081569190288242,0.008156919028824205,3.6112983800537903
conditional_station_group_month,0.8,0.8111035000163095,0.011103500016309442,3.6486992604046313
global_quantile,0.85,0.859292603103152,0.009292603103152053,4.200000000000002
monthly_conformal,0.85,0.8567374498483218,0.006737449848321808,4.2603317384313995
conditional_station_group_month,0.85,0.8581183199051875,0.008118319905187521,4.238020870789068
global_quantile,0.9,0.9071990083830773,0.007199008383077299,5.200000000000002
monthly_conformal,0.9,0.9048830609648694,0.004883060964869346,5.199587884965958
conditional_station_group_month,0.9,0.9051440127866393,0.005144012786639229,5.013146868044957
