group,n,R2,RMSE,MAE,MedAE
27857,4017,0.9988893988945116,0.3723678774565367,0.19064490508396245,0.0771332741073838
27947,4017,0.9989770221473876,0.3513892895856146,0.19184264585587235,0.08314504645173137
27962,4017,0.9990313939456598,0.35964914455712793,0.1970483077524712,0.08727810508326428
27995,4017,0.9991506957704199,0.3656049310274519,0.19454481161424492,0.08646419694585461
28900,4017,0.9991106868344607,0.37183332334674996,0.18745227625076932,0.07959927688589197
34059,4017,0.9991814316587289,0.3297417326775137,0.18053643899114685,0.08210961195629807
34152,4017,0.9990714038111198,0.34893793097186393,0.1911840933383161,0.09198410413096347
34163,4017,0.9990943082948865,0.3621303431953988,0.19465384978559577,0.09016012917690663
34186,4017,0.9991176213143883,0.3802613489087488,0.19519011468279066,0.08721505290728615
34240,4017,0.9990794869707834,0.33936171860556724,0.18613972140430254,0.08245028220740425
34289,4017,0.9991366461480932,0.38205577052445494,0.19384841281545348,0.08238383447793751
34391,4017,0.9993076132188791,0.3449218479577788,0.17707201585131518,0.0757785894894667
35007,4017,0.9991189835009681,0.38743587725665457,0.19130528108200762,0.0777204607118398
35108,4017,0.9861317762871746,1.567605511278194,0.7046027725535808,0.1731889736772061
