group,n,R2,RMSE,MAE,MedAE
27857,4017,0.9988894056647364,0.3723667424774418,0.19063846038768975,0.0770670890808105
27947,4017,0.998977027753812,0.3513883266907643,0.1918401589226242,0.08319282531738281
27962,4017,0.9990313755430075,0.35965256104761445,0.1970499963644045,0.08720817565917827
27995,4017,0.999150584621008,0.3656288538116521,0.19454060119570027,0.08674888610839915
28900,4017,0.9991106903244319,0.37183259374499583,0.18745230386765824,0.07962341308593679
34059,4017,0.9991814294871401,0.3297421700649407,0.18053661469413712,0.08214149475097621
34152,4017,0.9990713952760272,0.348939534581032,0.19118365561276607,0.09202766418457031
34163,4017,0.9990943349112822,0.3621250220274537,0.19465469567372726,0.09024963378906214
34186,4017,0.999117630066572,0.38025946302606034,0.19519173417009467,0.08734283447265623
34240,4017,0.9990794682851032,0.3393651629741862,0.18614360686110598,0.0823722839355483
34289,4017,0.9991366597947449,0.3820527510193915,0.19384621095977853,0.08249053955078123
34391,4017,0.9993075204958203,0.34494494280806576,0.17708250578286075,0.07559165954589808
35007,4017,0.9991189870123575,0.38743510517145946,0.19130508656937417,0.0777120590209961
35108,4017,0.9861324677625488,1.5675664300612322,0.7046061522692985,0.17333297729492259
