mode,bias_variant,R2,RMSE,MAE,MedAE,n
zero-shot,station_month,0.9789760614520069,1.779388671418989,1.0460700208640867,0.6195551496283076,5110
scratch,station_month,0.9787326918466578,1.7896579911556785,1.0288434133600541,0.6118134997860155,5110
finetune,station_month,0.9800664430078575,1.7326314095927362,1.0162367991514203,0.6187073159219176,5110
