factor,best_iteration,RMSE_full,MAE_full,R2_full,RMSE_winter,MAE_winter,R2_winter,n_full,n_winter
1.0,2999,1.1450175044878272,0.7093865705889498,0.9902114974163753,1.3588250797498456,0.8064755379082239,0.9575515611371258,10220,4228
1.15,2999,1.1466739296974375,0.7088986974033125,0.9901831561024407,1.3585591658902256,0.8049334817713122,0.957568173317635,10220,4228
1.3,2999,1.14496539585763,0.706590435187644,0.9902123883265195,1.3573712026120528,0.8007739554290627,0.9576423480968059,10220,4228
1.5,2999,1.1457298436215426,0.7082676966922856,0.9901993143670079,1.3565407072266602,0.8031217351654508,0.9576941645383996,10220,4228
1.8,2999,1.147887909130582,0.7104230519656798,0.9901623589869584,1.35813396730855,0.8037784402508044,0.9575947295834387,10220,4228
2.2,2999,1.1490020243506212,0.7115456744696063,0.990143253315763,1.3627685702622838,0.80661881699129,0.9573048216271106,10220,4228
