mode,bias_variant,R2,RMSE,MAE,MedAE,n
zero-shot,station_month,0.9797157312652149,1.7478069416293887,1.0198175465197497,0.5996920318705357,5110
scratch,station_month,0.979934298906887,1.7383649277120254,0.9943127271816783,0.5833315540888899,5110
finetune,station_month,0.9803041362252356,1.7222702428205519,1.0005344798129883,0.5904180523258233,5110
