mode,RMSE_gain_vs_zeroshot,MAE_gain_vs_zeroshot,R2_gain_vs_zeroshot
finetune,0.32880440969007774,0.24863160131397954,0.005456639495770799
scratch,0.37371379332200894,0.2871163110604291,0.006068675574824378
