Cod,Date,resid,split
27857,2013-01-01,0.5014297485351564,train
27857,2013-01-02,-0.5935358047485351,train
27857,2013-01-03,-0.0168804168701171,train
27857,2013-01-04,0.2492823600769043,train
27857,2013-01-05,-0.102406883239746,train
27857,2013-01-06,-0.012698745727539151,train
27857,2013-01-07,-0.04159946441650386,train
27857,2013-01-08,-0.01575756072998047,train
27857,2013-01-09,-0.23667240142822266,train
27857,2013-01-10,0.27998275756835866,train
27857,2013-01-11,0.3567287445068352,train
27857,2013-01-12,-0.1079574584960934,train
27857,2013-01-13,-0.012603378295898082,train
27857,2013-01-14,-0.25109138488769567,train
27857,2013-01-15,0.09157295227050799,train
27857,2013-01-16,0.135955810546875,train
27857,2013-01-17,-0.09079513549804652,train
27857,2013-01-18,-0.6362346649169925,train
27857,2013-01-19,0.03520355224609384,train
27857,2013-01-20,1.070888137817383,train
27857,2013-01-21,-0.5395831108093262,train
27857,2013-01-22,0.046697998046875355,train
27857,2013-01-23,0.004364395141600141,train
27857,2013-01-24,0.001462173461913352,train
27857,2013-01-25,-0.05633735656738281,train
27857,2013-01-26,0.11543960571288991,train
27857,2013-01-27,-0.043233489990235796,train
27857,2013-01-28,-0.04933128356933736,train
27857,2013-01-29,0.01042709350585902,train
27857,2013-01-30,0.16326293945312464,train
27857,2013-01-31,0.024244308471679688,train
27857,2013-02-01,0.10582942962646502,train
27857,2013-02-02,-0.853358268737793,train
27857,2013-02-03,-0.48763046264648435,train
27857,2013-02-04,-0.12700338363647456,train
27857,2013-02-05,1.9768115997314453,train
27857,2013-02-06,-0.4069231033325196,train
27857,2013-02-07,-0.7022594451904296,train
27857,2013-02-08,0.395803070068359,train
27857,2013-02-09,0.012176132202148526,train
27857,2013-02-10,0.3105621337890625,train
27857,2013-02-11,-0.9032800674438475,train
27857,2013-02-12,0.02036495208740252,train
27857,2013-02-13,-0.09365024566650426,train
27857,2013-02-14,0.41242065429687536,train
27857,2013-02-15,-0.07790374755859375,train
27857,2013-02-16,-0.042176437377929865,train
27857,2013-02-17,0.10642395019531214,train
27857,2013-02-18,0.06678733825683558,train
27857,2013-02-19,-0.04905433654785085,train
27857,2013-02-20,0.0146636962890625,train
27857,2013-02-21,0.045780181884765625,train
27857,2013-02-22,0.027706527709961293,train
27857,2013-02-23,-0.04702491760253835,train
27857,2013-02-24,-0.16406364440917898,train
27857,2013-02-25,0.004500198364257635,train
27857,2013-02-26,0.02498397827148402,train
27857,2013-02-27,-0.11618404388427717,train
27857,2013-02-28,-0.20332851409912145,train
27857,2013-03-01,-0.029996395111083984,train
27857,2013-03-02,-0.43052558898925763,train
27857,2013-03-03,1.6071922302246087,train
27857,2013-03-04,0.10416221618652344,train
27857,2013-03-05,-0.17955131530761648,train
27857,2013-03-06,0.017507171630860796,train
27857,2013-03-07,-0.04399890899658221,train
27857,2013-03-08,0.021521377563476385,train
27857,2013-03-09,-0.018822860717772727,train
27857,2013-03-10,-0.00727615356445277,train
27857,2013-03-11,-0.0002994537353515625,train
27857,2013-03-12,3.986358642649179e-05,train
27857,2013-03-13,-0.08499679565429652,train
27857,2013-03-14,0.024422454833985086,train
27857,2013-03-15,-0.10871782302856445,train
27857,2013-03-16,0.14994707107543936,train
27857,2013-03-17,0.07659559249877929,train
27857,2013-03-18,0.4325565338134765,train
27857,2013-03-19,-0.3783195495605467,train
27857,2013-03-20,0.8294754028320312,train
27857,2013-03-21,-1.8262142181396483,train
27857,2013-03-22,0.3145191192626955,train
27857,2013-03-23,0.29633426666259766,train
27857,2013-03-24,0.10507774353027344,train
27857,2013-03-25,-0.2080568313598632,train
27857,2013-03-26,-0.1051315307617191,train
27857,2013-03-27,-0.05223045349121058,train
27857,2013-03-28,0.08085594177246058,train
27857,2013-03-29,0.009161949157714844,train
27857,2013-03-30,0.08454685211181623,train
27857,2013-03-31,-0.17161216735839835,train
27857,2013-04-01,0.21337003707885738,train
27857,2013-04-02,0.030601787567138494,train
27857,2013-04-03,0.6502309799194337,train
27857,2013-04-04,-0.3654013633728028,train
27857,2013-04-05,-0.3471134185791014,train
27857,2013-04-06,0.002656173706054865,train
27857,2013-04-07,-0.18398389816284189,train
27857,2013-04-08,0.31561717987060556,train
27857,2013-04-09,0.14284515380859375,train
27857,2013-04-10,0.1838846206665039,train
27857,2013-04-11,-0.1531855106353759,train
27857,2013-04-12,0.06675629615783674,train
27857,2013-04-13,-0.021658468246459783,train
27857,2013-04-14,0.0014484405517576349,train
27857,2013-04-15,-0.09009294509887678,train
27857,2013-04-16,0.08624210357666051,train
27857,2013-04-17,0.08907337188720632,train
27857,2013-04-18,-0.058500862121581676,train
27857,2013-04-19,-0.004470443725585582,train
27857,2013-04-20,0.013442420959473012,train
27857,2013-04-21,0.054824066162108664,train
