station,n,Q_1,p_1,Q_7,p_7,Q_14,p_14,Q_30,p_30
27857,4017,1.3832897167086122,0.23954158279824306,74.56835476899069,1.7547674860109296e-13,105.4614924292057,4.2237860322540245e-16,238.79778293596263,2.1724245494016095e-34
27947,4017,0.780995895885523,0.3768367324027455,54.12352415944806,2.2232181025585225e-09,88.20536934036055,8.27413271116015e-13,144.45624819845148,6.38351182060833e-17
27962,4017,0.6929999156828048,0.40514586873449565,138.0540032679691,1.2992972413761826e-26,151.2896031662392,3.968181885467133e-25,202.31717186410364,1.8235925869599884e-27
27995,4017,5.000933288561616,0.02533365450885928,157.82477626899083,9.201791063054902e-31,220.63498570958794,3.253178992501874e-39,317.36932343901424,9.795675963417448e-50
28900,4017,95.22726234906696,1.6973658926676283e-22,293.1535219047147,1.7519743439930458e-59,377.0180125044154,8.713835864391825e-72,475.25723544534424,1.4048422242500658e-81
34059,4017,4.062512770713273,0.04384521009711675,145.8815170808256,2.971763118242431e-28,162.08655426500312,2.6994599372544923e-27,219.17915054224278,1.2048206458114454e-30
34152,4017,5.311942194668401,0.021179732342668386,181.8383212876584,7.967936479531709e-36,220.77394122028537,3.0462064363545057e-39,276.68932337249515,9.924101355923256e-42
34163,4017,3.3953770864325357,0.0653794125270981,114.90453587812783,8.799619254134393e-22,137.57333825228247,2.1528835494011244e-22,213.99383210634943,1.1556758100464648e-29
34186,4017,115.52285126350962,6.045836420612149e-27,349.8204311866457,1.346282953998759e-71,451.78616093393265,1.491436260244895e-87,664.9641463129258,9.723909551897357e-121
34240,4017,1.452485822369708,0.2281294997715526,80.78619717948052,9.521877348337578e-15,123.93413899175009,1.0644006728596002e-19,255.41741856628033,1.3597432924385778e-37
34289,4017,0.15214848611009732,0.6964905853600952,98.02723956357529,2.75503720772503e-18,150.78666881106898,5.0031860024789e-25,240.80561423886053,8.941025560353872e-35
34391,4017,40.20138818513473,2.2908540221982064e-10,352.6070588300368,3.4087349174646923e-72,544.0272071811446,4.2252697495323254e-107,681.5001443215779,3.51546412781726e-124
35007,4017,60.245081326219164,8.375185932852786e-15,211.2662159692467,4.702728296919061e-42,252.21436962353218,1.0010259073049059e-45,312.9837662911442,7.233069039834956e-49
35108,4017,1233.5435211838535,3.1292426755944326e-270,1473.9000919501739,0.0,1494.9527119435581,5.7928320340046e-311,1574.9153594851107,0.0
