station,n,bias,mae
27857,4017,-0.0017132315019603324,0.13595564078714886
27947,4017,-0.0004176994031241824,0.13165174481404016
27962,4017,-0.014597580413305557,0.13358911105225504
27995,4017,0.025707655888396717,0.13580626469213983
28900,4017,-0.011272218698050986,0.1319087431624899
34059,4017,-0.0008876092106897793,0.1257903439030589
34152,4017,0.01049949167853182,0.1322482239170279
34163,4017,0.012948248995932173,0.13463234865816784
34186,4017,-0.006486673677979568,0.13739818095092546
34240,4017,-0.011030867327081662,0.12337473336814024
34289,4017,-0.0070756827951041525,0.13821909533883614
34391,4017,-0.03530855185955296,0.12779379026314674
35007,4017,0.03407749247723087,0.1353865240057636
35108,4017,-0.06038100189434999,0.5496255607904116
