station,n,baseline_mae,model_mae,mae_gain
27612,730,0.2838356164383562,0.2838356164383562,0.0
22802,730,0.3441095890410959,0.3441095890410959,0.0
26477,730,0.3813698630136986,0.3813698630136986,0.0
22820,730,0.3863013698630137,0.3863013698630137,0.0
34880,730,0.4212328767123288,0.4212328767123288,0.0
33008,730,0.43438356164383557,0.43438356164383557,0.0
26063,730,0.5417808219178082,0.4493961248199826,0.0923846970978256
22602,730,0.4694520547945206,0.4694520547945206,0.0
26258,730,0.5621917808219178,0.5621917808219178,0.0
22217,730,0.5636986301369862,0.5636986301369862,0.0
23804,730,0.575890410958904,0.575890410958904,0.0
34123,730,0.5976712328767123,0.5976712328767123,0.0
30823,730,0.6843835616438357,0.6009836812832788,0.0833998803605569
29430,730,0.6143835616438356,0.6143835616438356,0.0
28900,730,0.6786301369863014,0.6292726177523194,0.04935751923398202
34861,730,0.6357534246575343,0.6357534246575343,0.0
22550,730,0.6257534246575344,0.6507286335767745,-0.0249752089192401
28722,724,0.6705801104972376,0.6835283202999041,-0.012948209802666422
22113,730,1.048082191780822,0.6883516242616645,0.35973056751915755
35121,730,0.5567123287671233,0.6934869401192625,-0.1367746113521392
28698,730,0.6938356164383561,0.6938356164383561,0.0
34391,728,0.6940934065934067,0.6940934065934067,0.0
27037,730,0.6975342465753425,0.6975342465753425,0.0
22583,730,0.7027397260273973,0.7027397260273973,0.0
37235,730,1.029315068493151,0.7040121201711566,0.32530294832199436
34824,728,0.7225274725274725,0.7225274725274725,0.0
27199,730,0.7319178082191781,0.7319178082191781,0.0
28064,729,0.7617283950617283,0.7764765183631694,-0.014748123301441152
24125,730,0.7769863013698631,0.7769863013698631,0.0
27459,730,0.7872602739726028,0.7872602739726028,0.0
23405,729,0.8042524005486967,0.8042524005486967,0.0
37031,728,0.8155219780219781,0.8101774126118572,0.0053445654101209605
34172,511,0.816242661448141,0.816242661448141,0.0
27823,728,0.8221153846153846,0.8221153846153846,0.0
20674,730,0.8232876712328767,0.8232876712328767,0.0
28440,730,0.972054794520548,0.8254359840979314,0.1466188104226166
22887,730,0.831095890410959,0.831095890410959,0.0
27595,730,0.8968493150684932,0.8326247386616489,0.06422457640684431
22641,729,0.83360768175583,0.83360768175583,0.0
23711,729,0.8378600823045267,0.8378600823045267,0.0
23631,730,0.8671232876712329,0.8766204520355758,-0.009497164364342892
32165,730,0.8838356164383561,0.8838356164383561,0.0
28661,728,0.888186813186813,0.888186813186813,0.0
27648,728,0.8991758241758242,0.8991758241758242,0.0
31088,730,0.9012328767123288,0.8992835553482889,0.0019493213640399132
28224,728,0.9010989010989011,0.9102965377941523,-0.009197636695251199
23933,730,0.9406849315068494,0.9406849315068494,0.0
31329,729,0.9716049382716049,0.9500017870694082,0.02160315120219669
28275,729,0.9613168724279835,0.9613168724279835,0.0
22837,730,0.9820547945205479,0.9621074812479112,0.019947313272636658
30758,730,0.9749315068493152,0.9749315068493152,0.0
27333,728,0.9767857142857144,0.9767857142857144,0.0
23418,730,0.9813698630136986,0.9813698630136986,0.0
23205,730,0.9728767123287672,0.9816582133427058,-0.008781501013938597
37472,730,0.9860273972602739,0.9860273972602739,0.0
28493,728,1.003021978021978,1.003021978021978,0.0
23724,729,1.0233196159122087,1.0313899679096679,-0.008070351997459202
29263,729,1.0455418381344308,1.0455418381344308,0.0
31510,730,1.077945205479452,1.0469381443605033,0.031007061118948798
23324,730,1.0653424657534247,1.0653424657534247,0.0
29612,729,1.0670781893004115,1.0673908623525634,-0.00031267305215187946
30054,730,1.0726027397260274,1.0738621143994482,-0.0012593746734208544
32389,730,1.0752054794520547,1.0752054794520547,0.0
31915,730,1.145753424657534,1.1088231769689256,0.03693024768860842
30393,730,1.131917808219178,1.117316264780621,0.01460154343855713
31253,730,1.1295890410958902,1.1183383390113508,0.011250702084539377
31960,730,1.174931506849315,1.1380948870317142,0.03683661981760067
31909,730,1.1553424657534246,1.1481844648188109,0.0071580009346137174
