method,target_coverage,achieved_coverage,coverage_gap,mean_width
global_quantile,0.8,0.8127216263242517,0.012721626324251667,3.5999999999999948
monthly_conformal,0.8,0.8105962161090677,0.010596216109067691,3.653263731841104
global_quantile,0.85,0.8601193753716715,0.010119375371671513,4.24111162185669
monthly_conformal,0.85,0.8580600400854569,0.00806004008545691,4.288805906486582
global_quantile,0.9,0.9067352377596194,0.006735237759619372,5.200963101387024
monthly_conformal,0.9,0.9055458890381692,0.005545889038169216,5.202993743729625
