month,n,baseline_mae,best_mae,mae_gain
1,7719,1.5239538800362744,1.4834869511294948,0.04046692890677961
2,6968,1.354247990815155,1.3010915407119426,0.05315645010321246
3,7727,1.3871230749320562,1.3349879587438753,0.0521351161881809
4,7498,1.1374233128834357,1.116014728995176,0.021408583888259614
5,7683,0.9875829754002343,0.951619874265653,0.03596310113458134
6,7494,0.8690419001868162,0.8278753459320359,0.04116655425478022
7,7721,0.7607434270172256,0.7381124702051983,0.022630956812027314
8,7708,0.7906331084587442,0.7583958552223324,0.0322372532364118
9,7437,0.9340997714132042,0.9088574191354765,0.025242352277727753
10,7694,0.998505328827658,0.9631143619459054,0.035390966881752584
11,7441,1.3591587152264482,1.3132246967393597,0.045934018487088446
12,7716,1.5235095904613791,1.4654939737375883,0.05801561672379085
