station,baseline_mae,xgb_mae,gain
25913,2.946849315068493,1.3032028628936776,1.6436464521748153
22113,1.258082191780822,0.7524721922858121,0.50560999949501
37235,0.8843835616438357,0.641758918188104,0.24262464345573165
30710,1.2413698630136987,1.0556670327566258,0.1857028302570729
29570,1.4216438356164383,1.246451341109733,0.17519249450670515
25563,2.4104109589041096,2.2842432521099916,0.12616770679411804
30823,1.2115068493150685,1.0979262137433436,0.11358063557172482
26063,0.6131506849315069,0.5280838139023478,0.08506687102915911
37031,0.8082191780821918,0.740152888091868,0.06806628999032382
22837,1.1884931506849314,1.121078040703927,0.06741510998100453
21946,1.5838356164383565,1.516617666213735,0.06721795022462151
29866,1.4860068259385668,1.4226182448935183,0.06338858104504852
28440,0.8567123287671234,0.7949458501743127,0.0617664785928107
29838,1.5197260273972604,1.463468728612547,0.056257298784713416
34163,1.2272727272727275,1.1764341812458907,0.050838546026836795
31594,1.4994520547945205,1.4502429598881164,0.04920909490640413
28900,0.6528767123287671,0.6042761116362598,0.04860060069250727
30636,1.5796703296703296,1.535345299324983,0.04432503034534663
30949,1.4032876712328768,1.3608896846803902,0.04239798655248661
25551,2.125824175824176,2.0910245226552853,0.034799653168890554
28722,0.8958904109589038,0.8616738815034088,0.034216529455494915
29698,1.4712328767123288,1.4372941210876178,0.03393875562471105
31707,1.232602739726027,1.1993597992234035,0.03324294050262355
21982,1.2167123287671233,1.1835583465959725,0.03315398217115084
31873,1.3345205479452056,1.301389685836557,0.03313086210864857
30925,1.2112328767123288,1.180180022473613,0.031052854238715843
30965,1.5865753424657534,1.5572087313683882,0.02936661109736516
31960,1.3572602739726027,1.3279449557931458,0.029315318179456984
30393,1.2436813186813187,1.2157076648876564,0.027973653793662345
31416,1.692602739726028,1.6648045474392907,0.02779819228673719
32098,1.5421917808219177,1.5148439258826925,0.027347854939225202
31915,1.1893150684931508,1.1630113088482454,0.02630375964490539
30673,1.5561643835616439,1.530314839824218,0.025849543737425984
29231,1.4005479452054792,1.3758973335117508,0.024650611693728397
30521,1.4043835616438354,1.3799471363894744,0.02443642525436096
30372,1.6578082191780823,1.6336525031822189,0.024155715995863414
31004,1.232054794520548,1.2090309954995977,0.02302379902095031
25703,2.1123626373626374,2.0901992168257038,0.022163420536933653
32061,1.2678571428571428,1.2463585367091103,0.02149860614803245
30777,1.286301369863014,1.265316636774638,0.020984733088375895
31388,1.2522598870056498,1.2319777716224813,0.020282115383168486
29612,1.048901098901099,1.028789307025599,0.02011179187550005
31329,1.0575342465753426,1.0379823176419898,0.01955192893335278
28138,1.8362745098039215,1.8167826307949675,0.019491879008953994
23891,1.4549450549450547,1.4375229036578765,0.017422151287178167
24966,1.8380530973451328,1.8213542911507035,0.016698806194429316
30054,1.0723287671232877,1.0557942444938935,0.016534522629394255
31088,0.9997260273972604,0.9836326811337613,0.01609334626349901
31168,1.2580821917808218,1.2426089208448075,0.01547327093601436
28434,1.2494505494505495,1.2346612530299923,0.014789296420557152
36034,1.4816438356164385,1.4671553328633309,0.014488502753107646
24908,1.894246575342466,1.880869847677699,0.01337672766476694
22550,0.717808219178082,0.7055040867029599,0.012304132475122076
31369,1.409041095890411,1.398395624698127,0.010645471192283873
31253,1.1477744807121661,1.137846241223706,0.009928239488460111
35121,0.9882191780821917,0.9784289916900739,0.009790186392117817
23631,0.942191780821918,0.9325770223793918,0.009614758442526239
23884,1.4761643835616438,1.4666840671043688,0.009480316457274984
31909,1.2964383561643837,1.2897697946470077,0.006668561517376048
31532,1.552876712328767,1.5464006075946843,0.006476104734082666
30252,1.6312328767123287,1.625926848445853,0.00530602826647586
27595,0.8517808219178081,0.8469548988066715,0.00482592311113661
23205,1.0483516483516482,1.0435886299872137,0.00476301836443449
29282,1.2978082191780822,1.294061522419526,0.0037466967585562116
23724,1.0712328767123287,1.0675684301004018,0.003664446611926886
23921,1.3782967032967033,1.3754693996611531,0.0028273036355501713
31510,1.0249315068493152,1.0227918238682698,0.0021396829810453877
24738,1.4505494505494505,1.4492584183730266,0.0012910321764239008
28064,0.9076712328767123,0.906533806091302,0.0011374267854102893
28224,1.0457943925233646,1.0447582530919637,0.0010361394314009065
32411,1.2542465753424659,1.2536795729378314,0.0005670024046344757
24951,1.5734246575342465,1.5733914682473222,3.318928692430667e-05
24641,1.320054945054945,1.320349973522045,-0.0002950284670999448
29263,1.2057692307692307,1.208023013478493,-0.002253782709262353
23955,1.3512328767123285,1.3541668261454936,-0.0029339494331650506
20891,1.3630136986301367,1.3665265985119015,-0.0035128998817648416
23933,0.9767123287671233,0.9805443423823135,-0.003832013615190144
30230,1.2435616438356165,1.2481780130201823,-0.004616369184565761
28275,1.067945205479452,1.073291183395745,-0.005345977916292988
24959,1.2219178082191782,1.2291902181138732,-0.00727240989469502
22887,0.9054945054945056,0.9172722160324946,-0.011777710537989039
24944,1.3057692307692306,1.3178622711367987,-0.012093040367568086
27333,1.066403162055336,1.0789282598749923,-0.012525097819656272
22583,0.886027397260274,0.8996507374942304,-0.013623340233956394
22641,0.9123287671232877,0.926289432742569,-0.013960665619281332
27459,0.9583561643835615,0.9729957049105264,-0.014639540526964923
23472,1.5046575342465756,1.5200819892079047,-0.01542445496132916
32165,0.8424657534246576,0.8583766018578859,-0.01591084843322832
29430,0.6326027397260273,0.6487728777078733,-0.016170137981845967
27199,0.8153424657534247,0.8351479092566935,-0.019805443503268738
34172,1.0324175824175823,1.0523293287827822,-0.01991174636519988
34123,0.6342465753424658,0.6544205555705073,-0.02017398022804151
23711,0.9139726027397261,0.9348408224974593,-0.02086821975773312
32389,1.043013698630137,1.0640033465297256,-0.02098964789958857
27648,0.9419178082191783,0.9633136605849005,-0.02139585236572228
23405,0.9263013698630135,0.9477591856497608,-0.021457815786747325
24817,1.7164383561643837,1.7388945003609133,-0.022456144196529637
27823,0.8172602739726026,0.8415357724669044,-0.024275498494301773
23804,0.682191780821918,0.7073793594204909,-0.0251875785985729
24507,1.6873626373626376,1.7139490594084448,-0.02658642204580719
23418,1.074725274725275,1.1020800428403603,-0.027354768115085415
24343,1.3575757575757577,1.386491966723739,-0.02891620914798132
22602,0.6175342465753424,0.647353529403471,-0.029819282828128624
34861,0.575890410958904,0.6067062029405815,-0.0308157919816775
34824,0.7293150684931509,0.7620020831121157,-0.03268701461896484
30758,0.9413698630136985,0.9748019176007133,-0.033432054587014814
28493,1.0054794520547945,1.0409691342752274,-0.03548968222043292
28661,0.8473972602739724,0.88290467338611,-0.035507413112137565
22802,0.3624657534246576,0.39945760177116685,-0.03699184834650926
27037,0.6586301369863014,0.696189265124602,-0.037559128138300646
23324,1.0906849315068494,1.131911261979848,-0.04122633047299851
26477,0.3826923076923077,0.4253867080639843,-0.0426944003716766
28698,0.9041095890410958,0.9473533298299737,-0.04324374078887783
33008,0.4208219178082191,0.46648269668629716,-0.04566077887807807
27612,0.3400000000000001,0.38833867231460467,-0.04833867231460459
22217,0.6638356164383561,0.7201899620053703,-0.05635434556701424
22820,0.45999999999999996,0.5205980426889576,-0.06059804268895763
26258,0.6767123287671234,0.7450816800256502,-0.06836935125852683
37472,0.6186813186813187,0.6914498374109145,-0.07276851872959578
34391,0.9169863013698628,1.0033161126056762,-0.0863298112358134
34880,0.4734246575342466,0.5750589118137547,-0.10163425427950806
24125,0.6497252747252746,0.7601442337240819,-0.11041895899880727
24688,1.8846575342465757,2.012207600978548,-0.12755006673197222
24266,2.0021917808219176,2.1590581531189894,-0.1568663722970718
20674,0.7863013698630137,1.0095312157140612,-0.22322984585104755
