month,R2,RMSE,MAE,MedAE,SMAPE
1,0.9239520092662493,1.8908806665502795,1.1134120315300855,0.6706281661987308,10.605322634528708
2,0.9166011836182243,1.8447054165745802,1.0593084602971232,0.6491919994354247,13.421662628870818
3,0.9225133621646256,1.5540325843270195,0.9814643042128506,0.6367640972137452,21.70323857520247
4,0.9374399422810832,1.1447110214400633,0.775123315270329,0.5397148609161377,7.432917903142491
5,0.9343677681488795,1.2446742424925574,0.8251645200663049,0.5792495727539073,3.7201699789896203
6,0.9259297310146589,1.1522827289480688,0.7535008357613634,0.5407043457031246,2.739162731856501
7,0.9211969278611373,0.9796717897668422,0.679661855629712,0.4968458175659185,2.276718725766896
8,0.9314364400809438,1.0738536510941386,0.7270397382447747,0.5357799530029297,2.5253070712903867
9,0.9296980592081593,1.1213807616945908,0.7480376148843146,0.5545255661010744,4.074492909527766
10,0.9253588413066536,1.2623097392483986,0.8585715350617311,0.6048634529113768,9.864269513979501
11,0.9479071829997945,1.206763814741616,0.7892542684439456,0.5466671943664551,17.796516074721907
12,0.9248677730710204,1.5734333653375363,0.937257737707882,0.5805123805999758,13.162748139568533
