year,R2,RMSE,MAE,MedAE,SMAPE
2013,0.9715962524305947,2.0013163677508072,1.4921017146157192,1.144284963607788,11.613224861672974
2014,0.9862784096734751,1.528038671369639,0.8640917328985702,0.5620607376098631,5.834618548858607
2015,0.9852911238614513,1.4633886172556199,0.8559374669573313,0.5488211631774904,6.414267019572928
2016,0.9902697607408995,1.232504552180211,0.7432545374744484,0.4945562362670901,5.102439873442248
2017,0.9905067782658163,1.1147056183222195,0.721440195262782,0.51752815246582,6.045123993675765
2018,0.9923634646611833,1.1743081983898371,0.7589067686233968,0.5479976654052738,4.917833337024292
2019,0.9902143581390288,1.1641961354931387,0.7528643496862364,0.5312965393066409,5.59012295096534
2020,0.9882826153933276,1.2068327739164546,0.736596303736205,0.5105054855346669,5.470273779536232
2021,0.99126203715578,1.2523002362695852,0.7639298491935207,0.5272714614868164,5.1403651440880225
2022,0.9877057112803439,1.262273608052554,0.8254214974345525,0.5867755889892576,6.549153860278
2023,0.9859200121515093,1.394439342831457,0.8730035856138701,0.5976362705230714,5.8550257548276985
