Cod,R2,RMSE,MAE,MedAE,SMAPE
35108,0.9236623666304262,3.6778643581727675,2.713264895411371,2.0046154022216793,19.300163084372375
27995,0.992443463328161,1.0905404985670224,0.7808591990082722,0.5992462158203118,6.092125327343766
35007,0.9930592522775195,1.0874541212403246,0.782186690960353,0.5910239219665527,5.8417803052810795
34289,0.9939326957423052,1.012815257572844,0.7301522388724151,0.5621177673339837,5.1761961488730295
34391,0.9940657109276586,1.0097890786139339,0.7059327379221462,0.5197688102722164,4.938355246652461
27857,0.9919092173604552,1.0050517532057035,0.7066216037081698,0.5250141143798821,5.909682904734085
28900,0.9936816441714429,0.9911125775219887,0.730876346936652,0.569157600402832,5.654844080834233
34186,0.994282753105206,0.9679393675602704,0.6990532748640429,0.5227592468261717,5.05715385877218
34163,0.9935811820908363,0.9640559712703363,0.7034221609166406,0.5456401824951165,5.538845619891782
27947,0.9924348949337289,0.9555708352790009,0.6990177970042952,0.5364181518554689,6.11920629310926
34152,0.9931771392270194,0.9458406776324596,0.6919802920332232,0.5261802673339844,5.7748507763628165
27962,0.9933116310792628,0.9450734269077803,0.700240710768677,0.5460227966308593,5.926100063796094
34059,0.9937683841604528,0.90980177533677,0.6515071395026946,0.477630615234375,5.352959677110348
34240,0.993541653099267,0.8988941725382663,0.6518822233742791,0.4902748107910142,5.303363955336118
