year,R2,RMSE,MAE,MedAE,SMAPE
2013,0.6937764495689787,6.571238331476066,4.323986690823579,2.079263973236084,29.657445932027464
2014,0.9213323751663373,3.658728134563265,1.312838494987637,0.5059888839721678,5.187403985684306
2015,0.9092494025947143,3.634918464092447,1.3271630002654462,0.49936981201171804,5.977136277556523
2016,0.9743184606625953,2.002337578985671,0.8147910887705544,0.43389568328857386,4.503952242054083
2017,0.9727371485429858,1.8890307011662588,0.7901458066596909,0.4569256782531741,5.263150908723886
2018,0.9787105936330558,1.9607204833117748,0.8220711265011543,0.4693706512451179,4.195002776345766
2019,0.9745646681314301,1.8769391752718705,0.8123834896460904,0.471191215515137,4.979714735656517
2020,0.9802116608825016,1.568326299742053,0.7157491146354914,0.4412305831909187,4.63160292337079
2021,0.9768658443326076,2.0376528322169025,0.8058997170005993,0.46077728271484375,4.397578565602609
2022,0.968998409029,2.0044433609176835,0.9725365353097187,0.5878829956054685,6.653201248275474
2023,0.9678510647695382,2.107083684755571,0.9774792297292362,0.6052312850952155,5.948802494265205
