mode,R2,RMSE,MAE,MedAE,n
zero-shot,0.9789101602307323,1.782175307633202,1.0540174598498993,0.6380442278632503,5110
scratch,0.9856725210290266,1.4689217855811418,0.877461575014693,0.5564644118156119,5110
finetune,0.9852466520137679,1.490592992292373,0.8884861924911583,0.571654960867624,5110
