month,n,baseline_mae,best_mae,mae_gain
1,7719,1.5239538800362744,1.462658112390383,0.0612957676458914
2,6968,1.354247990815155,1.3004633049975491,0.05378468581760587
3,7727,1.3871230749320562,1.3349495404391343,0.05217353449292195
4,7498,1.1374233128834357,1.1092224432727154,0.028200869610720325
5,7683,0.9875829754002343,0.9419649825114466,0.04561799288878776
6,7494,0.8690419001868162,0.823873679502094,0.04516822068472215
7,7721,0.7607434270172256,0.7291092898046309,0.03163413721259478
8,7708,0.7906331084587442,0.7495985177861578,0.04103459067258641
9,7437,0.9340997714132042,0.911552553205214,0.022547218207990216
10,7694,0.998505328827658,0.9608543189704826,0.0376510098571754
11,7441,1.3591587152264482,1.3075997247934104,0.0515589904330378
12,7716,1.5235095904613791,1.4503758497930341,0.073133740668345
