station,cluster_id
20674,0
21982,0
22113,0
23205,0
23324,0
23418,0
23631,0
23711,0
23724,0
23884,0
23921,0
23933,0
23955,0
27595,0
28138,0
28275,0
28434,0
28440,0
28493,0
28661,0
28698,0
29231,0
29263,0
29282,0
29570,0
29612,0
29698,0
29838,0
29866,0
30710,0
30758,0
30823,0
30925,0
30949,0
31088,0
31168,0
31369,0
31510,0
31707,0
31873,0
31915,0
31960,0
32061,0
32098,0
32389,0
32411,0
35121,0
36034,0
20891,1
21946,1
23472,1
23891,1
24125,1
24266,1
24343,1
24507,1
24641,1
24688,1
24738,1
24817,1
24908,1
24944,1
24951,1
24959,1
24966,1
25551,1
25563,1
25703,1
30054,1
30230,1
30252,1
30372,1
30393,1
30521,1
30636,1
30673,1
30777,1
30965,1
31004,1
31253,1
31329,1
31388,1
31416,1
31532,1
31594,1
22217,2
22550,2
22583,2
22602,2
22641,2
22802,2
22820,2
22837,2
22887,2
23405,2
23804,2
26063,2
26258,2
26477,2
27037,2
27199,2
27333,2
27459,2
27612,2
27648,2
27823,2
28064,2
28224,2
28722,2
28900,2
29430,2
31909,2
32165,2
33008,2
34123,2
34163,2
34172,2
34391,2
34824,2
34861,2
34880,2
37031,2
37235,2
37472,2
25913,3
