station,n_rows,n_train,n_calib,rp5_mean,rp5_std,hydromet_mean,baseline_bias,baseline_mae,bias_cold,bias_warm,mae_cold,mae_warm,bias_seasonal_gap,mae_seasonal_gap,rp5_summer_minus_winter,cluster_id
20674,3286,2921,365,-8.566007303712722,12.644910816744297,-8.689592209373098,0.12358490566037732,0.9710590383444919,0.1716911764705884,0.08961578400830739,1.3366911764705882,0.7128764278296988,0.08207539246228102,0.6238147486408894,25.4549741684935,0
21982,3068,2703,365,-7.968220338983051,10.317093098555196,-7.859582790091265,-0.10863754889178619,1.322522816166884,-0.22720125786163692,-0.024665924276169315,1.781918238993711,0.9971603563474388,-0.2025353335854676,0.7847578826462721,20.143479022426554,0
22113,3287,2922,365,0.8941588074231822,10.402910658421707,1.7322482506845147,-0.8380894432613326,1.1179799209005172,-1.708817046289493,-0.22279335410176504,1.8545922116091111,0.5974558670820352,-1.486023692187728,1.2571363445270758,20.452746422826177,0
23205,2516,2152,364,-4.535492845786963,11.254841953186242,-4.528815580286168,-0.006677265500794914,0.8988076311605724,0.023136645962733127,-0.03794788273615701,1.1225155279503107,0.6641693811074918,0.06108452869889014,0.45834614684281894,23.212665502825445,0
23324,3036,2671,365,-2.2465415019762847,13.533313752203297,-2.328590250329381,0.08204874835309617,0.9303359683794467,0.11490384615384741,0.05911633109619796,1.235096153846154,0.7176174496644295,0.05578751505764945,0.5174787041817245,27.039129336638855,0
23418,3166,2802,364,-0.21471888818698673,13.235236301945813,-0.22157296272899557,0.006854074542008852,0.8455148452305749,0.02594637223974594,-0.0059009483667020746,1.111750788643533,0.6676501580611169,0.031847320606448015,0.444100630582416,26.401209649432907,0
23631,3286,2921,365,-1.8472611077297627,14.585408049157088,-1.8331101643335364,-0.014150943396226428,0.9223067559342665,-0.031227038941951335,-0.002077922077922345,1.1064658339456284,0.7921038961038961,-0.02914911686402899,0.3143619378417323,30.175299228277467,0
23711,2457,2092,365,-2.4386243386243387,12.448636565556601,-2.5284493284493283,0.08982498982498978,0.8722425722425722,0.09116719242902072,0.08839360807401064,0.9899053627760253,0.7467619848612279,0.0027735843550100725,0.24314337791479734,26.520770774858953,0
23724,2435,2070,365,0.11728952772073922,13.586798206405906,0.13429158110882958,-0.017002053388090337,0.8473100616016427,-0.02533470648815772,-0.011475409836064543,1.0381050463439754,0.7207650273224042,-0.013859296652093178,0.31734001902157116,28.649858245550952,0
23884,3258,2893,365,-1.54975445058318,15.521625398812143,-1.5486187845303867,-0.001135666052793162,1.3494475138121547,0.04769687964338587,-0.0355125523012525,1.8472511144130754,0.9990062761506275,0.08320943194463837,0.8482448382624479,32.76130884210654,0
23921,2366,2002,364,-2.537785291631445,13.050245103040828,-2.6073541842772614,0.0695688926458157,1.0225697379543532,0.11962077493816992,0.01691240242844927,1.2533388293487222,0.7797918473547268,0.10270837250972065,0.47354698199399536,27.8793997152172,0
23933,3287,2922,365,0.1574992394280499,14.456313316960216,-0.038728323699421946,0.19622756312747186,0.9487678734408275,0.2113152094048516,0.18556593977154812,1.1804555473916238,0.7850467289719626,0.025749269633303484,0.39540881841966125,30.069114240648233,0
23955,3170,2805,365,-0.21987381703470033,14.740653830107902,-0.13908517350157729,-0.08078864353312301,1.2649526813880128,-0.13489096573208847,-0.04395546129374317,1.6433021806853583,1.0073700954400848,-0.0909355044383453,0.6359320852452734,30.77727287280801,0
27595,3279,2914,365,5.440286672766088,12.149849766074135,5.827294906983837,-0.3870082342177493,0.8377554132357427,-0.5647318148420277,-0.2608967674661091,1.1501836884643646,0.6160583941605839,-0.3038350473759186,0.5341252943037806,25.67567195050439,0
28138,2379,2073,306,-2.112694409415721,11.82342041201307,-2.269525010508617,0.1568306010928962,0.8886506935687263,0.1351397121083835,0.17821368948247152,0.9127857747671465,0.8648580968280467,-0.043073977374088024,0.0479276779390998,25.891829199988813,0
28275,2813,2448,365,1.1789904017063633,14.003915429068487,1.1400284393885531,0.03896196231781016,0.9684322787060078,0.038775510204082764,0.03910579345088294,1.1848979591836735,0.8014483627204031,-0.0003302832468001782,0.38344959646327037,28.943909577002522,0
28434,2373,2009,364,-0.2237252423093131,12.288829334817065,-0.27117572692793934,0.047450484618626186,1.049220396123051,0.03759336099584942,0.05761986301369859,1.1919502074688797,0.9019691780821918,-0.020026502017849168,0.2899810293866879,26.302388997376376,0
28440,3287,2922,365,3.190812290842714,12.461951130063952,3.7487678734408276,-0.5579555825981137,1.0495892911469424,-0.7056576047024237,-0.4535825545171335,1.3300514327700221,0.8514018691588785,-0.2520750501852902,0.47864956361114364,25.970775121747774,0
28493,2431,2066,365,-1.8952694364459068,13.503717451871061,-1.8940353763883173,-0.001234060057589479,0.9354175236528177,-0.009838585703304759,0.008672566371682677,1.0544196771714067,0.7984070796460176,-0.018511152074987436,0.2560125975253891,28.70510768912858,0
28661,2531,2166,365,0.46629790596602133,13.310270265849304,0.45156064796523115,0.014737258000790187,0.8397076254444884,0.11093023255813961,-0.08525382755841981,0.9197674418604651,0.7564867042707494,0.19618406011655942,0.16328073758971573,28.493467572666944,0
28698,3254,2889,365,2.5893669330055316,14.130569296930664,2.5875537799631223,0.0018131530424093354,0.9972034419176398,-0.2229977957384257,0.16344426835710202,1.2072740631888317,0.8461701003697834,-0.3864420640955277,0.36110396281904833,29.828670153025435,0
29231,3188,2823,365,0.6255332496863236,14.292617933411822,0.6760351317440401,-0.05050188205771646,1.3348180677540777,-0.09009287925696619,-0.02352320675105446,1.6823529411764706,1.0979957805907175,-0.06656967250591173,0.5843571605857532,29.866225655627076,0
29263,3050,2686,364,0.7522950819672131,14.569597833209357,0.6171147540983607,0.13518032786885248,1.2774754098360657,0.20465666929755422,0.08581043185642123,1.644277821625888,1.0168255748738082,0.11884623744113298,0.6274522467520798,30.658808699511418,0
29282,3203,2838,365,0.21152044957852015,15.079316269905473,0.26802997190134253,-0.05650952232282238,1.3081486106774898,-0.11032357473035859,-0.01984251968503692,1.7457627118644068,1.00997375328084,-0.09048105504532167,0.7357889585835669,31.605207934189096,0
29570,2186,1821,365,2.122552607502287,13.30943503463491,2.8007776761207683,-0.6782250686184813,1.3680695333943278,-1.1701541850220263,-0.3287167449139279,1.8399779735682822,1.0327856025039124,-0.8414374401080984,0.8071923710643698,27.80721454516388,0
29612,3091,2727,364,1.9276285991588484,14.170402406940964,1.7539307667421544,0.17369783241669362,1.190197347136849,0.24753713838936697,0.12157836644591491,1.4602032838154808,0.9996136865342165,0.12595877194345206,0.46058959728126436,29.784965141223083,0
29698,3199,2834,365,0.6507033447952485,14.040577930309574,0.6685214129415442,-0.01781806814629572,1.3955611128477647,-0.02793338380014987,-0.0107028753993621,1.7753974261922787,1.128381256656017,-0.01723050840078777,0.6470161695362617,29.74664885308532,0
29838,3287,2922,365,3.5819896562214786,13.530880280935467,3.307088530574992,0.27490112564648617,1.512077882567691,0.4194709772226304,0.17274143302180534,1.794195444526084,1.3127206645898235,0.24672954420082505,0.4814747799362604,28.55722716739261,0
29866,2991,2698,293,2.950585088599131,13.99268318686322,2.730591775325978,0.2199933132731528,1.3476429287863592,0.264054927302098,0.18887621220764572,1.6167205169628434,1.1576155162578439,0.07517871509445229,0.4591050007049995,29.23905726173037,0
30710,3287,2922,365,1.3752053544265288,13.726619021504495,2.1135381807118954,-0.7383328262853665,1.3302403407362335,-0.9605437178545184,-0.5813084112149536,1.6562086700955179,1.0998961578400832,-0.37923530663956484,0.5563125122554347,29.476953298400424,0
30758,3287,2922,365,0.09628840888348038,15.314612925443932,-0.1433221782780651,0.23961058716154546,1.2851232126559176,0.5705363703159438,0.005763239875388848,1.6447465099191771,1.0309968847352025,0.564773130440555,0.6137496251839747,32.95357838424319,0
30823,3253,2888,365,0.26932062711343374,15.843342258216987,0.8160774669535814,-0.5467568398401476,1.3746080541039043,-0.9290227773695765,-0.2717758985200831,1.8246877296105806,1.050845665961945,-0.6572468788494934,0.7738420636486356,34.552531888355304,0
30925,3132,2767,365,0.985919540229885,14.453381363870536,0.9818007662835249,0.004118773946360171,1.167273307790549,0.03199404761904745,-0.016834451901564407,1.0994047619047618,1.2182885906040266,0.04882849952061186,-0.11888382869926484,31.20205070489412,0
30949,3174,2809,365,-0.2129489603024574,14.309179290767627,-0.2364209199747952,0.023471959672337762,1.3527095148078134,0.07223459539717503,-0.01247947454844045,1.5417223459539717,1.2133552271483308,0.08471406994561548,0.32836711880564096,30.955587737040645,0
31088,3286,2921,365,-3.036579427875837,12.89971910013294,-2.9887401095556907,-0.04783931832014609,0.9400486914181375,-0.07465099191770896,-0.028883116883116955,1.1917707567964733,0.7620779220779221,-0.04576787503459201,0.42969283471855113,27.885048796319815,0
31168,3187,2822,365,-1.708409162221525,11.86221211058253,-1.6647631000941325,-0.04364606212739254,1.1562911829306557,-0.11380880121395975,0.005831995719637106,1.4790591805766313,0.9286784376672017,-0.11964079693359686,0.5503807429094296,25.1522795740157,0
31369,3215,2850,365,-1.1166407465007777,14.512399476183667,-1.0674961119751167,-0.049144634525660966,1.4060964230171074,-0.1085218702865749,-0.007464266807835074,1.7638763197586729,1.1549497088406564,-0.10105760347873982,0.6089266109180165,31.149179643216428,0
31510,3285,2920,365,2.413302891933029,15.788360942465824,2.4304718417047186,-0.01716894977168948,0.9516590563165905,0.0042647058823490624,-0.03231168831169029,1.104264705882353,0.8438441558441558,0.03657639419403935,0.2604205500381971,34.15527143496345,0
