station,n,baseline_mae,xgb_mae,gain,alpha
25913,365,2.946849315068493,1.3032028628936776,1.6436464521748153,0.5577639968797021
22113,365,1.258082191780822,0.7524721922858121,0.50560999949501,0.40188948130592034
37235,365,0.8843835616438357,0.641758918188104,0.24262464345573165,0.27434323067330246
30710,365,1.2413698630136987,1.0556670327566258,0.1857028302570729,0.1495950850669424
29570,365,1.4216438356164383,1.246451341109733,0.17519249450670515,0.12323233859114932
25563,365,2.4104109589041096,2.2842432521099916,0.12616770679411804,0.05234281993618218
30823,365,1.2115068493150685,1.0979262137433436,0.11358063557172482,0.09375154225164985
26063,365,0.6131506849315069,0.5280838139023478,0.08506687102915911,0.13873730082950433
37031,365,0.8082191780821918,0.740152888091868,0.06806628999032382,0.08421761303887523
22837,365,1.1884931506849314,1.121078040703927,0.06741510998100453,0.056723179214077116
21946,365,1.5838356164383565,1.516617666213735,0.06721795022462151,0.0424399789517157
29866,293,1.4860068259385668,1.4226182448935183,0.06338858104504852,0.04265699183784845
28440,365,0.8567123287671234,0.7949458501743127,0.0617664785928107,0.07209710484929933
29838,365,1.5197260273972604,1.463468728612547,0.056257298784713416,0.03701805310333585
34163,275,1.2272727272727275,1.1764341812458907,0.050838546026836795,0.04142400046631146
31594,365,1.4994520547945205,1.4502429598881164,0.04920909490640413,0.03281805160028779
28900,365,0.6528767123287671,0.6042761116362598,0.04860060069250727,0.07444070185801575
30636,364,1.5796703296703296,1.535345299324983,0.04432503034534663,0.02805967138383682
30949,365,1.4032876712328768,1.3608896846803902,0.04239798655248661,0.03021332505204532
25551,364,2.125824175824176,2.0910245226552853,0.034799653168890554,0.016369958327056296
28722,365,0.8958904109589038,0.8616738815034088,0.034216529455494915,0.038192762236255805
29698,365,1.4712328767123288,1.4372941210876178,0.03393875562471105,0.023068241718844567
31707,365,1.232602739726027,1.1993597992234035,0.03324294050262355,0.026969711676945098
21982,365,1.2167123287671233,1.1835583465959725,0.03315398217115084,0.027248825697973558
31873,365,1.3345205479452056,1.301389685836557,0.03313086210864857,0.024826041202333664
30925,365,1.2112328767123288,1.180180022473613,0.031052854238715843,0.025637393795818326
30965,365,1.5865753424657534,1.5572087313683882,0.02936661109736516,0.01850943369113846
31960,365,1.3572602739726027,1.3279449557931458,0.029315318179456984,0.021598892078122323
30393,364,1.2436813186813187,1.2157076648876564,0.027973653793662345,0.022492622003298195
31416,365,1.692602739726028,1.6648045474392907,0.02779819228673719,0.01642334118591627
32098,365,1.5421917808219177,1.5148439258826925,0.027347854939225202,0.017733108994168058
31915,365,1.1893150684931508,1.1630113088482454,0.02630375964490539,0.022116729487192965
30673,365,1.5561643835616439,1.530314839824218,0.025849543737425984,0.01661106243690226
29231,365,1.4005479452054792,1.3758973335117508,0.024650611693728397,0.017600691056750523
30521,365,1.4043835616438354,1.3799471363894744,0.02443642525436096,0.017400107721111495
30372,365,1.6578082191780823,1.6336525031822189,0.024155715995863414,0.014570874795058909
31004,365,1.232054794520548,1.2090309954995977,0.02302379902095031,0.01868731741749358
25703,364,2.1123626373626374,2.0901992168257038,0.022163420536933653,0.010492242262249773
32061,364,1.2678571428571428,1.2463585367091103,0.02149860614803245,0.016956647102673483
30777,365,1.286301369863014,1.265316636774638,0.020984733088375895,0.016314009749216613
31388,354,1.2522598870056498,1.2319777716224813,0.020282115383168486,0.016196410660143566
29612,364,1.048901098901099,1.028789307025599,0.02011179187550005,0.019174154642959712
31329,365,1.0575342465753426,1.0379823176419898,0.01955192893335278,0.01848822295511338
28138,306,1.8362745098039215,1.8167826307949675,0.019491879008953994,0.010614904745933303
23891,364,1.4549450549450547,1.4375229036578765,0.017422151287178167,0.011974439328800707
24966,339,1.8380530973451328,1.8213542911507035,0.016698806194429316,0.009085051035004876
30054,365,1.0723287671232877,1.0557942444938935,0.016534522629394255,0.015419266120922082
31088,365,0.9997260273972604,0.9836326811337613,0.01609334626349901,0.01609775660777511
31168,365,1.2580821917808218,1.2426089208448075,0.01547327093601436,0.012299093840690858
28434,364,1.2494505494505495,1.2346612530299923,0.014789296420557152,0.011836640055151282
36034,365,1.4816438356164385,1.4671553328633309,0.014488502753107646,0.009778667723528643
24908,365,1.894246575342466,1.880869847677699,0.01337672766476694,0.007061766846456368
22550,365,0.717808219178082,0.7055040867029599,0.012304132475122076,0.01714125325732656
31369,365,1.409041095890411,1.398395624698127,0.010645471192283873,0.007555117606812393
31253,337,1.1477744807121661,1.137846241223706,0.009928239488460111,0.008649991488136137
35121,365,0.9882191780821917,0.9784289916900739,0.009790186392117817,0.009906897790748553
23631,365,0.942191780821918,0.9325770223793918,0.009614758442526239,0.010204672380116535
23884,365,1.4761643835616438,1.4666840671043688,0.009480316457274984,0.006422263375845155
31909,365,1.2964383561643837,1.2897697946470077,0.006668561517376048,0.005143755185634525
31532,365,1.552876712328767,1.5464006075946843,0.006476104734082666,0.004170392074700376
30252,365,1.6312328767123287,1.625926848445853,0.00530602826647586,0.0032527717790790875
27595,365,0.8517808219178081,0.8469548988066715,0.00482592311113661,0.0056656865087322695
23205,364,1.0483516483516482,1.0435886299872137,0.00476301836443449,0.004543340368590552
29282,365,1.2978082191780822,1.294061522419526,0.0037466967585562116,0.0028869417708951178
23724,365,1.0712328767123287,1.0675684301004018,0.003664446611926886,0.003420774970213078
23921,364,1.3782967032967033,1.3754693996611531,0.0028273036355501713,0.0020513026177800724
31510,365,1.0249315068493152,1.0227918238682698,0.0021396829810453877,0.0020876350924393648
24738,364,1.4505494505494505,1.4492584183730266,0.0012910321764239008,0.0008900297579892044
28064,365,0.9076712328767123,0.906533806091302,0.0011374267854102893,0.0012531264010707988
28224,321,1.0457943925233646,1.0447582530919637,0.0010361394314009065,0.0009907678209106075
32411,365,1.2542465753424659,1.2536795729378314,0.0005670024046344757,0.0004520661373778585
24951,365,1.5734246575342465,1.5733914682473222,3.318928692430667e-05,2.1093661374494053e-05
24641,364,1.320054945054945,1.320349973522045,-0.0002950284670999448,0.0
29263,364,1.2057692307692307,1.208023013478493,-0.002253782709262353,0.0
23955,365,1.3512328767123285,1.3541668261454936,-0.0029339494331650506,0.0
20891,365,1.3630136986301367,1.3665265985119015,-0.0035128998817648416,0.0
23933,365,0.9767123287671233,0.9805443423823135,-0.003832013615190144,0.0
30230,365,1.2435616438356165,1.2481780130201823,-0.004616369184565761,0.0
28275,365,1.067945205479452,1.073291183395745,-0.005345977916292988,0.0
24959,365,1.2219178082191782,1.2291902181138732,-0.00727240989469502,0.0
22887,364,0.9054945054945056,0.9172722160324946,-0.011777710537989039,0.0
24944,364,1.3057692307692306,1.3178622711367987,-0.012093040367568086,0.0
27333,253,1.066403162055336,1.0789282598749923,-0.012525097819656272,0.0
22583,365,0.886027397260274,0.8996507374942304,-0.013623340233956394,0.0
22641,365,0.9123287671232877,0.926289432742569,-0.013960665619281332,0.0
27459,365,0.9583561643835615,0.9729957049105264,-0.014639540526964923,0.0
23472,365,1.5046575342465756,1.5200819892079047,-0.01542445496132916,0.0
32165,365,0.8424657534246576,0.8583766018578859,-0.01591084843322832,0.0
29430,365,0.6326027397260273,0.6487728777078733,-0.016170137981845967,0.0
27199,365,0.8153424657534247,0.8351479092566935,-0.019805443503268738,0.0
34172,364,1.0324175824175823,1.0523293287827822,-0.01991174636519988,0.0
34123,365,0.6342465753424658,0.6544205555705073,-0.02017398022804151,0.0
23711,365,0.9139726027397261,0.9348408224974593,-0.02086821975773312,0.0
32389,365,1.043013698630137,1.0640033465297256,-0.02098964789958857,0.0
27648,365,0.9419178082191783,0.9633136605849005,-0.02139585236572228,0.0
23405,365,0.9263013698630135,0.9477591856497608,-0.021457815786747325,0.0
24817,365,1.7164383561643837,1.7388945003609133,-0.022456144196529637,0.0
27823,365,0.8172602739726026,0.8415357724669044,-0.024275498494301773,0.0
23804,365,0.682191780821918,0.7073793594204909,-0.0251875785985729,0.0
24507,364,1.6873626373626376,1.7139490594084448,-0.02658642204580719,0.0
23418,364,1.074725274725275,1.1020800428403603,-0.027354768115085415,0.0
24343,363,1.3575757575757577,1.386491966723739,-0.02891620914798132,0.0
22602,365,0.6175342465753424,0.647353529403471,-0.029819282828128624,0.0
34861,365,0.575890410958904,0.6067062029405815,-0.0308157919816775,0.0
34824,365,0.7293150684931509,0.7620020831121157,-0.03268701461896484,0.0
30758,365,0.9413698630136985,0.9748019176007133,-0.033432054587014814,0.0
28493,365,1.0054794520547945,1.0409691342752274,-0.03548968222043292,0.0
28661,365,0.8473972602739724,0.88290467338611,-0.035507413112137565,0.0
22802,365,0.3624657534246576,0.39945760177116685,-0.03699184834650926,0.0
27037,365,0.6586301369863014,0.696189265124602,-0.037559128138300646,0.0
23324,365,1.0906849315068494,1.131911261979848,-0.04122633047299851,0.0
26477,364,0.3826923076923077,0.4253867080639843,-0.0426944003716766,0.0
28698,365,0.9041095890410958,0.9473533298299737,-0.04324374078887783,0.0
33008,365,0.4208219178082191,0.46648269668629716,-0.04566077887807807,0.0
27612,365,0.3400000000000001,0.38833867231460467,-0.04833867231460459,0.0
22217,365,0.6638356164383561,0.7201899620053703,-0.05635434556701424,0.0
22820,365,0.45999999999999996,0.5205980426889576,-0.06059804268895763,0.0
26258,365,0.6767123287671234,0.7450816800256502,-0.06836935125852683,0.0
37472,364,0.6186813186813187,0.6914498374109145,-0.07276851872959578,0.0
34391,365,0.9169863013698628,1.0033161126056762,-0.0863298112358134,0.0
34880,365,0.4734246575342466,0.5750589118137547,-0.10163425427950806,0.0
24125,364,0.6497252747252746,0.7601442337240819,-0.11041895899880727,0.0
24688,365,1.8846575342465757,2.012207600978548,-0.12755006673197222,0.0
24266,365,2.0021917808219176,2.1590581531189894,-0.1568663722970718,0.0
20674,365,0.7863013698630137,1.0095312157140612,-0.22322984585104755,0.0
