station,n,baseline_mae,model_mae,mae_gain
27612,730,0.2838356164383562,0.2902498921168943,-0.006414275678538084
22802,730,0.3441095890410959,0.3479612908300574,-0.0038517017889614924
26477,730,0.3813698630136986,0.3813698630136986,0.0
22820,730,0.3863013698630137,0.3897809345301317,-0.0034795646671179625
34880,730,0.4212328767123288,0.4207416532679193,0.0004912234444094943
33008,730,0.43438356164383557,0.42175095973848936,0.012632601905346208
22602,730,0.4694520547945206,0.47243494732432995,-0.0029828925298093223
26063,730,0.5417808219178082,0.4845800847472138,0.05720073717059437
22217,730,0.5636986301369862,0.558795612250544,0.004903017886442207
26258,730,0.5621917808219178,0.5652260288305274,-0.00303424800860963
30823,730,0.6843835616438357,0.5704757726967902,0.11390778894704556
23804,730,0.575890410958904,0.5775103748003532,-0.0016199638414491346
34123,730,0.5976712328767123,0.5951075008831924,0.002563731993519891
34861,730,0.6357534246575343,0.5964133837563942,0.03934004090114007
28900,730,0.6786301369863014,0.60187866849576,0.07675146849054137
35121,730,0.5567123287671233,0.6146748217409604,-0.057962492973837154
29430,730,0.6143835616438356,0.6234660208406412,-0.009082459196805615
37235,730,1.029315068493151,0.6242136225920834,0.40510144590106756
22550,730,0.6257534246575344,0.6342411574657787,-0.00848773280824433
22113,730,1.048082191780822,0.6718302064146592,0.3762519853661629
28722,724,0.6705801104972376,0.6761798905979234,-0.005599780100685736
34391,728,0.6940934065934067,0.6899677809687322,0.004125625624674445
27037,730,0.6975342465753425,0.6998915047083714,-0.0023572581330288944
28698,730,0.6938356164383561,0.7025645327219047,-0.008728916283548549
22583,730,0.7027397260273973,0.7104301937999146,-0.007690467772517251
34824,728,0.7225274725274725,0.7250906828019171,-0.002563210274444616
27199,730,0.7319178082191781,0.7306894044160575,0.0012284038031206146
28064,729,0.7617283950617283,0.7617786911528286,-5.02960911002992e-05
27459,730,0.7872602739726028,0.7654611095183925,0.021799164454210262
24125,730,0.7769863013698631,0.7818850172142027,-0.004898715844339541
37031,728,0.8155219780219781,0.7899985580120632,0.02552342000991492
23405,729,0.8042524005486967,0.8012726386335763,0.0029797619151203936
34172,511,0.816242661448141,0.8180892614124448,-0.0018465999643038078
20674,730,0.8232876712328767,0.8232876712328767,0.0
22887,730,0.831095890410959,0.8256384154049797,0.005457475005979262
27823,728,0.8221153846153846,0.8303683171937866,-0.008252932578401984
27595,730,0.8968493150684932,0.8308885451446588,0.06596076992383437
23711,729,0.8378600823045267,0.8312075317206036,0.006652550583923111
22641,729,0.83360768175583,0.8400906109099694,-0.006482929154139394
28440,730,0.972054794520548,0.8588578630272579,0.11319693149329013
23631,730,0.8671232876712329,0.8669983410711197,0.00012494660011319603
28661,728,0.888186813186813,0.8748524989519886,0.013334314234824451
32165,730,0.8838356164383561,0.8817943500837849,0.0020412663545711363
28224,728,0.9010989010989011,0.8865895061516702,0.014509394947230914
31088,730,0.9012328767123288,0.8939261516282009,0.007306725084127885
27648,728,0.8991758241758242,0.8981172399240056,0.001058584251818595
22837,730,0.9820547945205479,0.9380487633664927,0.044006031154055214
23933,730,0.9406849315068494,0.9413297289394302,-0.0006447974325808348
31329,729,0.9716049382716049,0.9535283921771927,0.018076546094412227
28275,729,0.9613168724279835,0.9634791318474104,-0.0021622594194269373
30758,730,0.9749315068493152,0.9662987747542203,0.008632732095094853
27333,728,0.9767857142857144,0.9712708931602729,0.005514821125441438
23418,730,0.9813698630136986,0.9776597960358835,0.003710066977815063
23205,730,0.9728767123287672,0.9782562856858021,-0.0053795733570349835
28493,728,1.003021978021978,1.004026255852947,-0.0010042778309689027
37472,730,0.9860273972602739,1.0072090359195454,-0.021181638659271473
23724,729,1.0233196159122087,1.0217031193423043,0.0016164965699043687
29263,729,1.0455418381344308,1.026057574531368,0.019484263603062768
31510,730,1.077945205479452,1.0444642239165043,0.033480981562947765
30054,730,1.0726027397260274,1.0516369407880437,0.02096579893798367
23324,730,1.0653424657534247,1.0633497487080015,0.0019927170454232535
32389,730,1.0752054794520547,1.0705531100611112,0.004652369390943489
29612,729,1.0670781893004115,1.0717613510110873,-0.004683161710675732
31915,730,1.145753424657534,1.1024865389947638,0.04326688566277026
30393,730,1.131917808219178,1.1072198869705308,0.024697921248647337
31253,730,1.1295890410958902,1.1208211333207683,0.00876790777512193
31960,730,1.174931506849315,1.1400923815213801,0.03483912532793476
31909,730,1.1553424657534246,1.1426145643536447,0.012727901399779862
32411,730,1.1653424657534248,1.1588226587177661,0.006519807035658687
30925,730,1.1867123287671233,1.1626187101382226,0.024093618628900693
31168,729,1.2060356652949245,1.1626395224026034,0.04339614289232108
30710,730,1.3639726027397259,1.1679122252545433,0.19606037748518257
24641,729,1.2555555555555555,1.2165816092347077,0.03897394632084783
32061,729,1.2423868312757202,1.2205285455912671,0.021858285684453138
30230,728,1.2387362637362638,1.2245138105964815,0.01422245313978232
24959,730,1.2472602739726026,1.231400067416994,0.015860206555608602
30777,730,1.2578082191780822,1.2315078072002548,0.026300411977827398
24343,692,1.2648843930635838,1.2405436847480236,0.024340708315560233
31388,669,1.278624813153961,1.2499499352500594,0.028674877903901663
30521,730,1.2787671232876712,1.2548501238686331,0.02391699941903802
31369,730,1.2802739726027397,1.26693893010441,0.013335042498329619
29838,730,1.3326027397260274,1.2726593526747167,0.05994338705131064
31873,730,1.3091780821917807,1.2734610669102282,0.03571701528155247
31707,729,1.3495198902606311,1.3005481636050906,0.048971726655540504
24944,730,1.3153424657534245,1.3031824935584215,0.012159972195002977
31004,729,1.3333333333333333,1.3138701860715005,0.019463147261832736
30673,730,1.362054794520548,1.3217985295121597,0.04025626500838819
24738,730,1.3469863013698629,1.3298560796171979,0.017130221752664987
23921,728,1.329532967032967,1.330420943783327,-0.0008879767503600089
23955,730,1.3595890410958904,1.3451306284783084,0.014458412617581962
30949,728,1.3835164835164835,1.3631439262747465,0.020372557241737033
21982,728,1.3832417582417582,1.36320712572374,0.02003463251801829
36034,730,1.393835616438356,1.3685654488242112,0.02527016761414491
23884,730,1.3967123287671233,1.375345911406354,0.021366417360769274
32098,730,1.3983561643835618,1.3776678889820384,0.020688275401523404
23891,728,1.3913461538461538,1.381971150989053,0.00937500285710069
31594,730,1.4283561643835616,1.396297781432609,0.032058382950952646
29231,730,1.422739726027397,1.3974823889687573,0.02525733705863975
29866,729,1.4866941015089163,1.410180748747281,0.07651335276163529
