Cod,R2,RMSE,MAE,MedAE
0,,,,
27848,,,,
27857,0.9922151054751683,0.9858697132806843,0.6915237218430899,0.5148040771484368
27858,,,,
27947,0.9926014650616147,0.9449922978470519,0.6914504620041869,0.5329299926757809
27955,,,,
27957,,,,
27962,0.993429038110204,0.9367418347385823,0.69178844563012,0.5330497741699218
27965,,,,
27972,,,,
27981,,,,
27983,,,,
27992,,,,
27995,0.9926030317096375,1.0789648075598626,0.7702458974939393,0.590591239929199
28900,0.99381392781027,0.98068253106875,0.717274402842048,0.5515830993652344
28908,,,,
34047,,,,
34056,,,,
34059,0.9938417586937883,0.9044296572260885,0.6466311350787549,0.4767658233642571
34063,,,,
34069,,,,
34072,,,,
34083,,,,
34086,,,,
34098,,,,
34146,,,,
34152,0.9932303633654369,0.9421442723847053,0.6874903150420298,0.5247516632080078
34163,0.9936881480771331,0.9559894993112679,0.6964797247634291,0.5360168457031236
34169,,,,
34173,,,,
34178,,,,
34186,0.9943505947823299,0.962179375197671,0.692811665702347,0.5197530746459962
34199,,,,
34240,0.9936180009718012,0.8935652012578129,0.6452100704877805,0.48477630615234446
34253,,,,
34254,,,,
34262,,,,
34267,,,,
34273,,,,
34289,0.9940099889162848,1.0063433037029865,0.722554560505338,0.555264949798584
34352,,,,
34363,,,,
34373,,,,
34391,0.994163444782292,1.0014392745301768,0.6962695185034792,0.5092144012451172
34394,,,,
35001,,,,
35007,0.9932061936244456,1.0758813927457351,0.771431090459617,0.5874512672424315
35107,,,,
35108,0.923823349455546,3.6739843225795146,2.7065145382989186,1.9861698150634766
35135,,,,
35202,,,,
35302,,,,
