month,R2,RMSE,MAE,MedAE
1,0.9247488128607926,1.8809485968707207,1.0997826487337838,0.6510737895965579
2,0.9170131846713381,1.8401432322218438,1.0495818643416128,0.6319869041442874
3,0.9231350546031925,1.5477858557523496,0.9724126074970342,0.6285533905029297
4,0.9391918256607215,1.1285694145679674,0.7577946078725708,0.5309780597686768
5,0.9359038088986124,1.2300229851308813,0.8140948085041789,0.561966896057128
6,0.9256736934886842,1.154272549618055,0.7500177445969025,0.5363759994506836
7,0.9209258985896959,0.9813550478805029,0.6773767997891922,0.49761352539062464
8,0.9316475800630942,1.0721989217783987,0.7238468225300936,0.5322153091430675
9,0.9308613749708377,1.1120640797630235,0.7370845743588039,0.5461131095886227
10,0.9264733318912767,1.2528503244753444,0.8502299555385767,0.6017833709716793
11,0.948281837875437,1.2024164226402085,0.785170287167355,0.5437667846679688
12,0.9255235567902366,1.5665515420116813,0.9279616064739666,0.5711160659790044
