mode,R2,RMSE,MAE,MedAE,n
zero-shot,0.9939146539761434,0.8445641335791431,0.6546518436943248,0.5327837467193604,5110
scratch,0.9949677419298892,0.7680180865203708,0.5844501161761947,0.46176095008850115,5110
finetune,0.9947348159039974,0.7855914994904871,0.6082720712672941,0.48525733947753924,5110
