run_tag,variant,RMSE,MAE,R2,RMSE_gain_vs_baseline_run,MAE_gain_vs_baseline_run,RMSE_gain_vs_control_etalon,MAE_gain_vs_control_etalon
control_etalon,xgb_delta_gated,1.6261211773746538,1.0969164235121938,0.9889507918124324,0.09914168673871893,0.04750518764784584,0.0,0.0
improved,xgb_delta_gated_adaptive,1.6271774556215637,1.0974765064359795,0.9889364326994832,0.09808540849180902,0.046945104724060105,-0.001056278246909903,-0.0005600829237857319
improved,xgb_delta_gated,1.6261211773746538,1.0969164235121938,0.9889507918124324,0.09914168673871893,0.04750518764784584,0.0,0.0
improved,xgb_delta_gated_adaptive_safeguard,1.6200838474883004,1.095288460397902,0.9890326847024092,0.10517901662507234,0.049133150762137534,0.006037329886353415,0.0016279631142916973
improved,xgb_delta_selector_station_month,1.617623434280251,1.0932564539749503,0.9890659714204114,0.1076394298331218,0.051165157185089294,0.008497743094402876,0.003659969537243457
improved,xgb_delta_selector_station,1.6164585794875823,1.0931703035328124,0.989081712994762,0.10880428462579039,0.05125130762722718,0.009662597887071467,0.003746119979381346
