station,n,baseline_mae,xgb_delta_cluster_mae,gain,alpha
25913,365,2.946849315068493,1.4797068005192975,1.4671425145491954,0.4978681831633101
22113,365,1.258082191780822,0.7433675913283704,0.5147146004524517,0.4091263701331551
37235,365,0.8843835616438357,0.5921475637968221,0.2922359978470136,0.33044033213804197
29570,365,1.4216438356164383,1.233484940676223,0.18815889494021532,0.13235304808860782
30710,365,1.2413698630136987,1.0645017523275153,0.17686811068618336,0.14247817347264824
25563,365,2.4104109589041096,2.2491859147450186,0.161225044159091,0.0668869528507254
24688,365,1.8846575342465757,1.7781670780134808,0.10649045623309483,0.05650387632661667
26063,365,0.6131506849315069,0.514408195392318,0.09874248953918896,0.1610411469249507
30823,365,1.2115068493150685,1.1184032169160472,0.09310363239902131,0.07684944781918313
30673,365,1.5561643835616439,1.4727471359043498,0.08341724765729408,0.053604393300902005
28900,365,0.6528767123287671,0.5734984298718914,0.07937828245687573,0.12158234618866824
30965,365,1.5865753424657534,1.509240170401483,0.07733517206427032,0.04874346020282968
31594,365,1.4994520547945205,1.4317311217806186,0.06772093301390192,0.0451637868629165
29866,293,1.4860068259385668,1.4230707047335527,0.06293612120501413,0.04235251151370955
24908,365,1.894246575342466,1.831310653889788,0.0629359214526779,0.03322477774114468
30949,365,1.4032876712328768,1.3406745204991624,0.06261315073371443,0.044618898902393136
21982,365,1.2167123287671233,1.1549338522886423,0.061778476478481004,0.05077492437434264
32098,365,1.5421917808219177,1.4827134358922454,0.0594783449296723,0.03856741143956367
31707,365,1.232602739726027,1.1731465353673858,0.059456204358641296,0.04823630715915554
22837,365,1.1884931506849314,1.1316740394292453,0.05681911125568617,0.047807689276914374
31873,365,1.3345205479452056,1.2800265451264252,0.05449400281878036,0.04083414294570895
29838,365,1.5197260273972604,1.4689087617271008,0.05081726567015954,0.03343843874095589
28440,365,0.8567123287671234,0.8078201531479454,0.048892175619178024,0.05706953661976327
31388,354,1.2522598870056498,1.2050373328219584,0.04722255418369148,0.03770986731564805
31532,365,1.552876712328767,1.5070434792787282,0.045833233050038835,0.029515049511757544
25703,364,2.1123626373626374,2.067527842411073,0.044834794951564394,0.021224951700311405
30393,364,1.2436813186813187,1.199107223986597,0.04457409469472173,0.03584044724735744
30521,365,1.4043835616438354,1.3610846317384697,0.04329892990536566,0.030831270806590847
31168,365,1.2580821917808218,1.2162387022606338,0.041843489520188015,0.03325974232332018
21946,365,1.5838356164383565,1.543991961857202,0.039843654581154464,0.02515643300834004
23891,364,1.4549450549450547,1.4158640212123539,0.039081033732700776,0.02686083134196202
32061,364,1.2678571428571428,1.2291669818043713,0.038690161052771455,0.03051618336556622
31329,365,1.0575342465753426,1.0198243473359856,0.03770989923935697,0.03565832441027278
30372,365,1.6578082191780823,1.6205502546384407,0.037257964539641586,0.022474230799816853
34163,275,1.2272727272727275,1.191062744455481,0.03620998281724641,0.029504430443682256
31369,365,1.409041095890411,1.3739125475488374,0.03512854834157353,0.024930818869675946
24343,363,1.3575757575757577,1.3226501010124863,0.0349256565632714,0.025726488093481166
30925,365,1.2112328767123288,1.1767004839698976,0.03453239274243125,0.0285101184143574
24966,339,1.8380530973451328,1.8035251854350385,0.0345279119100943,0.018785045959752795
28138,306,1.8362745098039215,1.8026744996931774,0.033600010110744094,0.01829792328508221
29698,365,1.4712328767123288,1.4394940747417608,0.031738801970568,0.02157292871370078
31909,365,1.2964383561643837,1.2648368274884887,0.03160152867589505,0.024375650817205604
34172,364,1.0324175824175823,1.0018162829089514,0.030601299508630886,0.029640428475629706
31416,365,1.692602739726028,1.6624854714062371,0.03011726831979078,0.017793465420400827
28722,365,0.8958904109589038,0.8677464942234783,0.02814391673542549,0.03141446363434345
24959,365,1.2219178082191782,1.195394728357253,0.026523079861925147,0.0217061079587504
24266,365,2.0021917808219176,1.9770786750337033,0.02511310578821435,0.01254280735180383
30252,365,1.6312328767123287,1.6062133686799134,0.025019508032415372,0.015337790446475664
30777,365,1.286301369863014,1.2637551959407554,0.02254617392225855,0.01752790943902954
24507,364,1.6873626373626376,1.6656661836296107,0.021696453733026866,0.012858204426606607
31915,365,1.1893150684931508,1.1679729940342936,0.021342074458857274,0.0179448449147268
27595,365,0.8517808219178081,0.8311756486053999,0.020605173312408187,0.024190698806783498
32165,365,0.8424657534246576,0.8219872900996715,0.02047846332498604,0.02430776947518668
36034,365,1.4816438356164385,1.461815100325246,0.019828735291192556,0.013382929699122194
37031,365,0.8082191780821918,0.7887164724427944,0.019502705639397377,0.024130466299593364
35121,365,0.9882191780821917,0.9698585050600288,0.018360673022162932,0.018579555456305713
23884,365,1.4761643835616438,1.4584815346637154,0.01768284889792837,0.011978915827290007
24951,365,1.5734246575342465,1.556944917993451,0.016479739540795624,0.010473802772750136
28434,364,1.2494505494505495,1.2333176189567254,0.016132930493824027,0.012912020008249661
31004,365,1.232054794520548,1.21596236550836,0.016092429012187992,0.013061455613628235
29612,364,1.048901098901099,1.0334017763643497,0.015499322536749238,0.014776724471913888
32411,365,1.2542465753424659,1.2399607187501243,0.014285856592341606,0.011389990511587343
31510,365,1.0249315068493152,1.0114025135355131,0.013528993313802085,0.013199899918571933
24641,364,1.320054945054945,1.3094307400756977,0.01062420497924732,0.008048305124757595
34824,365,0.7293150684931509,0.7187524257737057,0.010562642719445181,0.01448296240645188
23631,365,0.942191780821918,0.9317354531790935,0.010456327642824559,0.011097876096629726
29231,365,1.4005479452054792,1.390652391032335,0.00989555417314425,0.007065487623626079
25551,364,2.125824175824176,2.1165210189762176,0.009303156847958238,0.0043762588429268525
30636,364,1.5796703296703296,1.5704879885463614,0.009182341123968207,0.005812821163694657
31088,365,0.9997260273972604,0.9914094795698095,0.008316547827450838,0.008318826958124295
29282,365,1.2978082191780822,1.2903738823667652,0.007434336811316999,0.005728378585878625
23933,365,0.9767123287671233,0.9711593568489618,0.005552971918161509,0.005685370968103649
29263,364,1.2057692307692307,1.2008829168991344,0.004886313870096304,0.004052445314912405
34861,365,0.575890410958904,0.5717011818375871,0.0041892291213169175,0.007274351233495124
31253,337,1.1477744807121661,1.1442014780061358,0.003573002706030337,0.0031129832262984064
31960,365,1.3572602739726027,1.3540038598020088,0.0032564141705939686,0.0023992554950884107
34123,365,0.6342465753424658,0.631163629297301,0.0030829460451647916,0.0048608004599790455
23955,365,1.3512328767123285,1.3490605439146828,0.0021723327976457263,0.0016076672164247571
23405,365,0.9263013698630135,0.9245629467078075,0.0017384231552060037,0.0018767360297254998
28661,365,0.8473972602739724,0.8471930570021423,0.00020420327183012787,0.00024097702624635204
24944,364,1.3057692307692306,1.3055982300709768,0.00017100069825382036,0.00013095782487774167
24817,365,1.7164383561643837,1.7168492130612418,-0.0004108568968581583,0.0
23205,364,1.0483516483516482,1.0494499818842786,-0.0010983335326304466,0.0
23921,364,1.3782967032967033,1.3801466304753847,-0.0018499271786813765,0.0
27037,365,0.6586301369863014,0.6617813395398783,-0.003151202553576926,0.0
23472,365,1.5046575342465756,1.5081083586436301,-0.003450824397054575,0.0
28064,365,0.9076712328767123,0.9115596501083331,-0.003888417231620811,0.0
28224,321,1.0457943925233646,1.049696671488953,-0.0039022789655884793,0.0
27199,365,0.8153424657534247,0.8195490270669968,-0.00420656131357211,0.0
30230,365,1.2435616438356165,1.249215834208139,-0.005654190372522461,0.0
37472,364,0.6186813186813187,0.6245063240620036,-0.005825005380684867,0.0
34391,365,0.9169863013698628,0.9234108635329016,-0.006424562163038772,0.0
26477,364,0.3826923076923077,0.38938273657685796,-0.006690428884550237,0.0
22887,364,0.9054945054945056,0.9142772246736158,-0.008782719179110221,0.0
24738,364,1.4505494505494505,1.4594850546782736,-0.008935604128823105,0.0
27612,365,0.3400000000000001,0.3497804115872754,-0.009780411587275328,0.0
23724,365,1.0712328767123287,1.0812123312165782,-0.00997945450424953,0.0
23418,364,1.074725274725275,1.0854026969864448,-0.010677422261169855,0.0
22550,365,0.717808219178082,0.7293740465276721,-0.011565827349590108,0.0
28275,365,1.067945205479452,1.0802081472598246,-0.012262941780372572,0.0
27648,365,0.9419178082191783,0.954660085274468,-0.012742277055289741,0.0
20891,365,1.3630136986301367,1.3770386840601783,-0.014024985430041603,0.0
27823,365,0.8172602739726026,0.8316120580052446,-0.014351784032642034,0.0
22802,365,0.3624657534246576,0.37904819918909244,-0.01658244576443485,0.0
22602,365,0.6175342465753424,0.634351504576721,-0.016817258001378566,0.0
32389,365,1.043013698630137,1.0599068860783982,-0.016893187448261182,0.0
34880,365,0.4734246575342466,0.49041613982365245,-0.016991482289405835,0.0
23711,365,0.9139726027397261,0.9321840523668143,-0.018211449627088205,0.0
27459,365,0.9583561643835615,0.9770592082479381,-0.0187030438643766,0.0
23324,365,1.0906849315068494,1.109481077555867,-0.01879614604901758,0.0
22583,365,0.886027397260274,0.906185438759459,-0.020158041499184987,0.0
29430,365,0.6326027397260273,0.6540574180851181,-0.021454678359090762,0.0
23804,365,0.682191780821918,0.7066011726486255,-0.024409391826707538,0.0
22217,365,0.6638356164383561,0.6887525883159393,-0.02491697187758324,0.0
30054,365,1.0723287671232877,1.0979765338291836,-0.025647766705895858,0.0
22641,365,0.9123287671232877,0.941113428986019,-0.02878466186273132,0.0
33008,365,0.4208219178082191,0.45515927362719016,-0.03433735581897107,0.0
26258,365,0.6767123287671234,0.7150743679961585,-0.03836203922903514,0.0
27333,253,1.066403162055336,1.1062422563418057,-0.0398390942864697,0.0
28493,365,1.0054794520547945,1.0477544724813037,-0.04227502042650921,0.0
30758,365,0.9413698630136985,0.9868283437674528,-0.04545848075375425,0.0
28698,365,0.9041095890410958,0.9544467316702173,-0.05033714262912148,0.0
22820,365,0.45999999999999996,0.5187240903688058,-0.05872409036880588,0.0
24125,364,0.6497252747252746,0.7262009227443689,-0.07647564801909423,0.0
20674,365,0.7863013698630137,0.9459138602461052,-0.15961249038309155,0.0
