station,month,n,baseline_mae,xgb_delta_mae,gain,alpha,is_eligible
25913,12,31,6.7612903225806456,2.188070917129517,4.573219405451129,0.6763826410734016,1
25913,1,31,5.516129032258065,1.940984883616047,3.5751441486420177,0.6481255474146347,1
25913,11,30,4.39,1.3817902380724751,3.0082097619275245,0.6852414036281378,1
25913,10,31,3.8709677419354844,1.5032242332735366,2.367743508661948,0.6116670730710032,1
25913,3,31,3.5999999999999996,1.502636403806748,2.0973635961932517,0.58260099894257,1
22113,2,28,3.225,1.330383158475161,1.894616841524839,0.5874780903952989,1
22113,12,31,2.8580645161290326,1.3283546084357847,1.5297099076932479,0.5352258142041837,1
22113,11,30,1.8733333333333335,0.7355310088396071,1.1378023244937263,0.6073677888756546,1
22113,1,31,2.4387096774193546,1.3941660073495683,1.0445436700697863,0.42831817158946267,1
37235,8,31,1.425806451612903,0.41967360588812064,1.0061328457247822,0.7056587832006392,1
25913,6,30,1.9366666666666668,1.0310860045750934,0.9055806620915734,0.46759758799909124,1
25913,2,28,2.439285714285714,1.6680086514779495,0.7712770628077645,0.3161897182813676,1
29570,12,31,2.967741935483872,2.203885893475625,0.7638560420082467,0.25738627502451783,1
25913,7,31,1.3709677419354842,0.6301282663499158,0.7408394755855684,0.5403770292506498,1
22113,3,31,1.206451612903226,0.5607522815225585,0.6456993313806674,0.535205328149751,1
25913,5,31,1.7483870967741935,1.2032770025153312,0.5451100942588623,0.3117788361997183,1
30823,12,31,1.6806451612903226,1.1367142339387248,0.5439309273515978,0.323644121840682,1
37235,7,31,0.9967741935483871,0.45871005654335045,0.5380641370050367,0.5398054448917844,1
37235,9,30,1.0833333333333333,0.5602906915545464,0.5230426417787869,0.48280859241118795,1
37235,6,30,1.0199999999999998,0.5238423458735146,0.49615765412648516,0.48642907267302476,1
29570,1,31,2.832258064516129,2.336949895081981,0.4953081694341477,0.1748810165428084,1
29570,11,30,1.56,1.0793428307771682,0.48065716922283186,0.3081135700146358,1
25563,6,30,2.2766666666666664,1.842260205547015,0.4344064611196514,0.1908081088373286,1
35121,8,31,1.3032258064516131,0.8784140517634731,0.42481175468814003,0.325969415726048,1
30710,12,31,1.935483870967742,1.5158743294496684,0.4196095415180736,0.21679826311767136,1
22837,6,30,1.2566666666666664,0.8784658173720045,0.3782008492946619,0.3009555829930997,1
28440,8,31,1.0064516129032257,0.6473267134158843,0.3591248994873414,0.35682281679832,1
