target_coverage,month,n,q_month,coverage,mean_width
0.8,1,7719,2.477242312431337,0.8113745303795828,4.954484624862674
0.8,2,6968,2.4817087727785103,0.8434270952927669,4.9634175455570215
0.8,3,7727,2.155720875412227,0.8026400931797593,4.311441750824455
0.8,4,7498,1.7775575017929077,0.7995465457455322,3.5551150035858154
0.8,5,7683,1.4406315851211569,0.7821163607965639,2.8812631702423137
0.8,6,7494,1.2763438543677341,0.7945022684814518,2.552687708735469
0.8,7,7721,1.2630398130416884,0.8349954669084315,2.5260796260833795
0.8,8,7708,1.2330066382884988,0.813700051894136,2.4660132765769958
0.8,9,7437,1.4000000000000008,0.7879521312357133,2.8000000000000016
0.8,10,7694,1.5,0.7982843774369639,3.0
0.8,11,7441,2.0999999999999996,0.7951888187071631,4.2
0.8,12,7716,2.5,0.828538102643857,5.0
0.85,1,7719,2.8999999999999986,0.8549034849073714,5.799999999999998
0.85,2,6968,2.8999999999999986,0.8823191733639495,5.799999999999996
0.85,3,7727,2.5756785519421097,0.8547948751132393,5.15135710388422
0.85,4,7498,2.092703648693859,0.8480928247532675,4.1854072973877186
0.85,5,7683,1.6799586933851223,0.8304047897956527,3.359917386770244
0.85,6,7494,1.4658819624781603,0.8392046970910061,2.9317639249563214
0.85,7,7721,1.4907513135671604,0.8818805854163968,2.98150262713432
0.85,8,7708,1.4946816241741172,0.8737675142708874,2.989363248348234
0.85,9,7437,1.651327370852231,0.835955358343418,3.302654741704461
0.85,10,7694,1.7999999999999998,0.8472835976085261,3.600000000000001
0.85,11,7441,2.5,0.845719661335842,5.0
0.85,12,7716,2.9809585833549503,0.8701399688958009,5.9619171667099
0.9,1,7719,3.526575687527658,0.902318953232284,7.053151375055317
0.9,2,6968,3.5,0.9232204362801377,7.0
0.9,3,7727,3.1222496986389165,0.9019024200854148,6.244499397277834
0.9,4,7498,2.5399150286614915,0.899173112830088,5.079830057322982
0.9,5,7683,2.0259698271751416,0.8884550305870103,4.051939654350284
0.9,6,7494,1.7386353892087945,0.8921804109954631,3.4772707784175902
0.9,7,7721,1.8000000000000007,0.927081984198938,3.600000000000002
0.9,8,7708,1.7726496653258825,0.9174883238194084,3.5452993306517655
0.9,9,7437,2.0,0.8879924700820223,4.0
0.9,10,7694,2.186619931161407,0.8922537041850793,4.373239862322813
0.9,11,7441,3.1429406607151034,0.9022980782152936,6.285881321430209
0.9,12,7716,3.700000000000003,0.9213322965266978,7.400000000000006
