station,n_train,rp5_mean,rp5_std,hydromet_mean,baseline_mae,baseline_bias,cluster_id
20674,2921,-8.415679561793906,12.464288190448112,-8.496234166381376,0.994145840465594,0.08055460458747003,0
20891,2667,-10.41758530183727,17.477586174100885,-10.436782902137233,1.3789276340457441,0.019197600299962543,0
21946,2587,-11.685195206803247,16.8537492641852,-11.624197912640124,1.5221492075763434,-0.060997294163123314,0
21982,2703,-7.593340732519422,10.128851948574708,-7.4984831668516465,1.3368109507954125,-0.09485756566777656,0
23472,2922,-3.971286789869952,16.196768721001078,-3.9714236824093088,1.4145790554414786,0.00013689253935663618,0
23891,2697,-4.073637374860957,16.924466246282925,-4.195513533555802,1.3002966258806081,0.1218761586948461,0
24125,2390,-8.971464435146443,20.12218509857373,-9.235899581589958,1.0268619246861925,0.2644351464435147,0
24266,2918,-13.093111720356408,23.698822973608774,-13.105586017820425,1.741809458533242,0.012474297464016463,0
24343,2596,-9.611787365177197,20.00993721632821,-9.594298921417565,1.231895223420647,-0.01748844375963019,0
24507,2870,-6.411393728222997,19.154651713549125,-6.39581881533101,1.5021951219512195,-0.01557491289198601,0
24641,2630,-6.79212927756654,20.514619257986045,-6.921254752851712,1.1987072243346009,0.1291254752851711,0
24688,2922,-14.003935660506503,23.066190608223692,-13.959548254620124,1.6259069130732373,-0.04438740588637916,0
24738,2597,-5.377319984597612,19.236422924462154,-5.529765113592607,1.5111667308432808,0.1524451289949942,0
24817,2745,-4.32127504553734,17.81989745925084,-4.269508196721311,1.7671766848816028,-0.05176684881602913,0
24908,2836,-3.3499647390691116,17.470736732435327,-3.2769746121297603,1.7590267983074754,-0.0729901269393512,0
24944,2866,-4.647069085833915,18.255675924178433,-4.642498255408234,1.2797278436845778,-0.004570830425680418,0
24951,2817,-5.602697905573304,19.172871047289544,-5.565424210152645,1.262761803336883,-0.03727369542066029,0
24959,2919,-6.974648852346694,21.107945614518737,-6.944364508393285,1.1137375813634807,-0.030284343953408694,0
24966,2897,-7.398550224370037,21.333655565230252,-7.397583707283396,1.5737659647911633,-0.0009665170866413533,0
25551,2792,-5.502829512893983,16.160858221696863,-5.336210601719198,2.272707736389685,-0.16661891117478508,0
25563,2922,-4.114065708418891,13.650551375618466,-4.568001368925394,1.9815195071868583,0.4539356605065024,0
25703,2839,-8.66780556533991,19.888732396295563,-8.600986262768581,1.8246917928848188,-0.06681930257132795,0
30054,2739,-2.7926980649872215,17.241691385320202,-2.9288061336254105,1.3897772909821104,0.13610806863818906,0
30230,2620,-2.2590076335877862,16.770091213378063,-2.4303435114503817,1.5648473282442747,0.17133587786259544,0
30252,2764,-3.1720332850940665,17.371730712017445,-3.143270622286541,1.2854920405209842,-0.02876266280752535,0
30372,2848,-6.012219101123595,17.992169146770483,-6.002773876404495,1.3655547752808987,-0.009445224719101105,0
30393,2851,-5.746790599789547,17.303161034949635,-5.717362329007366,1.128761837951596,-0.029428270782181683,0
