station,month,n,baseline_mae,ridge_mae,gain,alpha,is_eligible
25913,12,31,6.7612903225806456,4.741855077675439,2.019435244905207,0.29867601427510215,1
25913,10,31,3.8709677419354844,2.2117949611131182,1.6591727808223662,0.4286196350457779,1
25913,1,31,5.516129032258065,4.09561471293671,1.420514319321355,0.2575201397600117,1
25913,11,30,4.39,3.219666209497232,1.1703337905027675,0.2665908406612227,1
25913,3,31,3.5999999999999996,2.498295149855253,1.1017048501447468,0.30602912504020746,1
25913,2,28,2.439285714285714,1.5716191149438734,0.8676665993418406,0.35570519445931975,1
37235,8,31,1.425806451612903,0.7151178422231746,0.7106886093897283,0.49844676224166473,1
22113,2,28,3.225,2.629024698355415,0.595975301644585,0.18479854314560776,1
22113,12,31,2.8580645161290326,2.2903288568474762,0.5677356592815563,0.19864340223169577,1
22113,11,30,1.8733333333333335,1.3426035331411432,0.5307298001921903,0.28330772252252145,1
29570,11,30,1.56,1.0627777200931612,0.49722227990683887,0.31873223070951207,1
37235,6,30,1.0199999999999998,0.5316994305544275,0.4883005694455723,0.4787260484760514,1
29570,12,31,2.967741935483872,2.4814068587209452,0.48633507676292664,0.1638737758657687,1
22113,1,31,2.4387096774193546,1.9612087601136834,0.47750091730567124,0.19580064069412448,1
37235,7,31,0.9967741935483871,0.5841919169800329,0.4125822765683542,0.4139174942918764,1
30823,12,31,1.6806451612903226,1.3084998511958381,0.3721453100944845,0.2214300309583305,1
29570,1,31,2.832258064516129,2.461668128852806,0.37058993566332266,0.13084610484695902,1
30710,12,31,1.935483870967742,1.5812398106075507,0.3542440603601913,0.1830260978527655,1
37235,9,30,1.0833333333333333,0.7353397563388085,0.3479935769945247,0.3212248403026382,1
30710,1,31,2.035483870967742,1.742979436036099,0.292504434931643,0.14370265424533968,1
34391,8,31,1.2709677419354832,0.9792875913452086,0.29168015059027463,0.2294945347283888,1
26063,10,31,0.7806451612903228,0.491621931369343,0.2890232299209798,0.3702363689070401,1
30710,11,30,1.7266666666666666,1.4435908015917818,0.2830758650748848,0.16394355120167076,1
22837,6,30,1.2566666666666664,0.9751207493516688,0.28154591731499756,0.22404184401723948,1
37235,5,31,0.8161290322580643,0.5354429046668056,0.28068612759125877,0.3439237136493685,1
34163,8,31,1.5806451612903225,1.3028213427346311,0.2778238185556914,0.17576608929033538,1
27595,3,31,1.4322580645161291,1.1641223513026846,0.26813571321344454,0.18721187183821578,1
24959,12,31,1.1096774193548389,0.845047580579671,0.2646298387751679,0.2384745640125059,1
34163,7,26,1.8884615384615389,1.6243663359710696,0.26409520249046925,0.13984674673629732,1
28440,3,31,0.9580645161290323,0.6944237872585515,0.26364072887048084,0.2751805587537005,1
29570,3,31,1.7838709677419355,1.5402548503713749,0.24361611737056066,0.1365659970793378,1
28138,8,31,3.04516129032258,2.81306331458163,0.2320979757409498,0.07621861491493057,1
26063,1,31,0.8000000000000003,0.5744765540897782,0.2255234459102221,0.28190430738777755,1
26063,6,30,0.6166666666666668,0.3931943017307955,0.2234723649358713,0.36238761881492637,1
30823,10,31,1.2548387096774192,1.042086325490877,0.2127523841865422,0.16954560179390255,1
37235,10,31,0.7967741935483874,0.5857627892592858,0.2110114042891016,0.2648321268405727,1
24343,11,30,1.9233333333333336,1.7132303834160494,0.21010294991728418,0.10923896876115294,1
30823,11,30,2.083333333333333,1.8742399181885623,0.20909341514477076,0.10036483926948998,1
35121,8,31,1.3032258064516131,1.0966744325483115,0.20655137390330158,0.15849239086639474,1
35121,3,31,1.532258064516129,1.32722981738069,0.205028247135439,0.13380790865681283,1
30636,7,31,1.2322580645161292,1.0280045125651058,0.20425355195102335,0.16575550027439065,1
24688,6,30,1.4833333333333336,1.2800361325559393,0.20329720077739433,0.1370542926589175,1
37235,4,30,0.8533333333333332,0.6519742235127465,0.2013591098205867,0.23596770682100007,1
30823,8,31,0.538709677419355,0.33794173730357435,0.2007679401157807,0.3726830026101317,1
22113,3,31,1.206451612903226,1.0061557950348365,0.20029581786838935,0.16602059769839758,1
29838,6,30,1.2766666666666662,1.077176613895747,0.19949005277091914,0.15625852697461035,1
26063,7,31,0.7129032258064514,0.518928159486489,0.19397506631996242,0.2720917219872777,1
25563,5,31,1.4387096774193546,1.2448432930095954,0.19386638440975923,0.13475017750454119,1
27595,2,28,1.65,1.4566118759595343,0.19338812404046557,0.11720492366088824,1
