station,month,n,baseline_mae,xgb_mae,gain,alpha,is_eligible
25913,12,31,6.7612903225806456,1.9894218137187343,4.771868508861911,0.7057629951083934,1
25913,1,31,5.516129032258065,2.07263128834386,3.443497743914205,0.624259824920119,1
25913,11,30,4.39,1.4095762073993683,2.9804237926006314,0.6789120256493466,1
25913,10,31,3.8709677419354844,1.4712036385651561,2.3997641033703285,0.6199390600373348,1
25913,3,31,3.5999999999999996,1.4773499765703755,2.122650023429624,0.589625006508229,1
22113,2,28,3.225,1.358136873585837,1.866863126414163,0.5788722872602056,1
22113,12,31,2.8580645161290326,1.4075948730591805,1.450469643069852,0.5075006651824538,1
22113,11,30,1.8733333333333335,0.79562150289615,1.0777118304371835,0.5752910126888879,1
22113,1,31,2.4387096774193546,1.3797761724841209,1.0589335049352337,0.4342187652512202,1
25913,6,30,1.9366666666666668,0.9836639022827146,0.9530027643839522,0.49208404357174806,1
25913,7,31,1.3709677419354842,0.5991396627118513,0.771828079223633,0.5629804813160615,1
37031,7,31,1.5774193548387099,0.8206450800741871,0.7567742747645227,0.47975465271370554,1
29570,12,31,2.967741935483872,2.238750098501482,0.7289918369823898,0.24563855376580518,1
37235,8,31,1.425806451612903,0.7387422130953885,0.6870642385175145,0.4818776333493881,1
25913,2,28,2.439285714285714,1.7663633380617416,0.6729223762239724,0.275868616900018,1
22113,3,31,1.206451612903226,0.5928004472486434,0.6136511656545824,0.5086413405158303,1
30823,12,31,1.6806451612903226,1.1163358019244287,0.5643093593658939,0.33576948445955296,1
37235,6,30,1.0199999999999998,0.5294572703043616,0.49054272969563817,0.48092424479964535,1
37235,9,30,1.0833333333333333,0.6024367078145344,0.48089662551879886,0.4439045774019682,1
29570,1,31,2.832258064516129,2.385831088404502,0.44642697611162685,0.15762228085945823,1
25913,5,31,1.7483870967741935,1.3061854583481627,0.4422016384260308,0.25291975629533126,1
25563,6,30,2.2766666666666664,1.8360384664932885,0.4406282001733779,0.19354093711861403,1
29570,11,30,1.56,1.1279786852498848,0.4320213147501153,0.2769367402244329,1
37235,7,31,0.9967741935483871,0.6173352641444055,0.3794389294039816,0.3806668871043181,1
22837,6,30,1.2566666666666664,0.8841787338256835,0.3724879328409829,0.2964094956294294,1
30710,12,31,1.935483870967742,1.5674659529039936,0.3680179180637484,0.19014259099960334,1
25913,9,30,1.2133333333333336,0.8612090462446211,0.35212428708871246,0.2902123245236641,1
28440,8,31,1.0064516129032257,0.66020132495511,0.34625028794811574,0.3440307348202432,1
25563,10,31,1.6645161290322579,1.3250792772539195,0.3394368517783384,0.20392524040946688,1
25913,8,31,1.0548387096774194,0.725425184926679,0.3294135247507405,0.3122880509869405,1
34163,7,26,1.8884615384615389,1.560902390113244,0.3275591483482949,0.17345290951233536,1
25913,4,30,1.3166666666666664,0.9898443031311034,0.32682236353556304,0.24821951660928843,1
34163,8,31,1.5806451612903225,1.2546758344096522,0.32596932688067026,0.20622549251634242,1
28440,3,31,0.9580645161290323,0.6373816423839138,0.3206828737451185,0.3347194978484402,1
27595,3,31,1.4322580645161291,1.124339424217901,0.30791864029822813,0.21498823984786197,1
30710,1,31,2.035483870967742,1.74675156377977,0.28873230718797216,0.1418494694584332,1
28440,5,31,1.2322580645161287,0.945101596463111,0.28715646805301775,0.23303273585454326,1
24688,6,30,1.4833333333333336,1.2011335659027103,0.28219976743062336,0.19024703422289213,1
35121,8,31,1.3032258064516131,1.025585716001449,0.27764009045016413,0.2130406634642348,1
35121,3,31,1.532258064516129,1.2627472087260216,0.26951085579010736,0.17589129535775427,1
26063,1,31,0.8000000000000003,0.5474844853724201,0.25251551462758015,0.3156443932844751,1
37235,10,31,0.7967741935483874,0.545016968634821,0.25175722491356645,0.31597060616682415,1
24688,9,30,2.413333333333333,2.16479223417739,0.2485410991559429,0.10298664329666143,1
37235,5,31,0.8161290322580643,0.5709204827585527,0.24520854949951165,0.300453163418374,1
31873,4,30,1.7866666666666668,1.5456897521018982,0.24097691456476866,0.13487513874893767,1
30710,9,30,1.0333333333333337,0.803424235979716,0.22990909735361764,0.2224926748583396,1
25563,12,31,4.648387096774194,4.418690406122515,0.22969669065167864,0.049414277655808726,1
29570,3,31,1.7838709677419355,1.5567617189018956,0.2271092488400399,0.12731259880725565,1
30710,8,31,0.7290322580645159,0.5114789901241178,0.2175532679403981,0.29841377460851076,1
30710,11,30,1.7266666666666666,1.5095720415562393,0.21709462511042732,0.12573047786318184,1
30823,10,31,1.2548387096774192,1.0433663663364225,0.21147234334099663,0.16852551782958602,1
21982,12,31,1.4161290322580646,1.2049244419220957,0.21120459033596894,0.14914219363132203,1
30823,11,30,2.083333333333333,1.8728571877876918,0.2104761455456412,0.10102854986190779,1
29838,6,30,1.2766666666666662,1.0686686833699541,0.20799798329671204,0.16292270232118444,1
26063,10,31,0.7806451612903228,0.5726727516420426,0.20797240964828023,0.2664109379792019,1
